"","Pos","Player","Team","Salary","Fantasy PointsFPts","Cost/FptC/Fpt"
"1","QB1","Drew Brees","NO","$6,700",50.54,"$132.57"
"2","RB1","Dion Lewis","NE","$6,400",23.2,"$275.86"
"3","RB2","Todd Gurley","LA","$6,300",26.6,"$236.84"
"4","WR1","Marques Colston","NO","$3,200",28.4,"$112.68"
"5","WR2","Odell Beckham Jr.","NYG","$8,500",42,"$202.38"
"6","WR3","Julio Jones","ATL","$9,200",36.2,"$254.14"
"7","TE1","Jacob Tamme","ATL","$2,700",29.3,"$92.15"
"8","FLEX","Benjamin Watson","BAL","$3,500",32.7,"$107.03"
"9","DEF","Houston Texans","HOU","$3,100",20,"$155.00"
"10"," "," "," ","$49,600",288.94," "
