"","Pos","Player","Team","Fantasy PointsFpts","Salary","Cost/Fantasy Pt"
"1","QB","Drew Brees","NO",50.54,"$6,700","$132.57"
"2","WR","Odell Beckham Jr.","NYG",42,"$8,500","$202.38"
"3","QB","Eli Manning","NYG",41,"$6,600","$160.98"
"4","WR","Julio Jones","ATL",36.2,"$9,200","$254.14"
"5","QB","Carson Palmer","ARI",33.56,"$7,000","$208.58"
"6","QB","Tom Brady","NE",33.34,"$8,300","$248.95"
"7","TE","Benjamin Watson","BAL",32.7,"$3,500","$107.03"
"8","QB","Derek Carr","OAK",32.12,"$5,300","$165.01"
"9","WR","A.J. Green","CIN",31.8,"$7,600","$238.99"
"10","WR","Alshon Jeffery","CHI",30.6,"$6,400","$209.15"
"11","TE","Jacob Tamme","ATL",29.3,"$2,700","$92.15"
"12","WR","Marques Colston","NO",28.4,"$3,200","$112.68"
"13","WR","Demaryius Thomas","DEN",27.8,"$7,700","$276.98"
"14","QB","Alex Smith","KC",27.6,"$5,000","$181.16"
"15","WR","Julian Edelman","NE",27.1,"$8,100","$298.89"
"16","QB","Philip Rivers","SD",27.04,"$6,600","$244.08"
"17","WR","Tavon Austin","LA",26.9,"$4,600","$171.00"
"18","RB","Todd Gurley","LA",26.6,"$6,300","$236.84"
"19","WR","Brandin Cooks","NO",26.5,"$5,400","$203.77"
"20","TE","Rob Gronkowski","NE",26.3,"$8,000","$304.18"
"21","WR","Michael Crabtree","OAK",26.2,"$4,700","$179.39"
"22","QB","Joe Flacco","BAL",25.96,"$5,500","$211.86"
"23","WR","Willie Snead","NO",25.6,"$4,500","$175.78"
"24","WR","Malcom Floyd","SD",25.2,"$3,500","$138.89"
"25","QB","Matt Ryan","ATL",25.08,"$7,100","$283.09"
"26","WR","Michael Floyd","ARI",23.6,"$3,500","$148.31"
"27","TE","Heath Miller","PIT",23.5,"$2,700","$114.89"
"28","WR","DeAndre Hopkins","HOU",23.4,"$8,700","$371.79"
"29","RB","Dion Lewis","NE",23.2,"$6,400","$275.86"
"30","WR","Brandon Marshall","NYJ",22.8,"$7,600","$333.33"
