"","Score","ProjPoints","Points","ActualPoints","PlayerId","FantasyResultId","PositionId","LineupCount","CurrentExposure","ExposureProbability","IsExposureLocked","FirstPosition","Positions","Position","TeamName","FullName","Cnt","Correlation","PositionCount","Salary","IsLocked","IsExcluded","Exposure","IsLiked","Properties.IsLocked","Properties.InjuryStatus","Properties.Confirmed","Properties.IsExcluded","Properties.Score","Properties.Player_Name","Properties.Salary","Properties.Position","Properties.Team","Properties.Opposing_TeamFB","Properties.Exp","Properties.AvgPts","Properties.Ceiling","Properties.Floor","Properties.ProjPlusMinus","Properties.PtVal","Properties.ImpPts","Properties.Trend","Properties.MyTrends","Properties.Site_Salary","Properties.p_own","Properties.OppPlusMinus","Properties.OffensiveSnapsPlayed","Properties.Pts","Properties.OppPts","Properties.Run_Change","Properties.Spread","Properties.Total","Properties.SpreadPct","Properties.InterceptionPct","Properties.PassingSuccessfulPct","Properties.RushingSuccessfulAllowedPct","Properties.SackPct","Properties.TakeawayPct","Properties.TouchdownAllowedPct","Properties.YardsPerPassingAttempt","Properties.ReceivingTargetsMarketShare","Properties.ReceivingTouchdownsMarketShare","Properties.ReceivingYardsMarketShare","Properties.RushingTouchdownsMarketShare","Properties.RushingYardsMarketShare","Properties.OffensiveSnapsMarketShare","Properties.PassingCompletions","Properties.PassingAttempts","Properties.PassYards","Properties.PassingCompletionPercentage","Properties.PassingYardsPerAttempt","Properties.AdjYPA","Properties.PassingTouchdowns","Properties.PassingRating","Properties.PassingLong","Properties.PassingAttemptsRBPct","Properties.PassingAttemptsWRPct","Properties.PassingAttemptsTEPct","Properties.PassTDPct","Properties.PassINTPct","Properties.PassSackPct","Properties.RushingAttempts","Properties.RushingLong","Properties.RushYards","Properties.RushingYardsPerAttempt","Properties.RushingTouchdowns","Properties.RushingSuccessfulPct","Properties.ReceiveTgts","Properties.Receptions","Properties.ReceivingYards","Properties.ReceivingLong","Properties.ReceivingYardsPerReception","Properties.ReceivingTouchdowns","Properties.ReceivingYardsPerTarget","Properties.RedZoneSnaps","Properties.OpportunitiesRedZone","Properties.OpportunitiesRedZone10","Properties.OpportunitiesRedZone5","Properties.RushingTouchdownsRedZonePct","Properties.ReceivingTouchdownsRedZonePct","Properties.RushingSuccessfulPctRedZone","Properties.RedZoneSnaps10","Properties.RedZoneSnaps5","Properties.RedZoneTouchdownPct","Properties.WeatherRating","Properties.Temperature","Properties.Wind_Speed","Properties.Wind_Direction","Properties.Humidity","Properties.PrecipProb","Properties.Month_PPG","Properties.Month_FPOpp","Properties.Month_FPSnap","Properties.Month_Salary_Change","Properties.Month_X1","Properties.Month_X2","Properties.Month_X0","Properties.Month_Count","Properties.Season_PPG","Properties.Season_FPOpp","Properties.Season_FPSnap","Properties.Season_Plus_Minus","Properties.Season_Salary_Change","Properties.Season_X1","Properties.Season_X2","Properties.Season_X0","Properties.Season_Count","Properties.ExpectedSacksPct","Properties.OppPlusMinusPct","Properties.ProjPlaysPct","Properties.MktShrPct","Properties.CeilingPct","Properties.ProjPct","Properties.PtPerDPct","Properties.FloorPct","Properties.FloorPtPerDPct","Properties.ProjPlusMinusPct","Properties.Vegas","Properties.Salary_Movement","Properties.Consistency","Properties.Upside","Properties.Pro_Pct","Properties.RushingFantasyPct","Properties.Plus_Minus","Properties.Season_PPG_Percentile","Properties.ActualPoints","Properties.SourceId","Properties.IsProjected","Properties.PositionId","Properties.PlayerId","Properties.EventTeamId","Properties.EventId","Properties.FantasyResultId","Properties.FullName"
"1","47.43","0","0","25.3","3415","449335","104","0","0","0","FALSE","TE","TE","TE","NE","","0","0","1","8000","FALSE","FALSE",NA,"FALSE","FALSE",NA,NA,"FALSE","47.43","Rob Gronkowski","8000","TE","NE","@NYG","-1","18.1","23.7","12.5","-0.76","2.3","14.83","13","0","0","17-20","3.1","66","29.8","22.8","-1.5","-7","52.5","69","2.66","46.1","40.52","7.98","1.65","2.74","7.06","22.2","33.3","26.6","0","0","93.3","0","0","0",NA,NA,NA,"0","0","0",NA,NA,NA,NA,NA,NA,"0","0","0",NA,"0",NA,"8","5","82","31","15","0.8","10","8.4","1.86","0.57","0.36",NA,"26.9",NA,"4.21","3","15.08","50","54","4","Right To Left","0.45","0","20","2.28","0.29","400","25","50","25","4","19.3","2.18","0.29","1.4","1000","50","28","21","14","44","82","79","97","99","99","70","99","52","41","97","11","58","60","99",NA,"70","98","25.3","4","TRUE","104","3415","29649301","2964930","449335",""
"2","60.8","0","0","18.5","1272","449323","104","0","0","0","FALSE","TE","TE","TE","CLE","","0","0","1","4800","FALSE","FALSE",NA,"FALSE","FALSE",NA,NA,"FALSE","60.8","Gary Barnidge","4800","TE","CLE","@PIT","-1","12.9","17","8.8","3.12","2.7","8.75","11","0","11","5-8","2","48","18.3","25.3","0","7","43.5","39","2.36","44.91","50.09","4.73","1.22","4.18","7.23","15.3","37.5","18.1","0","0","69.3","0","0","0",NA,NA,NA,"0","0","0",NA,NA,NA,NA,NA,NA,"0","0","0",NA,"0",NA,"5","3","49","19","14","0.5","8.1","11","0.85","0.38","0.31",NA,"54.5",NA,"5.47","3.36","21.02","50","60","5","From Right","0.39","0","15.5","1.82","0.29","400","0","75","25","4","11.9","2.07","0.25","5.9","2300","38","46","15","13","45","59","21","85","93","93","84","94","59","81","17","11","74","88","97",NA,"96","88","18.5","4","TRUE","104","1272","29649001","2964900","449323",""
"3","68.48","0","0","17.9","6165","449282","104","0","0","0","FALSE","TE","TE","TE","WAS","","0","0","1","4600","FALSE","FALSE",NA,"FALSE","FALSE",NA,NA,"FALSE","68.48","Jordan Reed","4600","TE","WAS","NO","-1","14","18.3","9.7","4.79","3","8.37","12","0","10","31-40","4","37","25.5","26.5","0","1","52","34","1.66","51.56","46.63","5.61","0.92","4.65","8.47","17.9","25","17.3","0","0","54.6","0","0","0",NA,NA,NA,"0","0","0",NA,NA,NA,NA,NA,NA,"0","0","0",NA,"0",NA,"6","4","44","14","9.5","0.3","5.5","8.5","1.71","0.79","0.29",NA,"25",NA,"3.57","2.36","17.65","50","62","6","From Right","0.32","0","20.5","3.07","0.76","400","50","50","0","2","12.8","1.93","0.35","5.6","1300","33","50","16","12","87","91","55","71","96","96","92","96","71","93","82","11","80","86","99",NA,"95","91","17.9","4","TRUE","104","6165","29648802","2964880","449282",""
"4","50.67","0","0","16","5651","448908","104","0","0","0","FALSE","TE","TE","TE","CAR","","0","0","1","6300","FALSE","FALSE",NA,"FALSE","FALSE",NA,NA,"FALSE","50.67","Greg Olsen","6300","TE","CAR","@TEN","-1","14.2","18.7","9.7","0.17","2.3","11.6","11","0","0","5-8","4.1","69","23","19.5","0","-3.5","42.5","67","3.21","43.32","40.65","7.84","2.02","3.12","5.89","27.4","26.1","29.9","0","0","99.5","0","0","0",NA,NA,NA,"0","0","0",NA,NA,NA,NA,NA,NA,"0","0","0",NA,"0",NA,"8","5","66","23","13.3","0.4","7.8","7.92","1.5","0.43","0.14",NA,"23.8",NA,"3.23","2","18.45","50","60","2","In","0.34","0","18.8","2.15","0.27","800","25","50","25","4","14.9","1.75","0.22","3.1","1000","28","35","35","14","10","92","72","96","96","96","70","96","50","50","63","5","79","60","97",NA,"85","94","16","4","TRUE","104","5651","29648601","2964860","448908",""
"5","73.14","0","0","14.2","3209","449298","104","0","0","0","FALSE","TE","TE","TE","BAL","","0","0","1","2800","FALSE","FALSE",NA,"FALSE","FALSE",NA,NA,"FALSE","73.14","Crockett Gillmore","2800","TE","BAL","JAX","-1","8.3","11.3","5.3","4.2","3","4.95","5","0","86","2-4","0.6","35","25.5","21.5","-2.3","-4","47","39","1.68","55.37","43.7","9.47","0.91","3.75","7.6","7.6","16.7","9.2","0","0","50.6","0","0","0",NA,NA,NA,"0","0","0",NA,NA,NA,NA,NA,NA,"0","0","0",NA,"0",NA,"2","1","23","13","12.9","0.2","6.2","8.92","0.54","0.38","0.15",NA,"28.6",NA,"3.25","2.43","16.38","50","62","4","Right To Left","0.31","0","8.4","1.48","0.14","100","33","66","0","3","6.6","2.33","0.19","2.5","300","54","27","18","11","73","31","85","48","71","71","92","71","62","89","82","18","85","46","60",NA,"79","68","14.2","4","TRUE","104","3209","29649102","2964910","449298",""
"6","91.08","0","0","14.2","6335","449530","104","0","0","0","FALSE","TE","TE","TE","GB","","0","0","1","3000","FALSE","FALSE",NA,"FALSE","FALSE",NA,NA,"FALSE","91.08","Richard Rodgers","3000","TE","GB","DET","-1","12","15.9","8.1","7.33","4","5.33","8","0","96","2-4","2.3","42","30.3","19.8","0","-10.5","50","78","2.99","46.17","46.67","7.85","1.74","3.89","7.25","12","18.8","8.4","0","0.6","63.8","0","0","0",NA,NA,NA,"0","0","0",NA,NA,NA,NA,NA,NA,"0","0","0","11","0","100","3","2","22","12","8.5","0.4","5.7","9.67","0.67","0.53","0.4",NA,"50",NA,"5.38","3.08","19.31","50","57","6","From Right","0.53","0","9.3","1.55","0.17","-100","66","33","0","3","7.4","1.86","0.18","3.1","500","46","40","13","15","67","66","29","60","90","90","99","90","90","99","97","83","90","68","84",NA,"85","71","14.2","4","TRUE","104","6335","29648402","2964840","449530",""
"7","59.44","0","0","14","8792","449328","104","0","0","0","FALSE","TE","TE","TE","BAL","","0","0","1","2500","FALSE","FALSE",NA,"FALSE","FALSE",NA,NA,"FALSE","59.44","Maxx Williams","2500","TE","BAL","JAX","-1","4.7","6.7","2.7","1.45","1.9","4.38","1","0","79",NA,"0.6","23","25.5","21.5","-2.3","-4","47","39","1.68","55.37","43.7","9.47","0.91","3.75","7.6","5.9","0","5","0","0","32.6","0","0","0",NA,NA,NA,"0","0","0",NA,NA,NA,NA,NA,NA,"0","0","0",NA,"0",NA,"2","1","13","9","9","0","4","8.92","0","0","0",NA,NA,NA,"3.25","2.43","16.38","50","62","4","Right To Left","0.31","0","3.2","2.41","0.46","-300","50","0","50","2","3.3","1.37","0.14","-0.6","-200","57","0","42","7","73","31","85","29","51","51","57","51","43","64","82","91","58","48","4",NA,"49","41","14","4","TRUE","104","8792","29649102","2964910","449328",""
"8","80.17","0","0","13.8","2797","449439","104","0","0","0","FALSE","TE","TE","TE","PHI","","0","0","1","3000","FALSE","FALSE",NA,"FALSE","FALSE",NA,NA,"FALSE","80.17","Zach Ertz","3000","TE","PHI","MIA","-1","10.5","14","7","5.83","3.5","5.33","9","0","69","0-1","2.2","44","27.3","21.8","0.8","-5.5","49","66","3.35","52.47","45.27","7.1","1.72","3.9","7.82","16.7","5","16.2","0","0","61.2","0","0","0",NA,NA,NA,"0","0","0",NA,NA,NA,NA,NA,NA,"0","0","0",NA,"0",NA,"6","4","42","17","10.5","0.1","7.1","9.43","0.87","0.33","0.2",NA,"0",NA,"5.67","2.83","18.18","50","59","9","Right To Left","0.38","0","9.7","1.38","0.14","100","0","100","0","3","8.9","1.44","0.2","3.3","-600","40","53","6","15","84","63","93","62","83","83","98","84","75","98","91","18","90","88","90",NA,"86","79","13.8","4","TRUE","104","2797","29648902","2964890","449439",""
"9","50.52","0","0","11.1","2573","449182","104","0","0","0","FALSE","TE","TE","TE","CAR","","0","0","1","2500","FALSE","FALSE",NA,"FALSE","FALSE",NA,NA,"FALSE","50.52","Ed Dickson","2500","TE","CAR","@TEN","-1","2.2","3.4","1","-1.05","0.9","4.38","1","0","69",NA,"4.1","36","23","19.5","0","-3.5","42.5","67","3.21","43.32","40.65","7.84","2.02","3.12","5.89","4.8","4.3","4.7","7.1","0","53","0","0","0",NA,NA,NA,"0","0","0",NA,NA,NA,NA,NA,NA,"0","0","0",NA,"0.1",NA,"1","1","10","8","10.6","0.1","4.8","7.92","0.29","0","0",NA,"25",NA,"3.23","2","18.45","50","60","2","In","0.34","0","1.8","1.17","0.05","0","25","0","75","4","3.4","2.27","0.09","-0.3","0","50","8","41","12","10","92","72","35","29","29","34","28","20","39","63","80","56","58","4",NA,"52","42","11.1","4","TRUE","104","2573","29648601","2964860","449182",""
"10","55.24","0","0","10.6","6263","448926","104","0","0","0","FALSE","TE","TE","TE","OAK","","0","0","1","2500","FALSE","FALSE",NA,"FALSE","FALSE",NA,NA,"FALSE","55.24","Mychal Rivera","2500","TE","OAK","MIN","-1","3.3","4.8","1.8","0.05","1.3","4.38","1","0","86",NA,"2.1","42","23.5","20.5","0.7","-3","44","60","2.15","47.77","46.83","4.79","1.35","4.24","7.15","11.9","3.4","9.3","0","0","62.5","0","0","0",NA,NA,NA,"0","0","0",NA,NA,NA,NA,NA,NA,"0","0","0",NA,"0",NA,"4","2","22","10","9.2","0.1","4.3","10.64","0.6","0.2","0.2",NA,"11.1",NA,"5.07","3.36","18.79","50","57","14","To Left","0.58","6","2.2","1.12","0.12","0","66","0","33","3","5.3","1.18","0.13","0.6","-200","66","6","26","15","65","61","55","45","40","41","43","41","33","49","68","80","56","22","4",NA,"61","59","10.6","4","TRUE","104","6263","29649202","2964920","448926",""
