"","Name","Time","Buy-In","Entries","Prize Pool","Top Prize","FPts to Cash","FPts to Win","Winner"
"1","NFL $5M Millionaire Maker$5M Millionaire Maker (11/15/2015 1:00:00 PM)","11/15/2015 1:00:00 PM","$20.00","286,250","$5,000,000$5kk","$1,000,000.00",139.32,232.36,"Tlewia"
"2","NFL $1.25M Play-Action$1.25M Play-Action (11/15/2015 1:00:00 PM)","11/15/2015 1:00:00 PM","$3.00","479,166","$1,250,000$1,250k","$100,000.00",147.76,230.28,"moeyare"
"3","NFL $650K Blitz$650K Blitz (11/15/2015 1:00:00 PM)","11/15/2015 1:00:00 PM","$300.00","2,405","$650,000$650k","$100,000.00",140.46,189.34,"Gone_Gold"
"4","NFL $500K Thunderdome$500K Thunderdome (11/15/2015 1:00:00 PM)","11/15/2015 1:00:00 PM","$5,300.00","97","$500,000$500k","$100,000.00",137.42,165.26,"superm123"
"5","NFL $450K Slant$450K Slant (11/15/2015 1:00:00 PM)","11/15/2015 1:00:00 PM","$9.00","57,500","$450,000$450k","$30,000.00",139.68,239.76,"gordonjonathan1"
"6","NFL $200K Game Changer$200K Game Changer (11/15/2015 1:00:00 PM)","11/15/2015 1:00:00 PM","$1,060.00","200","$200,000$200k","$40,000.00",138.52,172.86,"mikes30911"
"7","NFL $200K Hot Route$200K Hot Route (11/15/2015 1:00:00 PM)","11/15/2015 1:00:00 PM","$100.00","2,222","$200,000$200k","$30,000.00",139.58,205.46,"tdors87"
"8","NFL $200K Flea Flicker$200K Flea Flicker (11/15/2015 1:00:00 PM)","11/15/2015 1:00:00 PM","$5.00","46,000","$200,000$200k","$20,000.00",139.92,221.38,"tuna84"
"9","NFL $150K Chop Block$150K Chop Block (11/15/2015 1:00:00 PM)","11/15/2015 1:00:00 PM","$50.00","3,359","$150,000$150k","$20,000.00",139.66,199.56,"patbin34"
"10","NFL MASSIVE $10 Double UpMASSIVE $10 Double Up (11/15/2015 1:00:00 PM)","11/15/2015 1:00:00 PM","$10.00","17,025","$150,000$150k","$20.00",123.32,201.46,"JohnCollins81"
"11","NFL $140K Super Booster$140K Super Booster (11/15/2015 1:00:00 PM)","11/15/2015 1:00:00 PM","$27.00","5,915","$140,000$140k","$1,000.00",164.96,224.96,"jdmfootball"
"12","NFL $125K First Down$125K First Down (11/15/2015 1:00:00 PM)","11/15/2015 1:00:00 PM","$1.00","143,750","$125,000$125k","$10,000.00",139.92,228.66,"spelta72"
"13","NFL $100K Nickel$100K Nickel (11/15/2015 1:00:00 PM)","11/15/2015 1:00:00 PM","$5.00","23,000","$100,000$100k","$10,000.00",140.48,223.36,"smtull"
"14","NFL $100K Double Bubble$100K Double Bubble (11/15/2015 1:00:00 PM)","11/15/2015 1:00:00 PM","$3.00","38,333","$100,000$100k","$10,000.00",127.54,229.06,"Jaletacosig"
"15","NFL $100K Sunday Kickoff presented by Fox Sports$100K Sunday Kickoff presented by Fox Sports (11/15/2015 1:00:00 PM)","11/15/2015 1:00:00 PM","$3.00","38,333","$100,000$100k","$10,000.00",140.96,221.76,"skeeter1951"
"16","NFL $75K Hail Mary$75K Hail Mary (11/15/2015 1:00:00 PM)","11/15/2015 1:00:00 PM","$12.00","7,162","$75,000$75k","$6,000.00",139.02,214.24,"SCOOOPALOOP"
