"","Name","Time","Buy-In","Entries","Prize Pool","Top Prize","FPts to Cash","FPts to Win","Winner"
"17","NFL $70K Quarter Arcade$70K Quarter Arcade (11/15/2015 1:00:00 PM)","11/15/2015 1:00:00 PM","$0.25","329,000","$70,000$70k","$2,000.00",140.16,231.22,"saradippidy"
"18","NFL BIG $10 BoosterBIG $10 Booster (11/15/2015 1:00:00 PM)","11/15/2015 1:00:00 PM","$10.00","6,810","$60,000$60k","$100.00",148.92,212.58,"jamesjv33"
"19","NFL $50K Safety$50K Safety (11/15/2015 1:00:00 PM)","11/15/2015 1:00:00 PM","$2.00","28,750","$50,000$50k","$5,000.00",139.16,211.76,"pr0ceed"
"20","NFL $40K Playmaker$40K Playmaker (11/15/2015 1:00:00 PM)","11/15/2015 1:00:00 PM","$530.00","80","$40,000$40k","$10,000.00",140.66,174.58,"mdad416"
"21","NFL $40K Spy$40K Spy (11/15/2015 1:00:00 PM)","11/15/2015 1:00:00 PM","$100.00","444","$40,000$40k","$7,000.00",137.22,199.28,"vic3098"
"22","NFL $40K Blind Side$40K Blind Side (11/15/2015 1:00:00 PM)","11/15/2015 1:00:00 PM","$27.00","1,690","$40,000$40k","$5,000.00",139.66,192.36,"daddyfatsaxbigboi"
"23","NFL BIG $2 BoosterBIG $2 Booster (11/15/2015 1:00:00 PM)","11/15/2015 1:00:00 PM","$2.00","20,125","$35,000$35k","$20.00",150.62,209.16,"cannonj24"
"24","Beginner NFL $30K Play-ActionBeginner  $30K Play-Action (11/15/2015 1:00:00 PM)","11/15/2015 1:00:00 PM","$3.00","11,495","$30,000$30k","$2,000.00",140.22,213.84,"Beavs2003"
"25","NFL $30K Red Zone$30K Red Zone (11/15/2015 1:00:00 PM)","11/15/2015 1:00:00 PM","$50.00","671","$30,000$30k","$3,000.00",141.32,188.54,"jono5986"
"26","NFL $25K Touchdown$25K Touchdown (11/15/2015 1:00:00 PM)","11/15/2015 1:00:00 PM","$200.00","138","$25,000$25k","$5,000.00",141.06,199.28,"vic3098"
"27","NFL $25K Goal Line$25K Goal Line (11/15/2015 1:00:00 PM)","11/15/2015 1:00:00 PM","$300.00","93","$25,000$25k","$6,000.00",142.26,172.46,"fuzzylogic101"
"28","NFL $25K Button Hook$25K Button Hook (11/15/2015 1:00:00 PM)","11/15/2015 1:00:00 PM","$9.00","3,194","$25,000$25k","$2,000.00",139.92,209.12,"JasonGloss89"
"29","Beginner NFL $25K GridironBeginner  $25K Gridiron (11/15/2015 1:00:00 PM)","11/15/2015 1:00:00 PM","$27.00","1,056","$25,000$25k","$3,500.00",141.86,186.56,"winterice"
"30","NFL $25K Daily Dollar$25K Daily Dollar (11/15/2015 1:00:00 PM)","11/15/2015 1:00:00 PM","$1.00","28,750","$25,000$25k","$2,000.00",140.26,228.66,"spelta72"
"31","NFL $25K Double Bubble$25K Double Bubble (11/15/2015 1:00:00 PM)","11/15/2015 1:00:00 PM","$50.00","560","$25,000$25k","$2,000.00",128.16,206.46,"SMUroach"
"32","NFL $1M Kickoff Million$1M Kickoff Million (11/12/2015 8:25:00 PM)","11/12/2015 8:25:00 PM","$5.00","199,352","$1,000,000$1kk","$100,000.00",136.08,241.16,"dbc888"
"33","NFL $200K Gridiron$200K Gridiron (11/12/2015 8:25:00 PM)","11/12/2015 8:25:00 PM","$27.00","8,450","$200,000$200k","$20,000.00",137.02,201.76,"pmb16"
"34","NFL $125K Slant$125K Slant (11/12/2015 8:25:00 PM)","11/12/2015 8:25:00 PM","$9.00","15,569","$125,000$125k","$10,000.00",137.04,210.08,"pup7058"
"35","NFL $100K Blitz$100K Blitz (11/12/2015 8:25:00 PM)","11/12/2015 8:25:00 PM","$300.00","370","$100,000$100k","$20,000.00",139.26,175.36,"thefresh"
"36","NFL $100K Play-Action$100K Play-Action (11/12/2015 8:25:00 PM)","11/12/2015 8:25:00 PM","$3.00","38,333","$100,000$100k","$10,000.00",138.36,209.56,"vmonroe312"
"37","NFL $60K First Down$60K First Down (11/12/2015 8:25:00 PM)","11/12/2015 8:25:00 PM","$1.00","69,000","$60,000$60k","$3,500.00",138.58,222.52,"SushiCartel"
"38","NFL $50K Safety$50K Safety (11/12/2015 8:25:00 PM)","11/12/2015 8:25:00 PM","$2.00","28,750","$50,000$50k","$5,000.00",138.76,207.44,"demetrakisc"
"39","NFL $50K Hot Route$50K Hot Route (11/12/2015 8:25:00 PM)","11/12/2015 8:25:00 PM","$100.00","555","$50,000$50k","$7,500.00",138.52,177.62,"cstcst"
"40","NFL $40K Hail Mary$40K Hail Mary (11/12/2015 8:25:00 PM)","11/12/2015 8:25:00 PM","$12.00","3,820","$40,000$40k","$7,000.00",138.98,204.18,"franc111"
"41","NFL $40K Chop Block$40K Chop Block (11/12/2015 8:25:00 PM)","11/12/2015 8:25:00 PM","$50.00","894","$40,000$40k","$4,000.00",138.04,189.16,"bobheth4222"
"42","NFL $35K Quarter Arcade$35K Quarter Arcade (11/12/2015 8:25:00 PM)","11/12/2015 8:25:00 PM","$0.25","164,500","$35,000$35k","$1,500.00",138.82,219.92,"truebluu"
"43","NFL $30K Hitch & Go$30K Hitch & Go (11/12/2015 8:25:00 PM)","11/12/2015 8:25:00 PM","$7.00","4,928","$30,000$30k","$2,000.00",137.36,213.18,"ibraheem100"
"44","NFL $25K Game Changer$25K Game Changer (11/12/2015 8:25:00 PM)","11/12/2015 8:25:00 PM","$1,060.00","25","$25,000$25k","$10,000.00",142.06,153.98,"IckeysColdcuts"
