"","Pos","Player","Team","Salary","Fantasy PointsFPts","Cost/FptC/Fpt"
"1","QB1","Kirk Cousins","WAS","$5,200",31.96,"$162.70"
"2","RB1","Jeremy Langford","CHI","$4,800",40.2,"$119.40"
"3","RB2","Adrian Peterson","MIN","$7,100",32.6,"$217.79"
"4","WR1","Michael Floyd","ARI","$3,800",33.3,"$114.11"
"5","WR2","Antonio Brown","PIT","$8,800",40.9,"$215.16"
"6","WR3","Martavis Bryant","PIT","$5,500",31.8,"$172.96"
"7","TE1","Rob Gronkowski","NE","$8,000",25.3,"$316.21"
"8","FLEX","Matt Jones","WAS","$3,300",30.7,"$107.49"
"9","DEF","Kansas City Chiefs","KC","$2,600",19,"$136.84"
"10"," "," "," ","$49,100",285.76," "
