"","Pos","Player","Team","Fantasy PointsFpts","Salary","Cost/Fantasy Pt"
"1","WR","Antonio Brown","PIT",40.9,"$8,800","$215.16"
"2","RB","Jeremy Langford","CHI",40.2,"$4,800","$119.40"
"3","WR","Michael Floyd","ARI",33.3,"$3,800","$114.11"
"4","RB","Adrian Peterson","MIN",32.6,"$7,100","$217.79"
"5","QB","Kirk Cousins","WAS",31.96,"$5,200","$162.70"
"6","WR","Martavis Bryant","PIT",31.8,"$5,500","$172.96"
"7","RB","Charcandrick West","KC",31.1,"$4,800","$154.34"
"8","QB","Ben Roethlisberger","PIT",30.96,"$6,800","$219.64"
"9","RB","Matt Jones","WAS",30.7,"$3,300","$107.49"
"10","WR","Doug Baldwin","SEA",29.4,"$3,400","$115.65"
"11","WR","Brandin Cooks","NO",27.9,"$6,000","$215.05"
"12","QB","Joe Flacco","BAL",26.34,"$5,500","$208.81"
"13","QB","Carson Palmer","ARI",26.32,"$6,900","$262.16"
"14","WR","Larry Fitzgerald","ARI",26,"$7,400","$284.62"
"15","QB","Eli Manning","NYG",25.44,"$6,700","$263.36"
"16","TE","Rob Gronkowski","NE",25.3,"$8,000","$316.21"
"17","QB","Aaron Rodgers","GB",25.12,"$7,500","$298.57"
"18","QB","Jay Cutler","CHI",24.72,"$5,100","$206.31"
"19","RB","LeSean McCoy","BUF",23.9,"$5,500","$230.13"
"20","WR","Mike Evans","TB",23.6,"$6,800","$288.14"
"21","WR","Odell Beckham Jr.","NYG",23.4,"$8,800","$376.07"
"22","QB","Tom Brady","NE",23.26,"$8,600","$369.73"
"23","QB","Derek Carr","OAK",22.28,"$5,800","$260.32"
"24","QB","Johnny Manziel","CLE",21.58,"$5,000","$231.70"
"25","RB","Lamar Miller","HOU",21.3,"$5,400","$253.52"
"26","QB","Cam Newton","CAR",20.98,"$7,000","$333.65"
"27","WR","Travis Benjamin","SD",20.6,"$5,200","$252.43"
"28","WR","Eric Decker","NYJ",20.5,"$5,300","$258.54"
"29","TE","Brent Celek","PHI",20.4,"$2,500","$122.55"
"30","WR","Dwayne Harris","NYG",20.2,"$3,600","$178.22"
"31","DEF","Kansas City Chiefs","KC",19,"$2,600","$136.84"
"32","WR","Jarvis Landry","MIA",18.8,"$6,700","$356.38"
"33","TE","Gary Barnidge","CLE",18.5,"$4,800","$259.46"
"34","WR","Danny Amendola","NE",17.9,"$4,000","$223.46"
"35","RB","DeMarco Murray","TEN",17.9,"$6,200","$346.37"
"36","TE","Jordan Reed","WAS",17.9,"$4,600","$256.98"
"37","WR","Davante Adams","GB",17.9,"$4,200","$234.64"
"38","RB","Todd Gurley","LA",17.9,"$7,300","$407.82"
"39","RB","Andre Ellington","ARI",17.8,"$3,700","$207.87"
"40","QB","Russell Wilson","SEA",17.8,"$5,900","$331.46"
"41","WR","Allen Hurns","JAC",17.2,"$5,800","$337.21"
"42","QB","Blake Bortles","JAC",17.02,"$5,600","$329.02"
"43","TE","Justin Perillo","GB",16.8,"$2,500","$148.81"
"44","QB","Matthew Stafford","DET",16.78,"$5,400","$321.81"
"45","QB","Ryan Fitzpatrick","NYJ",16.72,"$5,100","$305.02"
"46","WR","DeAndre Hopkins","HOU",16.7,"$8,700","$520.96"
"47","QB","Ryan Tannehill","MIA",16.48,"$5,300","$321.60"
"48","WR","Allen Robinson","JAC",16.1,"$6,700","$416.15"
"49","DEF","Pittsburgh Steelers","PIT",16,"$3,000","$187.50"
"50","WR","Jamison Crowder","WAS",16,"$3,500","$218.75"
"51","TE","Greg Olsen","CAR",16,"$6,300","$393.75"
"52","RB","LeGarrette Blount","NE",15.7,"$4,900","$312.10"
"53","RB","James Starks","GB",15.6,"$4,900","$314.10"
"54","QB","Alex Smith","KC",15.46,"$5,000","$323.42"
"55","RB","Jonathan Stewart","CAR",15.1,"$4,300","$284.77"
"56","WR","Rishard Matthews","TEN",14.7,"$4,700","$319.73"
