"","Pos","Player","Team","Salary","Fantasy PointsFPts","Cost/FptC/Fpt"
"1","QB1","Marcus Mariota","TEN","$5,500",40.92,"$134.41"
"2","RB1","James White","NE","$3,300",30.9,"$106.80"
"3","RB2","Javorius Allen","BAL","$5,400",38,"$142.11"
"4","WR1","Allen Robinson","JAC","$7,300",46.3,"$157.67"
"5","WR2","Antonio Brown","PIT","$8,600",40.8,"$210.78"
"6","WR3","Brandon Marshall","NYJ","$7,100",34.1,"$208.21"
"7","TE1","Richard Rodgers","GB","$3,100",31.6,"$98.10"
"8","FLEX","Bilal Powell","NYJ","$3,000",24.8,"$120.97"
"9","DEF","Philadelphia Eagles","PHI","$2,300",27,"$85.19"
"10"," "," "," ","$45,600",314.42," "
