"","Name","Time","Buy-In","Entries","Prize Pool","Top Prize","FPts to Cash","FPts to Win","Winner"
"1","NFL $4M Millionaire Maker$4M Millionaire Maker (12/6/2015 1:00:00 PM)","12/6/2015 1:00:00 PM","$20.00","229,000","$4,000,000$4kk","$1,000,000.00",190.8,276.46,"1DontTryThisAtHome1"
"2","NFL $1M Play-Action$1M Play-Action (12/6/2015 1:00:00 PM)","12/6/2015 1:00:00 PM","$3.00","383,333","$1,000,000$1kk","$100,000.00",187.66,278.66,"deametus"
"3","NFL $550K Blitz$550K Blitz (12/6/2015 1:00:00 PM)","12/6/2015 1:00:00 PM","$300.00","2,035","$550,000$550k","$100,000.00",196.04,251.1,"tron34"
"4","NFL $375K Slant$375K Slant (12/6/2015 1:00:00 PM)","12/6/2015 1:00:00 PM","$9.00","47,916","$375,000$375k","$25,000.00",191.28,271.46,"MarchingSaints"
"5","NFL $200K Flea Flicker$200K Flea Flicker (12/6/2015 1:00:00 PM)","12/6/2015 1:00:00 PM","$5.00","46,000","$200,000$200k","$20,000.00",191.44,270.74,"ajleeuga"
"6","NFL $175K Game Changer$175K Game Changer (12/6/2015 1:00:00 PM)","12/6/2015 1:00:00 PM","$1,060.00","175","$175,000$175k","$30,000.00",196.56,229.44,"Bhinz3305"
"7","NFL $175K Hot Route$175K Hot Route (12/6/2015 1:00:00 PM)","12/6/2015 1:00:00 PM","$100.00","1,944","$175,000$175k","$20,000.00",195.5,253.26,"gatorflavor2"
"8","NFL MASSIVE $10 Double UpMASSIVE $10 Double Up (12/6/2015 1:00:00 PM)","12/6/2015 1:00:00 PM","$10.00","17,025","$150,000$150k","$20.00",188.64,258.36,"lj0306"
"9","NFL $125K Thunderdome$125K Thunderdome (12/6/2015 1:00:00 PM)","12/6/2015 1:00:00 PM","$5,300.00","25","$125,000$125k","$40,000.00",200.3,216.86,"tmneric"
"10","NFL $125K Chop Block$125K Chop Block (12/6/2015 1:00:00 PM)","12/6/2015 1:00:00 PM","$50.00","2,800","$125,000$125k","$12,000.00",194.2,255.82,"fantasyfreak1989"
"11","NFL $120K Super Booster$120K Super Booster (12/6/2015 1:00:00 PM)","12/6/2015 1:00:00 PM","$27.00","5,070","$120,000$120k","$1,000.00",221.74,270.38,"Apc7905"
"12","NFL $100K Nickel$100K Nickel (12/6/2015 1:00:00 PM)","12/6/2015 1:00:00 PM","$5.00","23,000","$100,000$100k","$10,000.00",192.68,261.2,"saltiedawg15"
"13","NFL $100K Double Bubble$100K Double Bubble (12/6/2015 1:00:00 PM)","12/6/2015 1:00:00 PM","$3.00","38,333","$100,000$100k","$10,000.00",175.2,272.02,"penmark57"
"14","NFL $100K Sunday Kickoff presented by Fox Sports$100K Sunday Kickoff presented by Fox Sports (12/6/2015 1:00:00 PM)","12/6/2015 1:00:00 PM","$3.00","38,333","$100,000$100k","$10,000.00",191.6,267.68,"brettunderwood"
"15","NFL $100K First Down$100K First Down (12/6/2015 1:00:00 PM)","12/6/2015 1:00:00 PM","$1.00","115,000","$100,000$100k","$6,000.00",189.22,278.56,"kharvey1995"
"16","NFL BIG $10 BoosterBIG $10 Booster (12/6/2015 1:00:00 PM)","12/6/2015 1:00:00 PM","$10.00","6,810","$60,000$60k","$100.00",208.32,262.26,"rocket_jr21"
"17","NFL $60K Quarter Arcade$60K Quarter Arcade (12/6/2015 1:00:00 PM)","12/6/2015 1:00:00 PM","$0.25","282,000","$60,000$60k","$2,000.00",188.26,273.6,"Jdeezy707"
"18","NFL $50K Safety$50K Safety (12/6/2015 1:00:00 PM)","12/6/2015 1:00:00 PM","$2.00","28,750","$50,000$50k","$5,000.00",191.02,267.46,"pnutz20"
"19","NFL $50K Hail Mary$50K Hail Mary (12/6/2015 1:00:00 PM)","12/6/2015 1:00:00 PM","$12.00","4,775","$50,000$50k","$5,000.00",193.64,252,"rdog"
"20","NFL $40K Spy$40K Spy (12/6/2015 1:00:00 PM)","12/6/2015 1:00:00 PM","$100.00","444","$40,000$40k","$7,000.00",195.2,245.86,"samuelpc13"
"21","NFL $40K Blind Side$40K Blind Side (12/6/2015 1:00:00 PM)","12/6/2015 1:00:00 PM","$27.00","1,690","$40,000$40k","$5,000.00",196.36,243.38,"TSR2708"
"22","NFL $35K Hitch & Go$35K Hitch & Go (12/6/2015 1:00:00 PM)","12/6/2015 1:00:00 PM","$7.00","5,750","$35,000$35k","$2,500.00",191.36,262,"DonnaC131"
"23","NFL $30K Red Zone$30K Red Zone (12/6/2015 1:00:00 PM)","12/6/2015 1:00:00 PM","$50.00","671","$30,000$30k","$3,000.00",196.22,242.56,"cpblume"
"24","NFL $30K Playmaker$30K Playmaker (12/6/2015 1:00:00 PM)","12/6/2015 1:00:00 PM","$530.00","60","$30,000$30k","$8,000.00",203.8,221.2,"redlinedavid"
"25","NFL $25K Goal Line$25K Goal Line (12/6/2015 1:00:00 PM)","12/6/2015 1:00:00 PM","$300.00","93","$25,000$25k","$6,000.00",205.72,229.38,"browneyemafia"
"26","NFL $25K Button Hook$25K Button Hook (12/6/2015 1:00:00 PM)","12/6/2015 1:00:00 PM","$9.00","3,194","$25,000$25k","$2,000.00",194.24,260.22,"tomsta129"
"27","NFL $25K Daily Dollar$25K Daily Dollar (12/6/2015 1:00:00 PM)","12/6/2015 1:00:00 PM","$1.00","28,750","$25,000$25k","$2,000.00",191.98,270.38,"don163b"
"28","Beginner NFL $25K Play-ActionBeginner  $25K Play-Action (12/6/2015 1:00:00 PM)","12/6/2015 1:00:00 PM","$3.00","9,583","$25,000$25k","$2,000.00",187.74,264.76,"tjn7"
"29","NFL BIG $2 BoosterBIG $2 Booster (12/6/2015 1:00:00 PM)","12/6/2015 1:00:00 PM","$2.00","14,375","$25,000$25k","$20.00",207.74,270.38,"don163b"
"30","NFL $500K Kickoff Special$500K Kickoff Special (12/3/2015 8:25:00 PM)","12/3/2015 8:25:00 PM","$5.00","115,000","$500,000$500k","$50,000.00",182.2,270.36,"mackeyk8"
"31","NFL $150K Gridiron$150K Gridiron (12/3/2015 8:25:00 PM)","12/3/2015 8:25:00 PM","$27.00","6,337","$150,000$150k","$20,000.00",185.64,255.34,"mistahlee78"
"32","NFL $100K Slant$100K Slant (12/3/2015 8:25:00 PM)","12/3/2015 8:25:00 PM","$9.00","12,475","$100,000$100k","$10,000.00",183.24,267.66,"Stuckcee"
"33","NFL $80K Blitz$80K Blitz (12/3/2015 8:25:00 PM)","12/3/2015 8:25:00 PM","$300.00","267","$80,000$80k","$15,000.00",188.96,234.22,"kajkyle"
"34","NFL $75K Play-Action$75K Play-Action (12/3/2015 8:25:00 PM)","12/3/2015 8:25:00 PM","$3.00","27,320","$75,000$75k","$5,000.00",182.4,276.74,"Jimwest528"
"35","NFL GIANT $10 Double UpGIANT $10 Double Up (12/3/2015 8:25:00 PM)","12/3/2015 8:25:00 PM","$10.00","6,290","$60,000$60k","$20.00",182.26,253.34,"Penny1pimp"
"36","NFL $50K Hot Route$50K Hot Route (12/3/2015 8:25:00 PM)","12/3/2015 8:25:00 PM","$100.00","555","$50,000$50k","$7,500.00",188.48,252.86,"Matt.hart916"
"37","NFL $45K First Down$45K First Down (12/3/2015 8:25:00 PM)","12/3/2015 8:25:00 PM","$1.00","50,951","$45,000$45k","$2,000.00",181.38,263.06,"stevepb24"
"38","NFL $35K Safety$35K Safety (12/3/2015 8:25:00 PM)","12/3/2015 8:25:00 PM","$2.00","20,125","$35,000$35k","$5,000.00",181.96,257.3,"Holland81"
"39","NFL $30K Chop Block$30K Chop Block (12/3/2015 8:25:00 PM)","12/3/2015 8:25:00 PM","$50.00","643","$30,000$30k","$3,000.00",188.16,252.18,"natedogg3514"
"40","NFL $30K Quarter Arcade$30K Quarter Arcade (12/3/2015 8:25:00 PM)","12/3/2015 8:25:00 PM","$0.25","135,019","$30,000$30k","$1,000.00",178.66,271.66,"jmurphy104"
"41","NFL $30K Hail Mary$30K Hail Mary (12/3/2015 8:25:00 PM)","12/3/2015 8:25:00 PM","$12.00","2,463","$30,000$30k","$5,000.00",184.6,258.38,"jmhalle"
