"","Pos","Player","Team","Fantasy PointsFpts","Salary","Cost/Fantasy Pt"
"1","WR","Allen Robinson","JAC",46.3,"$7,300","$157.67"
"2","QB","Marcus Mariota","TEN",40.92,"$5,500","$134.41"
"3","WR","Antonio Brown","PIT",40.8,"$8,600","$210.78"
"4","QB","Cam Newton","CAR",40.14,"$7,400","$184.35"
"5","RB","Javorius Allen","BAL",38,"$5,400","$142.11"
"6","QB","Tom Brady","NE",37.78,"$8,000","$211.75"
"7","QB","Ben Roethlisberger","PIT",36.86,"$6,600","$179.06"
"8","QB","Blake Bortles","JAC",35.78,"$6,000","$167.69"
"9","WR","Brandon Marshall","NYJ",34.1,"$7,100","$208.21"
"10","QB","Russell Wilson","SEA",34.06,"$5,600","$164.42"
"11","TE","Richard Rodgers","GB",31.6,"$3,100","$98.10"
"12","RB","James White","NE",30.9,"$3,300","$106.80"
"13","WR","Odell Beckham Jr.","NYG",29.9,"$8,900","$297.66"
"14","WR","Jeremy Maclin","KC",29.5,"$5,200","$176.27"
"15","QB","Tyrod Taylor","BUF",29.24,"$5,200","$177.84"
"16","QB","Ryan Fitzpatrick","NYJ",28.8,"$5,200","$180.56"
"17","DEF","Philadelphia Eagles","PHI",27,"$2,300","$85.19"
"18","WR","A.J. Green","CIN",26.8,"$7,600","$283.58"
"19","QB","Aaron Rodgers","GB",26.62,"$7,200","$270.47"
"20","WR","Doug Baldwin","SEA",26.4,"$3,800","$143.94"
"21","WR","Dorial Green-Beckham","TEN",25.9,"$3,300","$127.41"
"22","WR","Brandin Cooks","NO",25.4,"$6,300","$248.03"
"23","QB","Blaine Gabbert","SF",25.34,"$5,000","$197.32"
"24","QB","Carson Palmer","ARI",25.24,"$6,700","$265.45"
"25","WR","Ted Ginn Jr.","CAR",25,"$3,600","$144.00"
"26","RB","Bilal Powell","NYJ",24.8,"$3,000","$120.97"
"27","QB","Alex Smith","KC",24.78,"$5,100","$205.81"
"28","WR","Martavis Bryant","PIT",24.4,"$5,600","$229.51"
"29","QB","Brian Hoyer","CHI",24.22,"$5,000","$206.44"
"30","QB","Andy Dalton","CIN",23.9,"$6,400","$267.78"
"31","TE","Greg Olsen","CAR",23.9,"$6,400","$267.78"
"32","RB","T.J. Yeldon","JAC",23.6,"$4,800","$203.39"
"33","RB","DeAngelo Williams","PIT",23.5,"$5,600","$238.30"
"34","QB","Drew Brees","NO",23.48,"$6,900","$293.87"
"35","RB","Matt Forte","NYJ",23.3,"$6,900","$296.14"
"36","RB","Thomas Rawls","SEA",23.3,"$5,400","$231.76"
"37","TE","Delanie Walker","TEN",23.2,"$5,700","$245.69"
"38","DEF","Denver Broncos","DEN",23,"$3,400","$147.83"
"39","WR","Sammy Watkins","BUF",22.9,"$5,600","$244.54"
"40","WR","Eric Decker","NYJ",21.1,"$6,300","$298.58"
"41","DEF","Pittsburgh Steelers","PIT",21,"$2,800","$133.33"
"42","WR","Danny Amendola","NE",20.64,"$4,700","$227.71"
"43","WR","Michael Floyd","ARI",20.4,"$3,800","$186.27"
"44","RB","Devonta Freeman","ATL",20.3,"$8,000","$394.09"
"45","WR","John Brown","ARI",20.3,"$4,800","$236.45"
"46","RB","Darren Sproles","PHI",20,"$3,400","$170.00"
"47","RB","David Johnson","ARI",20,"$3,400","$170.00"
"48","RB","Mark Ingram","NO",19.9,"$6,400","$321.61"
"49","WR","DeAndre Hopkins","HOU",19.8,"$8,800","$444.44"
"50","RB","Latavius Murray","OAK",19.7,"$4,800","$243.65"
"51","RB","Shaun Draughn","SF",19.6,"$4,000","$204.08"
"52","QB","Jameis Winston","TB",19.58,"$5,300","$270.68"
"53","RB","Jonathan Stewart","CAR",19.3,"$5,300","$274.61"
"54","WR","DeSean Jackson","WAS",19,"$5,100","$268.42"
"55","RB","Frank Gore","IND",18.4,"$4,300","$233.70"
"56","WR","Demaryius Thomas","DEN",18.1,"$7,200","$397.79"
"57","QB","Matthew Stafford","DET",18,"$6,100","$338.89"
"58","QB","Matt Schaub","ATL",17.32,"$5,000","$288.68"
"59","WR","Julio Jones","ATL",17.3,"$9,000","$520.23"
"60","WR","Brandon Coleman","NO",17.3,"$3,000","$173.41"
"61","WR","Mike Evans","TB",17.1,"$7,300","$426.90"
"62","DEF","Miami Dolphins","MIA",17,"$2,300","$135.29"
"63","DEF","Kansas City Chiefs","KC",17,"$3,000","$176.47"
"64","WR","Tyler Lockett","SEA",16.7,"$3,000","$179.64"
"65","TE","Charles Clay","BUF",16.6,"$3,500","$210.84"
"66","WR","Marvin Jones","DET",16.5,"$3,800","$230.30"
"67","QB","Derek Carr","OAK",16.32,"$6,200","$379.90"
"68","WR","Brian Hartline","CLE",16.3,"$3,400","$208.59"
"69","TE","Scott Chandler","NE",16.1,"$2,500","$155.28"
"70","DEF","Cincinnati Bengals","CIN",16,"$3,400","$212.50"
"71","RB","Doug Martin","TB",16,"$5,900","$368.75"
"72","RB","Jeremy Hill","CIN",15.8,"$4,800","$303.80"
"73","WR","Torrey Smith","SF",15.6,"$3,200","$205.13"
"74","WR","Michael Crabtree","OAK",15.5,"$6,500","$419.35"
"75","WR","DeVante Parker","MIA",15.3,"$3,300","$215.69"
"76","WR","Cecil Shorts III","HOU",15.2,"$3,600","$236.84"
"77","QB","Eli Manning","NYG",15.08,"$6,500","$431.03"
"78","RB","Lamar Miller","HOU",14.8,"$5,800","$391.89"
"79","WR","Golden Tate","DET",14.6,"$4,800","$328.77"
"80","RB","LeSean McCoy","BUF",14.2,"$5,700","$401.41"
"81","RB","Chris Polk","HOU",14.2,"$3,200","$225.35"
"82","QB","Matt Ryan","ATL",14.16,"$6,700","$473.16"
"83","WR","Markus Wheaton","PIT",14,"$3,600","$257.14"
"84","RB","Antonio Andrews","TEN",13.8,"$3,600","$260.87"
"85","TE","Benjamin Watson","BAL",13.8,"$4,400","$318.84"
"86","WR","Larry Fitzgerald","ARI",13.5,"$7,400","$548.15"
"87","WR","Calvin Johnson","DET",13.4,"$7,600","$567.16"
"88","QB","Kirk Cousins","WAS",13.36,"$5,200","$389.22"
"89","WR","Randall Cobb","GB",12.8,"$6,600","$515.63"
"90","QB","Sam Bradford","PHI",12.7,"$5,100","$401.57"
"91","WR","Jordan Matthews","PHI",12.6,"$5,800","$460.32"
"92","WR","Alshon Jeffery","CHI",12.5,"$6,900","$552.00"
"93","WR","Davante Adams","GB",12.1,"$4,400","$363.64"
"94","WR","Vincent Jackson","TB",11.7,"$4,700","$401.71"
"95","WR","Jerricho Cotchery","CAR",11.6,"$3,200","$275.86"
"96","WR","J.J. Nelson","ARI",11.4,"$3,000","$263.16"
"97","DEF","New York Giants","NYG",11,"$2,500","$227.27"
"98","DEF","New Orleans Saints","NO",11,"$2,000","$181.82"
"99","TE","Antonio Gates","SD",11,"$4,900","$445.45"
"100","RB","James Starks","GB",11,"$4,500","$409.09"
"101","RB","Chris Ivory","JAC",10.9,"$5,900","$541.28"
"102","TE","Gary Barnidge","CLE",10.9,"$5,300","$486.24"
"103","RB","Darren McFadden","DAL",10.9,"$5,300","$486.24"
"104","WR","Kamar Aiken","BAL",10.8,"$4,800","$444.44"
"105","RB","Spencer Ware","KC",10.5,"$4,900","$466.67"
"106","WR","Nate Washington","NE",10.4,"$3,800","$365.38"
"107","WR","Pierre Garcon","WAS",10.4,"$4,200","$403.85"
"108","TE","Clive Walford","OAK",10.3,"$2,500","$242.72"
"109","WR","Amari Cooper","OAK",10.2,"$6,900","$676.47"
"110","DEF","San Francisco 49ers","SF",10,"$2,100","$210.00"
"111","DEF","Seattle Seahawks","SEA",10,"$3,600","$360.00"
"112","TE","Will Tye","NYG",10,"$2,500","$250.00"
"113","WR","Robert Woods","BUF",9.9,"$3,300","$333.33"
"114","RB","Fred Jackson","SEA",9.8,"$3,000","$306.12"
"115","WR","Chris Givens","PHI",9.8,"$3,400","$346.94"
"116","QB","Brock Osweiler","HOU",9.74,"$5,200","$533.88"
"117","RB","Charles Sims","TB",9.7,"$3,500","$360.82"
"118","TE","Julius Thomas","JAC",9.5,"$4,000","$421.05"
"119","WR","Rashad Greene","JAC",9.5,"$3,000","$315.79"
"120","TE","Jason Witten","DAL",9.5,"$4,700","$494.74"
"121","WR","Dez Bryant","DAL",9.2,"$7,500","$815.22"
"122","TE","Craig Stevens","TEN",9.1,"$2,500","$274.73"
"123","WR","Seth Roberts","OAK",9.1,"$3,600","$395.60"
"124","DEF","Arizona Cardinals","ARI",9,"$3,900","$433.33"
"125","TE","Zach Ertz","PHI",8.9,"$2,600","$292.13"
"126","TE","Eric Ebron","DET",8.9,"$3,200","$359.55"
"127","RB","Jeremy Langford","CHI",8.8,"$5,300","$602.27"
"128","WR","Anquan Boldin","DET",8.7,"$4,100","$471.26"
"129","QB","Matt Cassel","TEN",8.58,"$5,100","$594.41"
"130","QB","Ryan Tannehill","MIA",8.54,"$5,300","$620.61"
"131","WR","Jeremy Butler","BAL",8.3,"$3,000","$361.45"
"132","RB","Jonathan Grimes","HOU",8.3,"$3,000","$361.45"
"133","WR","Terrance Williams","DAL",8.3,"$4,100","$493.98"
"134","WR","Devin Funchess","CAR",8.3,"$3,700","$445.78"
"135","RB","Theo Riddick","DET",8.1,"$3,500","$432.10"
"136","QB","Jay Cutler","CHI",8.08,"$5,100","$631.19"
"137","DEF","Washington Redskins","WAS",8,"$2,300","$287.50"
"138","QB","Matt Hasselbeck","IND",7.86,"$5,300","$674.30"
"139","WR","Dwayne Harris","NYG",7.8,"$3,200","$410.26"
"140","RB","Ka'Deem Carey","CHI",7.7,"$3,000","$389.61"
"141","QB","Austin Davis","CLE",7.6,"$5,000","$657.89"
"142","WR","Keshawn Martin","NE",7.5,"$3,000","$400.00"
"143","TE","Lee Smith","OAK",7.5,"$2,500","$333.33"
"144","WR","Nick Williams","ATL",7.5,"$3,000","$400.00"
"145","RB","Isaiah Crowell","CLE",7.4,"$3,200","$432.43"
"146","RB","Duke Johnson","CLE",7.2,"$3,800","$527.78"
"147","TE","Travis Kelce","KC",7.2,"$4,700","$652.78"
"148","QB","Philip Rivers","SD",7.08,"$6,600","$932.20"
"149","DEF","Baltimore Ravens","BAL",7,"$2,600","$371.43"
"150","DEF","San Diego Chargers","SD",7,"$2,300","$328.57"
"151","DEF","Oakland Raiders","OAK",7,"$2,300","$328.57"
"152","DEF","Chicago Bears","CHI",7,"$2,600","$371.43"
"153","WR","Brandon LaFell","CIN",6.7,"$4,800","$716.42"
"154","RB","Donald Brown","NE",6.7,"$3,000","$447.76"
"155","RB","Ameer Abdullah","DET",6.7,"$3,700","$552.24"
"156","WR","T.Y. Hilton","IND",6.6,"$5,700","$863.64"
"157","WR","Andre Johnson","TEN",6.4,"$3,300","$515.63"
"158","RB","C.J. Anderson","DEN",6.4,"$3,500","$546.88"
"159","RB","Danny Woodhead","SD",6.4,"$4,800","$750.00"
"160","RB","Charcandrick West","KC",6.4,"$5,200","$812.50"
"161","RB","Matt Jones","WAS",6.4,"$3,800","$593.75"
"162","RB","Chris Thompson","WAS",6.4,"$3,000","$468.75"
"163","RB","Adrian Peterson","MIN",6.4,"$6,600","$1,031.25"
"164","RB","Melvin Gordon III","SD",6.3,"$3,400","$539.68"
"165","TE","Jordan Reed","WAS",6.3,"$5,300","$841.27"
"166","WR","Mike Wallace","BAL",6.3,"$3,300","$523.81"
"167","WR","Roddy White","ATL",6.3,"$3,200","$507.94"
"168","TE","Austin Seferian-Jenkins","TB",6.1,"$2,500","$409.84"
"169","WR","Kenny Britt","LA",6.1,"$3,600","$590.16"
"170","DEF","New York Jets","NYJ",6,"$2,700","$450.00"
"171","DEF","Tennessee Titans","TEN",6,"$2,600","$433.33"
"172","DEF","Dallas Cowboys","DAL",6,"$2,600","$433.33"
"173","DEF","Minnesota Vikings","MIN",6,"$2,600","$433.33"
"174","DEF","Tampa Bay Buccaneers","TB",6,"$2,500","$416.67"
"175","TE","Jesse James","PIT",6,"$2,500","$416.67"
"176","TE","Coby Fleener","NO",6,"$3,000","$500.00"
"177","WR","Cordarrelle Patterson","MIN",6,"$3,000","$500.00"
"178","WR","Jamison Crowder","WAS",5.9,"$3,500","$593.22"
"179","WR","Kendall Wright","TEN",5.8,"$4,300","$741.38"
"180","WR","Quincy Enunwa","NYJ",5.7,"$3,000","$526.32"
"181","WR","TJ Jones","DET",5.7,"$3,000","$526.32"
"182","TE","Ed Dickson","CAR",5.7,"$2,500","$438.60"
"183","RB","Ronnie Hillman","DEN",5.6,"$4,500","$803.57"
"184","RB","Kenjon Barner","PHI",5.6,"$3,000","$535.71"
"185","TE","Jacob Tamme","ATL",5.6,"$3,700","$660.71"
"186","TE","Luke Willson","SEA",5.6,"$2,500","$446.43"
"187","RB","LeGarrette Blount","NE",5.4,"$5,100","$944.44"
"188","RB","Daniel Herron","BUF",5.4,"$3,000","$555.56"
"189","WR","Emmanuel Sanders","DEN",5.4,"$6,500","$1,203.70"
"190","RB","Jerick McKinnon","MIN",5.4,"$3,000","$555.56"
"191","WR","Justin Hardy","ATL",5.4,"$3,000","$555.56"
"192","WR","Marc Mariani","CHI",5.3,"$3,000","$566.04"
"193","TE","Jared Cook","GB",5.2,"$2,700","$519.23"
"194","FB","Juwan Thompson","DEN",5.1,"$3,000","$588.24"
"195","DEF","Detroit Lions","DET",5,"$2,400","$480.00"
"196","DEF","Green Bay Packers","GB",5,"$3,100","$620.00"
"197","DEF","Atlanta Falcons","ATL",5,"$3,000","$600.00"
"198","WR","Javontee Herndon","SD",5,"$3,000","$600.00"
"199","WR","Lucky Whitehead","DAL",5,"$3,000","$600.00"
"200","RB","Joique Bell","DET",5,"$3,300","$660.00"
"201","WR","Tavon Austin","LA",4.8,"$4,300","$895.83"
"202","QB","Nick Foles","KC",4.64,"$5,000","$1,077.59"
"203","RB","Terrance West","BAL",4.6,"$3,800","$826.09"
"204","WR","Bradley Marquez","LA",4.6,"$3,000","$652.17"
"205","RB","Giovani Bernard","CIN",4.5,"$4,500","$1,000.00"
"206","TE","Nick Boyle","BAL",4.5,"$2,500","$555.56"
"207","TE","Vernon Davis","WAS",4.5,"$3,000","$666.67"
"208","TE","Martellus Bennett","NE",4.4,"$3,600","$818.18"
"209","WR","Jarius Wright","MIN",4.4,"$3,000","$681.82"
"210","RB","Robert Turbin","IND",4.4,"$3,500","$795.45"
"211","WR","Donte Moncrief","IND",4.3,"$4,600","$1,069.77"
"212","RB","Orleans Darkwa","NYG",4.3,"$3,000","$697.67"
"213","RB","Rashad Jennings","NYG",4.3,"$3,600","$837.21"
"214","TE","Kyle Rudolph","MIN",4.3,"$3,700","$860.47"
"215","RB","Tre Mason","LA",4.3,"$3,000","$697.67"
"216","WR","Rueben Randle","PHI",4.2,"$3,900","$928.57"
"217","TE","Ladarius Green","PIT",4.1,"$3,000","$731.71"
"218","RB","Todd Gurley","LA",4.1,"$7,300","$1,780.49"
"219","DEF","Buffalo Bills","BUF",4,"$2,600","$650.00"
"220","DEF","Jacksonville Jaguars","JAC",4,"$2,700","$675.00"
"221","RB","David Cobb","TEN",4,"$3,300","$825.00"
"222","RB","Shane Vereen","NYG",4,"$4,200","$1,050.00"
"223","QB","Teddy Bridgewater","MIN",3.92,"$5,000","$1,275.51"
"224","WR","Bryan Walters","JAC",3.8,"$3,000","$789.47"
"225","FB","Patrick DiMarco","ATL",3.8,"$3,000","$789.47"
"226","TE","Vance McDonald","SF",3.8,"$3,000","$789.47"
"227","WR","Stefon Diggs","MIN",3.6,"$4,700","$1,305.56"
"228","WR","Wes Welker","LA",3.5,"$3,000","$857.14"
"229","RB","Brandon Bolden","NE",3.4,"$3,000","$882.35"
"230","RB","Denard Robinson","JAC",3.3,"$3,000","$909.09"
"231","TE","Owen Daniels","DEN",3.3,"$2,900","$878.79"
"232","TE","Mychal Rivera","OAK",3.3,"$2,500","$757.58"
"233","RB","Jay Ajayi","MIA",3.2,"$3,000","$937.50"
"234","TE","Virgil Green","DEN",3.2,"$2,500","$781.25"
"235","WR","Albert Wilson","KC",3.2,"$3,000","$937.50"
"236","TE","Cameron Brate","TB",3.2,"$2,500","$781.25"
"237","TE","Darren Fells","ARI",3.2,"$2,500","$781.25"
"238","WR","Darrius Heyward-Bey","PIT",3.1,"$3,000","$967.74"
"239","WR","Marqise Lee","JAC",3.1,"$3,000","$967.74"
"240","TE","Josh Hill","NO",3.1,"$2,500","$806.45"
"241","DEF","Carolina Panthers","CAR",3,"$3,500","$1,166.67"
"242","TE","Michael Hoomanawanui","NO",2.9,"$2,500","$862.07"
"243","WR","Griff Whalen","MIA",2.9,"$3,000","$1,034.48"
"244","WR","James Jones","SD",2.9,"$4,600","$1,586.21"
"245","TE","Tyler Kroft","CIN",2.7,"$2,500","$925.93"
"246","FB","Jamize Olawale","OAK",2.7,"$3,000","$1,111.11"
"247","RB","Tevin Coleman","ATL",2.7,"$4,800","$1,777.78"
"248","WR","Corey Brown","CAR",2.7,"$3,000","$1,111.11"
"249","TE","Brent Celek","PHI",2.6,"$3,000","$1,153.85"
"250","WR","Joshua Bellamy","CHI",2.6,"$3,000","$1,153.85"
"251","WR","Jared Abbrederis","GB",2.6,"$3,000","$1,153.85"
"252","WR","Jarvis Landry","MIA",2.5,"$6,700","$2,680.00"
"253","WR","Mario Alford","CIN",2.5,"$3,000","$1,200.00"
"254","WR","Dontrelle Inman","SD",2.5,"$3,200","$1,280.00"
"255","RB","Roy Helu","OAK",2.5,"$3,000","$1,200.00"
"256","WR","Corey Fuller","DET",2.5,"$3,000","$1,200.00"
"257","WR","Marlon Moore","CLE",2.4,"$3,000","$1,250.00"
"258","RB","DeMarco Murray","TEN",2.4,"$5,800","$2,416.67"
"259","WR","Riley Cooper","PHI",2.4,"$3,000","$1,250.00"
"260","WR","Marques Colston","NO",2.4,"$3,200","$1,333.33"
"261","WR","Brian Quick","LA",2.4,"$3,000","$1,250.00"
"262","TE","Jermaine Gresham","ARI",2.3,"$2,500","$1,086.96"
"263","TE","Cooper Helfet","SEA",2.3,"$2,500","$1,086.96"
"264","WR","Chris Hogan","NE",2.2,"$3,000","$1,363.64"
"265","RB","Travaris Cadet","NO",2.2,"$3,000","$1,363.64"
"266","RB","Andre Williams","NYG",2.2,"$3,000","$1,363.64"
"267","TE","James Hanna","DAL",2.1,"$2,500","$1,190.48"
"268","QB","Charlie Whitehurst","IND",2.04,"$5,000","$2,450.98"
"269","DEF","New England Patriots","NE",2,"$3,400","$1,700.00"
"270","DEF","Los Angeles Rams","LA",2,"$2,800","$1,400.00"
"271","RB","Stepfan Taylor","ARI",2,"$3,000","$1,500.00"
"272","TE","Kellen Davis","NYJ",1.8,"$2,500","$1,388.89"
"273","TE","C.J. Fiedorowicz","HOU",1.8,"$2,500","$1,388.89"
"274","WR","Harry Douglas","TEN",1.8,"$3,500","$1,944.44"
"275","TE","John Phillips","DEN",1.8,"$2,500","$1,388.89"
"276","FB","Bruce Miller","SF",1.8,"$3,000","$1,666.67"
"277","WR","Devin Street","DAL",1.8,"$3,000","$1,666.67"
"278","TE","Ryan Hewitt","CIN",1.7,"$2,500","$1,470.59"
"279","TE","Emmanuel Bibbs","CLE",1.7,"$2,500","$1,470.59"
"280","TE","Crockett Gillmore","BAL",1.7,"$3,600","$2,117.65"
"281","TE","Marcedes Lewis","JAC",1.7,"$2,500","$1,470.59"
"282","WR","Hakeem Nicks","NYG",1.7,"$3,000","$1,764.71"
"283","RB","Akeem Hunt","HOU",1.7,"$3,000","$1,764.71"
"284","RB","Damien Williams","MIA",1.6,"$3,000","$1,875.00"
"285","RB","Rex Burkhead","CIN",1.6,"$3,000","$1,875.00"
"286","TE","Dwayne Allen","IND",1.6,"$2,500","$1,562.50"
"287","WR","Adam Humphries","TB",1.6,"$3,000","$1,875.00"
"288","QB","B.J. Daniels","CHI",1.6,"$3,000","$1,875.00"
"289","WR","Malcom Floyd","SD",1.5,"$3,600","$2,400.00"
"290","WR","Myles White","NYG",1.5,"$3,000","$2,000.00"
"291","TE","Blake Bell","SF",1.5,"$2,500","$1,666.67"
"292","TE","Jordan Cameron","MIA",1.4,"$2,500","$1,785.71"
"293","TE","Dion Sims","MIA",1.4,"$2,500","$1,785.71"
"294","WR","Jonathan Krause","TB",1.4,"$3,000","$2,142.86"
"295","TE","C.J. Uzomah","CIN",1.4,"$2,500","$1,785.71"
"296","RB","Alfred Blue","HOU",1.4,"$4,600","$3,285.71"
