"","Pos","Player","Team","Fantasy PointsFpts","Salary","Cost/Fantasy Pt"
"1","WR","Odell Beckham Jr.","NYG",38.6,"$9,100","$235.75"
"2","QB","Russell Wilson","SEA",32.28,"$6,300","$195.17"
"3","WR","Doug Baldwin","SEA",32.2,"$4,500","$139.75"
"4","RB","Isaiah Crowell","CLE",31.4,"$3,400","$108.28"
"5","WR","Tyler Lockett","SEA",31.4,"$3,500","$111.46"
"6","QB","Eli Manning","NYG",31.28,"$6,100","$195.01"
"7","RB","Todd Gurley","LA",30.7,"$6,800","$221.50"
"8","TE","Jordan Reed","WAS",30,"$5,100","$170.00"
"9","WR","Ted Ginn Jr.","CAR",29.5,"$3,700","$125.42"
"10","WR","Golden Tate","DET",28.5,"$4,500","$157.89"
"11","WR","A.J. Green","CIN",28.2,"$7,900","$280.14"
"12","QB","Blake Bortles","JAC",27.7,"$6,000","$216.61"
"13","WR","Brandon Marshall","NYJ",27.5,"$7,600","$276.36"
"14","RB","James Starks","GB",26.3,"$4,300","$163.50"
"15","WR","Alshon Jeffery","CHI",25.7,"$6,900","$268.48"
"16","QB","Kirk Cousins","WAS",25.3,"$5,100","$201.58"
"17","QB","Ryan Fitzpatrick","NYJ",24.82,"$5,400","$217.57"
"18","RB","Eddie Lacy","GB",24.8,"$4,700","$189.52"
"19","WR","Michael Floyd","ARI",24.2,"$3,800","$157.02"
"20","QB","Carson Palmer","ARI",23.7,"$6,500","$274.26"
"21","QB","Drew Brees","NO",23.48,"$6,800","$289.61"
"22","QB","Marcus Mariota","TEN",23.36,"$5,700","$244.01"
"23","RB","DeAngelo Williams","PIT",23.1,"$6,000","$259.74"
"24","QB","Jay Cutler","CHI",23.1,"$5,100","$220.78"
"25","DEF","Jacksonville Jaguars","JAC",23,"$2,300","$100.00"
"26","DEF","Carolina Panthers","CAR",23,"$3,400","$147.83"
"27","QB","Cam Newton","CAR",23,"$7,500","$326.09"
"28","WR","Allen Hurns","JAC",22.5,"$5,500","$244.44"
"29","WR","Willie Snead","NO",22.2,"$4,400","$198.20"
"30","WR","Brian Hartline","CLE",21.7,"$3,700","$170.51"
"31","WR","Marques Colston","NO",21.6,"$3,000","$138.89"
"32","WR","Jarvis Landry","MIA",20.9,"$6,300","$301.44"
"33","RB","Lamar Miller","HOU",20.9,"$5,700","$272.73"
"34","WR","Eric Decker","NYJ",20.4,"$6,400","$313.73"
"35","WR","T.Y. Hilton","IND",20.2,"$5,900","$292.08"
"36","QB","Teddy Bridgewater","MIN",19.7,"$5,100","$258.88"
"37","QB","Aaron Rodgers","GB",19.42,"$7,000","$360.45"
"38","TE","Gary Barnidge","CLE",19.4,"$5,000","$257.73"
"39","WR","Sammy Watkins","BUF",19.2,"$6,100","$317.71"
"40","RB","Bilal Powell","NYJ",19.2,"$3,500","$182.29"
