"","Name","Time","Buy-In","Entries","Prize Pool","Top Prize","FPts to Cash","FPts to Win","Winner"
"1","NFL $2.5M Millionaire Maker Special$2.5M Millionaire Maker Special (12/13/2015 1:00:00 PM)","12/13/2015 1:00:00 PM","$3.00","958,333","$2,500,000$2,500k","$1,000,000.00",156.32,242.88,"TheBrewster"
"2","NFL $1.5M Gridiron$1.5M Gridiron (12/13/2015 1:00:00 PM)","12/13/2015 1:00:00 PM","$27.00","63,378","$1,500,000$1,500k","$100,000.00",156.18,231.48,"herberh2"
"3","NFL $700K Hot Route Championship$700K Hot Route Championship (12/13/2015 1:00:00 PM)","12/13/2015 1:00:00 PM","$100.00","7,770","$700,000$700k","$100,000.00",158.08,218.48,"dacrakaman"
"4","NFL $300K Super Booster$300K Super Booster (12/13/2015 1:00:00 PM)","12/13/2015 1:00:00 PM","$27.00","12,675","$300,000$300k","$1,000.00",186.88,218.4,"Maddogg88"
"5","NFL $250K Slant$250K Slant (12/13/2015 1:00:00 PM)","12/13/2015 1:00:00 PM","$9.00","31,944","$250,000$250k","$15,000.00",157.4,225.78,"Tyler2834"
"6","NFL $175K Game Changer$175K Game Changer (12/13/2015 1:00:00 PM)","12/13/2015 1:00:00 PM","$1,060.00","175","$175,000$175k","$30,000.00",159.88,200.18,"dreamteam1252"
"7","NFL $150K Flea Flicker$150K Flea Flicker (12/13/2015 1:00:00 PM)","12/13/2015 1:00:00 PM","$5.00","34,500","$150,000$150k","$15,000.00",158.22,233.62,"mkings"
"8","NFL $150K Blitz$150K Blitz (12/13/2015 1:00:00 PM)","12/13/2015 1:00:00 PM","$300.00","555","$150,000$150k","$25,000.00",161.22,215.7,"BobbyFi"
"9","NFL MASSIVE $10 Double UpMASSIVE $10 Double Up (12/13/2015 1:00:00 PM)","12/13/2015 1:00:00 PM","$10.00","14,187","$125,000$125k","$20.00",140.02,225.78,"Tyler2834"
"10","NFL $125K Thunderdome$125K Thunderdome (12/13/2015 1:00:00 PM)","12/13/2015 1:00:00 PM","$5,300.00","24","$125,000$125k","$40,000.00",166.92,175,"toobs18"
"11","NFL $100K Sunday Kickoff presented by Fox Sports$100K Sunday Kickoff presented by Fox Sports (12/13/2015 1:00:00 PM)","12/13/2015 1:00:00 PM","$3.00","38,333","$100,000$100k","$10,000.00",157.76,234.08,"mwagz3"
"12","NFL $100K First Down$100K First Down (12/13/2015 1:00:00 PM)","12/13/2015 1:00:00 PM","$1.00","115,000","$100,000$100k","$6,000.00",158.18,242.5,"Annieainn"
"13","NFL $80K Chop Block$80K Chop Block (12/13/2015 1:00:00 PM)","12/13/2015 1:00:00 PM","$50.00","1,792","$80,000$80k","$7,500.00",158.06,217.38,"justguessing74"
"14","NFL $75K Nickel$75K Nickel (12/13/2015 1:00:00 PM)","12/13/2015 1:00:00 PM","$5.00","17,250","$75,000$75k","$7,000.00",159.08,218.4,"Maddogg88"
"15","NFL $60K Quarter Arcade$60K Quarter Arcade (12/13/2015 1:00:00 PM)","12/13/2015 1:00:00 PM","$0.25","282,000","$60,000$60k","$2,000.00",157.52,239.28,"annguon1"
