"","Pos","Player","Team","Salary","Fantasy PointsFPts","Cost/FptC/Fpt"
"1","QB1","Russell Wilson","SEA","$6,300",32.28,"$195.17"
"2","RB1","Isaiah Crowell","CLE","$3,400",31.4,"$108.28"
"3","RB2","Todd Gurley","LA","$6,800",30.7,"$221.50"
"4","WR1","Tyler Lockett","SEA","$3,500",31.4,"$111.46"
"5","WR2","Odell Beckham Jr.","NYG","$9,100",38.6,"$235.75"
"6","WR3","Doug Baldwin","SEA","$4,500",32.2,"$139.75"
"7","TE1","Jordan Reed","WAS","$5,100",30,"$170.00"
"8","FLEX","Ted Ginn Jr.","CAR","$3,700",29.5,"$125.42"
"9","DEF","Jacksonville Jaguars","JAC","$2,300",23,"$100.00"
"10"," "," "," ","$44,700",279.08," "
