"","Name","Time","Buy-In","Entries","Prize Pool","Top Prize","FPts to Cash","FPts to Win","Winner"
"1","NFL $300K Sunday Night Special$300K Sunday Night Special (9/20/2015 8:30:00 PM)","9/20/2015 8:30:00 PM","$3.00","115,000","$300,000$300k","$50,000.00",114.94,165.86,"PaQMaNPKNY"
"2","NFL $125K Gridiron$125K Gridiron (9/20/2015 8:30:00 PM)","9/20/2015 8:30:00 PM","$27.00","5,281","$125,000$125k","$6,000.00",115.6,159.54,"grgt72"
"3","NFL $30K Blitz$30K Blitz (9/20/2015 8:30:00 PM)","9/20/2015 8:30:00 PM","$300.00","111","$30,000$30k","$7,000.00",113.86,154.06,"Wheater23"
"4","NFL $30K Slant$30K Slant (9/20/2015 8:30:00 PM)","9/20/2015 8:30:00 PM","$9.00","3,832","$30,000$30k","$2,500.00",116.4,156.06,"jbonhomme2000"
"5","NFL $10M Millionaire Maker$10M Millionaire Maker (9/20/2015 1:00:00 PM)","9/20/2015 1:00:00 PM","$20.00","426,105","$10,000,000$10kk","$2,000,000.00",137.94,246.18,"TheDuganBrothers"
"6","NFL $1M Play-Action$1M Play-Action (9/20/2015 1:00:00 PM)","9/20/2015 1:00:00 PM","$3.00","383,333","$1,000,000$1kk","$100,000.00",143.16,246.66,"13chris44"
"7","NFL $1M Blitz$1M Blitz (9/20/2015 1:00:00 PM)","9/20/2015 1:00:00 PM","$300.00","3,324","$1,000,000$1kk","$150,000.00",145.56,219.46,"BrandonAdams"
"8","NFL MASSIVE $25 Double UpMASSIVE $25 Double Up (9/20/2015 1:00:00 PM)","9/20/2015 1:00:00 PM","$25.00","22,625","$500,000$500k","$50.00",129.9,221.26,"Thieman17"
"9","NFL $500K Slant$500K Slant (9/20/2015 1:00:00 PM)","9/20/2015 1:00:00 PM","$9.00","63,875","$500,000$500k","$40,000.00",145.8,230.66,"steelfan77"
"10","NFL $250K Game Changer$250K Game Changer (9/20/2015 1:00:00 PM)","9/20/2015 1:00:00 PM","$1,060.00","242","$250,000$250k","$50,000.00",148.1,193.96,"BigPenguin"
"11","NFL MASSIVE $10 Double UpMASSIVE $10 Double Up (9/20/2015 1:00:00 PM)","9/20/2015 1:00:00 PM","$10.00","17,025","$150,000$150k","$20.00",130.94,223.46,"dvona01"
"12","NFL $150K Flea Flicker$150K Flea Flicker (9/20/2015 1:00:00 PM)","9/20/2015 1:00:00 PM","$5.00","34,500","$150,000$150k","$15,000.00",146.1,225.56,"efoster"
"13","NFL $150K Hail Mary$150K Hail Mary (9/20/2015 1:00:00 PM)","9/20/2015 1:00:00 PM","$12.00","14,325","$150,000$150k","$20,000.00",146.8,216.82,"TwoGun"
"14","NFL $150K Hot Route$150K Hot Route (9/20/2015 1:00:00 PM)","9/20/2015 1:00:00 PM","$100.00","1,666","$150,000$150k","$15,000.00",147.04,207.76,"BigPenguin"
"15","NFL $150K Thunderdome$150K Thunderdome (9/20/2015 1:00:00 PM)","9/20/2015 1:00:00 PM","$5,300.00","30","$150,000$150k","$50,000.00",152.72,178.26,"BigPenguin"
"16","NFL $100K Pylon$100K Pylon (9/20/2015 1:00:00 PM)","9/20/2015 1:00:00 PM","$3.00","38,333","$100,000$100k","$10,000.00",144.64,230.16,"spikees48"
"17","NFL $100K Super Booster$100K Super Booster (9/20/2015 1:00:00 PM)","9/20/2015 1:00:00 PM","$27.00","4,200","$100,000$100k","$1,000.00",172.66,218.3,"dpm7990"
"18","NFL $100K Play-Action$100K Play-Action (9/20/2015 1:00:00 PM)","9/20/2015 1:00:00 PM","$3.00","38,333","$100,000$100k","$10,000.00",146.5,230.56,"BuxAlum09"
"19","NFL MASSIVE $50 Double UpMASSIVE $50 Double Up (9/20/2015 1:00:00 PM)","9/20/2015 1:00:00 PM","$50.00","2,224","$100,000$100k","$100.00",127.9,198.4,"Asl233"
"20","NFL $100K First Down$100K First Down (9/20/2015 1:00:00 PM)","9/20/2015 1:00:00 PM","$1.00","115,000","$100,000$100k","$3,000.00",145.06,228.44,"MadScout"
"21","NFL $100K Huddle$100K Huddle (9/20/2015 1:00:00 PM)","9/20/2015 1:00:00 PM","$5.00","23,000","$100,000$100k","$10,000.00",144.86,226.96,"mjones70"
