"","Pos","Player","Team","Salary","Fantasy PointsFPts","Cost/FptC/Fpt"
"1","QB1","Ben Roethlisberger","PIT","$7,200",33.66,"$213.90"
"2","RB1","Matt Jones","WAS","$3,500",31.6,"$110.76"
"3","RB2","DeAngelo Williams","PIT","$5,300",31.2,"$169.87"
"4","WR1","Larry Fitzgerald","ARI","$5,400",40.2,"$134.33"
"5","WR2","Antonio Brown","PIT","$8,800",39.5,"$222.78"
"6","WR3","Allen Robinson","JAC","$4,900",36.5,"$134.25"
"7","TE1","Rob Gronkowski","NE","$7,300",27.3,"$267.40"
"8","FLEX","Travis Benjamin","SD","$3,400",35.5,"$95.77"
"9","DEF","Denver Broncos","DEN","$2,800",21,"$133.33"
"10"," "," "," ","$48,600",296.46," "
