"","Pos","Player","Team","Fantasy PointsFpts","Salary","Cost/Fantasy Pt"
"1","WR","Larry Fitzgerald","ARI",40.2,"$5,400","$134.33"
"2","WR","Antonio Brown","PIT",39.5,"$8,800","$222.78"
"3","WR","Allen Robinson","JAC",36.5,"$4,900","$134.25"
"4","WR","Travis Benjamin","SD",35.5,"$3,400","$95.77"
"5","WR","Julian Edelman","NE",33.9,"$6,700","$197.64"
"6","QB","Ben Roethlisberger","PIT",33.66,"$7,200","$213.90"
"7","QB","Tom Brady","NE",32.24,"$7,500","$232.63"
"8","RB","Matt Jones","WAS",31.6,"$3,500","$110.76"
"9","RB","DeAngelo Williams","PIT",31.2,"$5,300","$169.87"
"10","WR","Odell Beckham Jr.","NYG",30.6,"$8,800","$287.58"
"11","QB","Colin Kaepernick","SF",30.5,"$6,600","$216.39"
"12","QB","Derek Carr","OAK",30.34,"$5,500","$181.28"
"13","WR","Julio Jones","ATL",29.5,"$8,900","$301.69"
"14","WR","Michael Crabtree","OAK",29.1,"$4,100","$140.89"
"15","WR","Torrey Smith","SF",29,"$5,400","$186.21"
"16","QB","Tyrod Taylor","BUF",28.98,"$6,200","$213.94"
"17","WR","Emmanuel Sanders","DEN",28.7,"$7,600","$264.81"
"18","QB","Cam Newton","CAR",28.4,"$7,200","$253.52"
"19","WR","Donte Moncrief","IND",28.2,"$4,600","$163.12"
"20","WR","Steve Smith, Sr.","BAL",28,"$6,000","$214.29"
"21","TE","Rob Gronkowski","NE",27.3,"$7,300","$267.40"
"22","QB","Ryan Tannehill","MIA",27.06,"$7,000","$258.68"
"23","WR","Amari Cooper","OAK",26.9,"$6,400","$237.92"
"24","WR","Brandon Marshall","NYJ",26.1,"$6,400","$245.21"
"25","TE","Crockett Gillmore","BAL",25.8,"$2,500","$96.90"
"26","QB","Joe Flacco","BAL",25.56,"$6,400","$250.39"
"27","RB","Dion Lewis","NE",24.8,"$3,400","$137.10"
"28","WR","Calvin Johnson","DET",24.3,"$8,200","$337.45"
"29","WR","Eric Decker","NYJ",23.7,"$5,100","$215.19"
"30","RB","Jamaal Charles","KC",23.7,"$7,600","$320.68"
"31","RB","Adrian Peterson","MIN",23.2,"$7,700","$331.90"
"32","QB","Russell Wilson","SEA",23.04,"$7,300","$316.84"
"33","WR","Jarvis Landry","MIA",22.6,"$5,900","$261.06"
"34","WR","Demaryius Thomas","DEN",22.6,"$8,400","$371.68"
"35","WR","Randall Cobb","GB",22.6,"$7,400","$327.43"
"36","QB","Aaron Rodgers","GB",22.26,"$8,300","$372.87"
"37","QB","Carson Palmer","ARI",22.2,"$6,700","$301.80"
"38","WR","Doug Baldwin","SEA",22.2,"$4,200","$189.19"
"39","QB","Blake Bortles","JAC",21.62,"$5,300","$245.14"
