"","Score","ProjPoints","Points","ActualPoints","PlayerId","FantasyResultId","PositionId","LineupCount","CurrentExposure","ExposureProbability","IsExposureLocked","FirstPosition","Positions","Position","TeamName","FullName","Cnt","Correlation","PositionCount","Salary","IsLocked","IsExcluded","Exposure","IsLiked","Properties.IsLocked","Properties.InjuryStatus","Properties.Confirmed","Properties.IsExcluded","Properties.Score","Properties.Player_Name","Properties.Salary","Properties.Position","Properties.Team","Properties.Opposing_TeamFB","Properties.Exp","Properties.AvgPts","Properties.Ceiling","Properties.Floor","Properties.ProjPlusMinus","Properties.PtVal","Properties.ImpPts","Properties.Trend","Properties.MyTrends","Properties.Site_Salary","Properties.p_own","Properties.OppPlusMinus","Properties.OffensiveSnapsPlayed","Properties.Pts","Properties.OppPts","Properties.Run_Change","Properties.Spread","Properties.Total","Properties.SpreadPct","Properties.InterceptionPct","Properties.PassingSuccessfulPct","Properties.RushingSuccessfulAllowedPct","Properties.SackPct","Properties.TakeawayPct","Properties.TouchdownAllowedPct","Properties.YardsPerPassingAttempt","Properties.ReceivingTargetsMarketShare","Properties.ReceivingTouchdownsMarketShare","Properties.ReceivingYardsMarketShare","Properties.RushingTouchdownsMarketShare","Properties.RushingYardsMarketShare","Properties.OffensiveSnapsMarketShare","Properties.PassingCompletions","Properties.PassingAttempts","Properties.PassYards","Properties.PassingCompletionPercentage","Properties.PassingYardsPerAttempt","Properties.AdjYPA","Properties.PassingTouchdowns","Properties.PassingRating","Properties.PassingLong","Properties.PassingAttemptsRBPct","Properties.PassingAttemptsWRPct","Properties.PassingAttemptsTEPct","Properties.PassTDPct","Properties.PassINTPct","Properties.PassSackPct","Properties.RushingAttempts","Properties.RushingLong","Properties.RushYards","Properties.RushingYardsPerAttempt","Properties.RushingTouchdowns","Properties.RushingSuccessfulPct","Properties.ReceiveTgts","Properties.Receptions","Properties.ReceivingYards","Properties.ReceivingLong","Properties.ReceivingYardsPerReception","Properties.ReceivingTouchdowns","Properties.ReceivingYardsPerTarget","Properties.RedZoneSnaps","Properties.OpportunitiesRedZone","Properties.OpportunitiesRedZone10","Properties.OpportunitiesRedZone5","Properties.RushingTouchdownsRedZonePct","Properties.ReceivingTouchdownsRedZonePct","Properties.RushingSuccessfulPctRedZone","Properties.RedZoneSnaps10","Properties.RedZoneSnaps5","Properties.RedZoneTouchdownPct","Properties.WeatherRating","Properties.Temperature","Properties.Wind_Speed","Properties.Wind_Direction","Properties.Humidity","Properties.PrecipProb","Properties.Month_PPG","Properties.Month_FPOpp","Properties.Month_FPSnap","Properties.Month_Salary_Change","Properties.Month_X1","Properties.Month_X2","Properties.Month_X0","Properties.Month_Count","Properties.Season_PPG","Properties.Season_FPOpp","Properties.Season_FPSnap","Properties.Season_Plus_Minus","Properties.Season_Salary_Change","Properties.Season_X1","Properties.Season_X2","Properties.Season_X0","Properties.Season_Count","Properties.ExpectedSacksPct","Properties.OppPlusMinusPct","Properties.ProjPlaysPct","Properties.MktShrPct","Properties.CeilingPct","Properties.ProjPct","Properties.PtPerDPct","Properties.FloorPct","Properties.FloorPtPerDPct","Properties.ProjPlusMinusPct","Properties.Vegas","Properties.Salary_Movement","Properties.Consistency","Properties.Upside","Properties.Pro_Pct","Properties.RushingFantasyPct","Properties.Plus_Minus","Properties.Season_PPG_Percentile","Properties.ActualPoints","Properties.SourceId","Properties.IsProjected","Properties.PositionId","Properties.PlayerId","Properties.EventTeamId","Properties.EventId","Properties.FantasyResultId","Properties.FullName"
"1","45.26","0","0","27.3","3415","397784","104","0","0","0","FALSE","TE","TE","TE","NE","","0","0","1","7300","FALSE","FALSE",NA,"FALSE","FALSE",NA,NA,"FALSE","45.26","Rob Gronkowski","7300","TE","NE","@BUF","-1","16.6","21.8","11.4","-0.27","2.3","13.5","12","0","7","13-16","-1.3","58","21.5","23.5","-1.3","2","45","69","2.21","46.49","44.68","6.64","1.3","3.02","7.5","23.3","38.9","28.7","0","0","84.3","0","0","0",NA,NA,NA,"0","0","0",NA,NA,NA,NA,NA,NA,"0","0","0",NA,"0",NA,"8","5","81","28","14.5","1","9.7","8.6","1.57","0.57","0.29",NA,"50",NA,"4.43","2.88","17.83","50","65","4","Out","0.51","0","32.4","4.05","0.53","300","0","100","0","1","20.5","2.35","0.35","4.6","300","57","35","7","14","13","4","46","89","98","98","70","98","52","46","49","13","79","72","99",NA,"93","99","27.3","4","TRUE","104","3415","28975001","2897500","397784",""
"2","76.5","0","0","25.8","3209","397935","104","0","0","0","FALSE","TE","TE","TE","BAL","","0","0","1","2500","FALSE","FALSE",NA,"FALSE","FALSE",NA,NA,"FALSE","76.5","Crockett Gillmore","2500","TE","BAL","@OAK","-1","8.7","11.7","5.7","5.45","3.5","4.38","4","0","69","0-1","2.6","29","24","18","-0.5","-6","42","83","2.14","52.43","41.51","10.1","1.19","3.32","6.95","4.2","4.5","4.3","0","0","45.3","0","0","0",NA,NA,NA,"0","0","0",NA,NA,NA,NA,NA,NA,"0","0","0",NA,"0",NA,"1","0","10","7","12","0.1","5.1","9.29","0.29","0.14","0.07",NA,"25",NA,"3.92","2.55","16.15","50","89","4","To Left","0.28","0","4.3","1.08","0.08","0","100","0","0","1","2.9","2.17","0.1","-1.6","0","72","0","27","11","88","73","46","26","73","74","98","75","75","96","72","80","42","29","48",NA,"32","35","25.8","4","TRUE","104","3209","28975601","2897560","397935",""
"3","66.83","0","0","19.4","2855","397726","104","0","0","0","FALSE","TE","TE","TE","TEN","","0","0","1","2500","FALSE","FALSE",NA,"FALSE","FALSE",NA,NA,"FALSE","66.83","Anthony Fasano","2500","TE","TEN","@CLE","-1","6.8","9.3","4.3","3.55","2.7","4.38","2","0","79","0-1","-0.9","40","20","21","0.5","1","41","74","2.14","49.81","45.11","6.81","1.11","4.72","7.45","6.5","14.3","5.7","0","0","65.1","0","0","0",NA,NA,NA,"0","0","0",NA,NA,NA,NA,NA,NA,"0","0","0",NA,"0",NA,"1","1","12","8","8.8","0.2","6.5","11.2","0.36","0.07","0.07",NA,"60",NA,"5.27","3","20.83","50","66","11","In","0.6","0","2.8","2.8","0.09","0","100","0","0","1","4","2.06","0.1","-0.8","0","35","21","42","14","37","6","29","40","63","64","84","64","54","84","34","80","51","72","18",NA,"47","48","19.4","4","TRUE","104","2855","28974801","2897480","397726",""
"4","53.42","0","0","15.3","2723","397830","104","0","0","0","FALSE","TE","TE","TE","DET","","0","0","1","3300","FALSE","FALSE",NA,"FALSE","FALSE",NA,NA,"FALSE","53.42","Eric Ebron","3300","TE","DET","@MIN","-1","8.5","11.5","5.5","2.98","2.6","5.9","6","0","14","0-1","0.4","35","20.8","23.3","0.3","2.5","44","64","3.53","49.56","38.62","6.7","2.23","3.77","7.01","10.8","13.3","8.9","0","0","54.4","0","0","0",NA,NA,NA,"0","0","0",NA,NA,NA,NA,NA,NA,"0","0","0",NA,"0",NA,"3","2","21","11","10.1","0.2","5","7.87","0.58","0.33","0.08",NA,"57.1",NA,"5","3.2","22.88","50","68","9","In","0.54","0","15.3","3.06","0.51","400","0","100","0","1","5.4","1.43","0.15","0.7","400","66","16","16","12","24","26","46","49","72","73","81","73","54","79","41","11","71","69","69",NA,"62","60","15.3","4","TRUE","104","2723","28975201","2897520","397830",""
"5","63.38","0","0","14.9","2749","397766","104","0","0","0","FALSE","TE","TE","TE","CIN","","0","0","1","4200","FALSE","FALSE",NA,"FALSE","FALSE",NA,NA,"FALSE","63.38","Tyler Eifert","4200","TE","CIN","SD","-1","11.4","15.2","7.6","3.33","2.7","7.61","13","0","18","17-20","1.5","67","25.5","22","1","-3.5","47.5","59","3.38","51.89","47.6","3.38","1.77","3.53","6.55","35.3","100","38.7","0","0","98.5","0","0","0",NA,NA,NA,"0","0","0",NA,NA,NA,NA,NA,NA,"0","0","0",NA,"0",NA,"12","9","104","31","11.6","2","8.7","8.86","2","1","0",NA,"100",NA,"5","3.78","20.16","50","72","5","In","0.45","0","34.4","2.87","0.51","700","0","100","0","1","34.4","2.87","0.51","28","700","0","100","0","1","3","48","29","99","88","88","84","88","59","82","82","6","100","100","99",NA,"100","99","14.9","4","TRUE","104","2749","28974902","2897490","397766",""
"6","56.1","0","0","14.2","6165","397692","104","0","0","0","FALSE","TE","TE","TE","WAS","","0","0","1","3700","FALSE","FALSE",NA,"FALSE","FALSE",NA,NA,"FALSE","56.1","Jordan Reed","3700","TE","WAS","LA","-1","10.3","13.8","6.8","3.65","2.8","6.66","10","0","11","2-4","-1.2","38","19","22","-0.5","3","41","23","1.19","51.49","43.8","5.96","0.68","5.01","8.07","20.4","9.1","17.3","0","0","57.3","0","0","0",NA,NA,NA,"0","0","0",NA,NA,NA,NA,NA,NA,"0","0","0",NA,"0",NA,"6","5","47","16","9.4","0.1","7.2","9","1.64","1.09","0.36",NA,"22.2",NA,"4.54","3","20.74","50","73","7","Out","0.55","0","19.3","1.75","0.29","400","0","100","0","1","10.6","1.55","0.28","3.5","400","36","36","27","11","99","4","29","85","82","82","87","83","59","85","24","11","76","62","94",NA,"87","85","14.2","4","TRUE","104","6165","28974602","2897460","397692",""
"7","59.51","0","0","14","6442","397850","104","0","0","0","FALSE","TE","TE","TE","MIN","","0","0","1","3500","FALSE","FALSE",NA,"FALSE","FALSE",NA,NA,"FALSE","59.51","Kyle Rudolph","3500","TE","MIN","DET","-1","8.8","11.9","5.7","2.71","2.5","6.28","4","0","16","0-1","1.7","46","23.3","20.8","-0.2","-2.5","44","36","2.19","48.71","51.86","7.36","1.19","4.07","7.02","12.3","11.1","12.1","0","0","80.4","0","0","0",NA,NA,NA,"0","0","0",NA,NA,NA,NA,NA,NA,"0","0","0",NA,"0",NA,"3","2","26","10","9.8","0.1","5","8.93","0.25","0.25","0.25",NA,"50",NA,"3.4","2.33","19.4","50","68","9","In","0.54","0","10.3","1.47","0.2","0","0","100","0","1","6.2","1.7","0.13","0.4","0","12","50","37","8","67","52","10","59","74","74","76","75","52","77","66","80","71","86","48",NA,"59","65","14","4","TRUE","104","6442","28975202","2897520","397850",""
"8","76.54","0","0","13.3","6335","398025","104","0","0","0","FALSE","TE","TE","TE","GB","","0","0","1","2500","FALSE","FALSE",NA,"FALSE","FALSE",NA,NA,"FALSE","76.54","Richard Rodgers","2500","TE","GB","SEA","-1","7.7","10.6","4.8","4.45","3.1","4.38","4","0","86","0-1","0.6","30","26.3","22.8","0.3","-3.5","49","65","3.33","48.7","50.98","7.41","1.91","3.8","6.91","6.7","5.4","6.1","0","0.6","47.2","0","0","0",NA,NA,NA,"0","0","0",NA,NA,NA,NA,NA,NA,"0","0","0","11","0","100","2","1","16","11","11","0.1","6","10.53","0.53","0.13","0.13",NA,"12.5",NA,"6.15","3.64","15.82","50","56","4","In","0.78","0","6.8","1.7","0.18","0","100","0","0","1","4.4","1.99","0.15","-0.2","0","42","21","35","14","24","31","0","38","68","68","94","68","62","91","86","80","58","60","48",NA,"53","52","13.3","4","TRUE","104","6335","28975902","2897590","398025",""
"9","55.81","0","0","13","5651","397923","104","0","0","0","FALSE","TE","TE","TE","CAR","","0","0","1","4900","FALSE","FALSE",NA,"FALSE","FALSE",NA,NA,"FALSE","55.81","Greg Olsen","4900","TE","CAR","HOU","-1","11.2","15.1","7.3","1.14","2.3","8.94","8","0","8","5-8","0.7","67","22","19","-0.3","-3","41","46","2.5","48.75","42.56","7.32","1.45","4.43","6.98","21.2","23.8","24.7","0","0","96.6","0","0","0",NA,NA,NA,"0","0","0",NA,NA,NA,NA,NA,NA,"0","0","0",NA,"0",NA,"7","4","57","19","12.2","0.3","7.9","8.29","1.27","0.27","0",NA,"26.3",NA,"3.71","2.3","23.28","50","87","1","In","0.46","0","2.1","0.7","0.03","-400","0","0","100","1","13.1","1.84","0.2","1.5","-400","13","46","40","15","94","34","90","94","87","87","70","85","50","60","55","94","74","77","84",NA,"70","91","13","4","TRUE","104","5651","28975502","2897550","397923",""
"10","77.8","0","0","12.8","2631","397714","104","0","0","0","FALSE","TE","TE","TE","NYG","","0","0","1","3100","FALSE","FALSE",NA,"FALSE","FALSE",NA,NA,"FALSE","77.8","Larry Donnell","3100","TE","NYG","ATL","-1","8.9","12","5.8","3.95","2.9","5.52","6","0","86","0-1","1.1","53","25.8","23.8","-0.7","-2","49.5","54","3.75","50.69","44.91","8.28","2.1","4.29","7.88","14.1","18.5","12","0","0","75.6","0","0","0",NA,NA,NA,"0","0","0",NA,NA,NA,NA,NA,NA,"0","0","0",NA,"0",NA,"5","3","33","14","9.4","0.3","5.9","7.67","1.47","0.73","0.33",NA,"22.7",NA,"4.67","2.73","20.87","50","74","6","Out","0.43","0","5.1","1.28","0.12","-100","100","0","0","1","8.7","1.65","0.16","1.1","-100","60","26","13","15","99","39","90","70","75","75","89","75","62","87","84","83","62","44","69",NA,"67","78","12.8","4","TRUE","104","2631","28974702","2897470","397714",""
