"","Pos","Player","Team","Fantasy PointsFpts","Salary","Cost/Fantasy Pt"
"1","WR","A.J. Green","CIN",47.7,"$7,200","$150.94"
"2","WR","Steve Smith, Sr.","BAL",46.6,"$6,300","$135.19"
"3","RB","Devonta Freeman","ATL",45.3,"$4,600","$101.55"
"4","WR","Julio Jones","ATL",43.4,"$9,000","$207.37"
"5","WR","Keenan Allen","SD",40.3,"$6,800","$168.73"
"6","QB","Aaron Rodgers","GB",37.92,"$8,000","$210.97"
"7","WR","Larry Fitzgerald","ARI",37.4,"$5,800","$155.08"
"8","TE","Greg Olsen","CAR",36.4,"$4,800","$131.87"
"9","QB","Andy Dalton","CIN",35.32,"$5,700","$161.38"
"10","WR","Randall Cobb","GB",35.3,"$7,300","$206.80"
"11","QB","Cam Newton","CAR",32.9,"$6,800","$206.69"
"12","WR","Rishard Matthews","TEN",32.3,"$3,800","$117.65"
"13","RB","Jamaal Charles","KC",31.2,"$7,400","$237.18"
"14","WR","Jeremy Maclin","KC",31.1,"$6,000","$192.93"
"15","RB","Chris Johnson","ARI",31,"$4,000","$129.03"
"16","RB","Joseph Randle","DAL",30.5,"$5,100","$167.21"
"17","WR","James Jones","SD",29.9,"$4,800","$160.54"
"18","WR","Brandon Marshall","NYJ",28.9,"$6,200","$214.53"
"19","RB","LeGarrette Blount","NE",28.2,"$4,000","$141.84"
"20","DEF","Arizona Cardinals","ARI",28,"$3,100","$110.71"
"21","WR","Rueben Randle","PHI",27.6,"$4,000","$144.93"
"22","RB","Adrian Peterson","MIN",27.6,"$7,500","$271.74"
"23","WR","DeAndre Hopkins","HOU",27.1,"$7,400","$273.06"
"24","RB","Le'Veon Bell","PIT",26.2,"$7,500","$286.26"
"25","QB","Tom Brady","NE",25.72,"$7,700","$299.38"
"26","TE","Gary Barnidge","CLE",25.5,"$2,500","$98.04"
"27","RB","Latavius Murray","OAK",24.9,"$5,800","$232.93"
"28","WR","Antonio Brown","PIT",24.8,"$8,900","$358.87"
"29","QB","Joe Flacco","BAL",24.48,"$6,200","$253.27"
"30","QB","Tyrod Taylor","BUF",24.28,"$5,800","$238.88"
"31","WR","Kendall Wright","TEN",23.8,"$5,000","$210.08"
"32","QB","Marcus Mariota","TEN",23.68,"$6,100","$257.60"
"33","QB","Josh McCown","CLE",23.64,"$5,000","$211.51"
"34","RB","Lance Dunbar","DAL",23.5,"$3,200","$136.17"
"35","QB","Derek Carr","OAK",23.46,"$5,300","$225.92"
"36","WR","Amari Cooper","OAK",23.4,"$6,200","$264.96"
"37","WR","Demaryius Thomas","DEN",23.2,"$8,000","$344.83"
"38","QB","Matt Ryan","ATL",23.1,"$7,100","$307.36"
"39","RB","Alfred Blue","HOU",22.9,"$3,600","$157.21"
"40","QB","Peyton Manning","DEN",22.86,"$7,400","$323.71"
"41","RB","Ryan Mathews","PHI",22.8,"$3,300","$144.74"
"42","RB","Chris Thompson","WAS",22.6,"$3,000","$132.74"
"43","QB","Carson Palmer","ARI",22.54,"$6,600","$292.81"
"44","RB","Frank Gore","IND",22.4,"$4,500","$200.89"
"45","TE","Jimmy Graham","SEA",21.3,"$5,800","$272.30"
"46","WR","Odell Beckham Jr.","NYG",20.9,"$9,000","$430.62"
"47","RB","Mark Ingram","NO",20.9,"$5,900","$282.30"
"48","WR","Marvin Jones","DET",20.4,"$3,600","$176.47"
"49","WR","Kenny Britt","LA",20.2,"$3,800","$188.12"
"50","WR","Mike Evans","TB",20.1,"$6,600","$328.36"
"51","RB","Karlos Williams","BUF",20,"$3,200","$160.00"
"52","QB","Alex Smith","KC",19.9,"$6,000","$301.51"
"53","QB","Kirk Cousins","WAS",19.64,"$5,500","$280.04"
"54","RB","Darren Sproles","PHI",19.6,"$3,800","$193.88"
"55","TE","Charles Clay","BUF",19.2,"$3,100","$161.46"
"56","QB","Eli Manning","NYG",19.16,"$7,000","$365.34"
"57","QB","Ryan Tannehill","MIA",18.78,"$6,700","$356.76"
"58","QB","Andrew Luck","IND",18.5,"$7,900","$427.03"
"59","DEF","Seattle Seahawks","SEA",18,"$3,400","$188.89"
"60","RB","Dion Lewis","NE",17.7,"$4,200","$237.29"
"61","QB","Ryan Fitzpatrick","NYJ",17.62,"$5,100","$289.44"
"62","QB","Blake Bortles","JAC",17.38,"$5,100","$293.44"
"63","TE","Rob Gronkowski","NE",17.1,"$7,400","$432.75"
"64","WR","Jarvis Landry","MIA",16.6,"$6,400","$385.54"
"65","WR","Julian Edelman","NE",16.5,"$7,000","$424.24"
"66","QB","Russell Wilson","SEA",16.2,"$7,000","$432.10"
"67","DEF","Denver Broncos","DEN",16,"$3,000","$187.50"
"68","DEF","Philadelphia Eagles","PHI",16,"$2,700","$168.75"
"69","TE","Travis Kelce","KC",16,"$5,000","$312.50"
"70","WR","Calvin Johnson","DET",15.7,"$7,900","$503.18"
"71","TE","Jordan Reed","WAS",15.6,"$3,800","$243.59"
"72","WR","Jeremy Kerley","DET",15.3,"$3,000","$196.08"
"73","WR","Percy Harvin","BUF",15.2,"$4,400","$289.47"
"74","DEF","Buffalo Bills","BUF",15,"$3,000","$200.00"
