"","Name","Time","Buy-In","Entries","Prize Pool","Top Prize","FPts to Cash","FPts to Win","Winner"
"1","NFL $400K Sunday Night Special$400K Sunday Night Special (9/27/2015 8:30:00 PM)","9/27/2015 8:30:00 PM","$3.00","153,334","$400,000$400k","$8,096.15",180.72,224.22,"maxdalury"
"2","NFL $150K Gridiron$150K Gridiron (9/27/2015 8:30:00 PM)","9/27/2015 8:30:00 PM","$27.00","6,337","$150,000$150k","$20,000.00",182.5,223.42,"maxdalury"
"3","NFL $60K Slant$60K Slant (9/27/2015 8:30:00 PM)","9/27/2015 8:30:00 PM","$9.00","7,656","$60,000$60k","$5,000.00",181.82,224.22,"pbhart"
"4","NFL $40K Blitz$40K Blitz (9/27/2015 8:30:00 PM)","9/27/2015 8:30:00 PM","$300.00","148","$40,000$40k","$10,000.00",184.72,214.22,"lembaba"
"5","NFL $40K Hot Route$40K Hot Route (9/27/2015 8:30:00 PM)","9/27/2015 8:30:00 PM","$100.00","444","$40,000$40k","$7,000.00",182.12,219.72,"maxdalury"
"6","NFL $25K Game Changer$25K Game Changer (9/27/2015 8:30:00 PM)","9/27/2015 8:30:00 PM","$1,060.00","25","$25,000$25k","$10,000.00",197.22,214.22,"jeffrey141"
"7","NFL $100K Play-Action$100K Play-Action (9/27/2015 4:05:00 PM)","9/27/2015 4:05:00 PM","$3.00","38,333","$100,000$100k","$10,000.00",147.74,213.54,"lolo86"
"8","NFL $75K Gridiron$75K Gridiron (9/27/2015 4:05:00 PM)","9/27/2015 4:05:00 PM","$27.00","3,168","$75,000$75k","$10,000.00",146.68,207.64,"mjc67"
"9","NFL $60K Play-Action$60K Play-Action (9/27/2015 4:05:00 PM)","9/27/2015 4:05:00 PM","$3.00","22,988","$60,000$60k","$1,333.33",183.34,259.12,"chief_justice"
"10","NFL $40K Gridiron$40K Gridiron (9/27/2015 4:05:00 PM)","9/27/2015 4:05:00 PM","$27.00","1,690","$40,000$40k","$5,000.00",183.32,238.72,"coachwright"
"11","NFL $7M Millionaire Maker$7M Millionaire Maker (9/27/2015 1:00:00 PM)","9/27/2015 1:00:00 PM","$20.00","400,750","$7,000,000$7kk","$1,200,000.00",184.72,301,"Hoothead"
"12","NFL $1M Play-Action$1M Play-Action (9/27/2015 1:00:00 PM)","9/27/2015 1:00:00 PM","$3.00","383,333","$1,000,000$1kk","$100,000.00",180.58,296.7,"KillerKowalski"
"13","NFL $800K Blitz$800K Blitz (9/27/2015 1:00:00 PM)","9/27/2015 1:00:00 PM","$300.00","2,960","$800,000$800k","$125,000.00",193.6,282.3,"youdacao"
