"","Pos","Player","Team","Salary","Fantasy PointsFPts","Cost/FptC/Fpt"
"1","QB1","Aaron Rodgers","GB","$8,000",37.92,"$210.97"
"2","RB1","Devonta Freeman","ATL","$4,600",45.3,"$101.55"
"3","RB2","Chris Johnson","ARI","$4,000",31,"$129.03"
"4","WR1","A.J. Green","CIN","$7,200",47.7,"$150.94"
"5","WR2","Steve Smith, Sr.","BAL","$6,300",46.6,"$135.19"
"6","WR3","Julio Jones","ATL","$9,000",43.4,"$207.37"
"7","TE1","Greg Olsen","CAR","$4,800",36.4,"$131.87"
"8","FLEX","Gary Barnidge","CLE","$2,500",25.5,"$98.04"
"9","DEF","Arizona Cardinals","ARI","$3,100",28,"$110.71"
"10"," "," "," ","$49,500",341.82," "
