"","Score","ProjPoints","Points","ActualPoints","PlayerId","FantasyResultId","PositionId","LineupCount","CurrentExposure","ExposureProbability","IsExposureLocked","FirstPosition","Positions","Position","TeamName","FullName","Cnt","Correlation","PositionCount","Salary","IsLocked","IsExcluded","Exposure","IsLiked","Properties.IsLocked","Properties.InjuryStatus","Properties.Confirmed","Properties.IsExcluded","Properties.Score","Properties.Player_Name","Properties.Salary","Properties.Position","Properties.Team","Properties.Opposing_TeamFB","Properties.Exp","Properties.AvgPts","Properties.Ceiling","Properties.Floor","Properties.ProjPlusMinus","Properties.PtVal","Properties.ImpPts","Properties.Trend","Properties.MyTrends","Properties.Site_Salary","Properties.p_own","Properties.OppPlusMinus","Properties.OffensiveSnapsPlayed","Properties.Pts","Properties.OppPts","Properties.Run_Change","Properties.Spread","Properties.Total","Properties.SpreadPct","Properties.InterceptionPct","Properties.PassingSuccessfulPct","Properties.RushingSuccessfulAllowedPct","Properties.SackPct","Properties.TakeawayPct","Properties.TouchdownAllowedPct","Properties.YardsPerPassingAttempt","Properties.ReceivingTargetsMarketShare","Properties.ReceivingTouchdownsMarketShare","Properties.ReceivingYardsMarketShare","Properties.RushingTouchdownsMarketShare","Properties.RushingYardsMarketShare","Properties.OffensiveSnapsMarketShare","Properties.PassingCompletions","Properties.PassingAttempts","Properties.PassYards","Properties.PassingCompletionPercentage","Properties.PassingYardsPerAttempt","Properties.AdjYPA","Properties.PassingTouchdowns","Properties.PassingRating","Properties.PassingLong","Properties.PassingAttemptsRBPct","Properties.PassingAttemptsWRPct","Properties.PassingAttemptsTEPct","Properties.PassTDPct","Properties.PassINTPct","Properties.PassSackPct","Properties.RushingAttempts","Properties.RushingLong","Properties.RushYards","Properties.RushingYardsPerAttempt","Properties.RushingTouchdowns","Properties.RushingSuccessfulPct","Properties.ReceiveTgts","Properties.Receptions","Properties.ReceivingYards","Properties.ReceivingLong","Properties.ReceivingYardsPerReception","Properties.ReceivingTouchdowns","Properties.ReceivingYardsPerTarget","Properties.RedZoneSnaps","Properties.OpportunitiesRedZone","Properties.OpportunitiesRedZone10","Properties.OpportunitiesRedZone5","Properties.RushingTouchdownsRedZonePct","Properties.ReceivingTouchdownsRedZonePct","Properties.RushingSuccessfulPctRedZone","Properties.RedZoneSnaps10","Properties.RedZoneSnaps5","Properties.RedZoneTouchdownPct","Properties.WeatherRating","Properties.Temperature","Properties.Wind_Speed","Properties.Wind_Direction","Properties.Humidity","Properties.PrecipProb","Properties.Month_PPG","Properties.Month_FPOpp","Properties.Month_FPSnap","Properties.Month_Salary_Change","Properties.Month_X1","Properties.Month_X2","Properties.Month_X0","Properties.Month_Count","Properties.Season_PPG","Properties.Season_FPOpp","Properties.Season_FPSnap","Properties.Season_Plus_Minus","Properties.Season_Salary_Change","Properties.Season_X1","Properties.Season_X2","Properties.Season_X0","Properties.Season_Count","Properties.ExpectedSacksPct","Properties.OppPlusMinusPct","Properties.ProjPlaysPct","Properties.MktShrPct","Properties.CeilingPct","Properties.ProjPct","Properties.PtPerDPct","Properties.FloorPct","Properties.FloorPtPerDPct","Properties.ProjPlusMinusPct","Properties.Vegas","Properties.Salary_Movement","Properties.Consistency","Properties.Upside","Properties.Pro_Pct","Properties.RushingFantasyPct","Properties.Plus_Minus","Properties.Season_PPG_Percentile","Properties.ActualPoints","Properties.SourceId","Properties.IsProjected","Properties.PositionId","Properties.PlayerId","Properties.EventTeamId","Properties.EventId","Properties.FantasyResultId","Properties.FullName"
"1","62.45","0","0","47.7","3348","405741","103","0","0","0","FALSE","WR","WR","WR","CIN","","0","0","1","7200","FALSE","FALSE",NA,"FALSE","FALSE",NA,NA,"FALSE","62.45","A.J. Green","7200","WR","CIN","@BAL","-1","17.1","23.4","10.8","-0.17","2.4","15.61","10","0","16","5-8","2.5","54","22","23.5","1","1.5","45.5","49","3.23","53.83","47.46","3.83","1.69","3.67","6.76","30.6","30","36.6","0","-0.2","82.5","0","0","0",NA,NA,NA,"0","0","0",NA,NA,NA,NA,NA,NA,"0","0","0","-3","0","0","9","5","76","25","14.1","0.5","8.1","8.86","1.75","0.58","0.25","0","25","0","5","4.13","20.16","50","72","6","In","0.66","0","12.4","2.07","0.21","-600","0","0","100","2","16.6","1.8","0.31","-1.4","-600","25","25","50","12","37","83","55","77","92","92","64","91","38","46","55","90","47","44","99",NA,"39","89","47.7","4","TRUE","103","3348","29062901","2906290","405741",""
"2","51.15","0","0","46.6","6861","405757","103","0","0","0","FALSE","WR","WR","WR","BAL","","0","0","1","6300","FALSE","FALSE",NA,"FALSE","FALSE",NA,NA,"FALSE","51.15","Steve Smith","6300","WR","BAL","CIN","-1","14.2","19.6","8.8","-0.51","2.3","13.55","8","0","16","0-1","-0.5","52","23.5","22","0","-1.5","45.5","51","2.24","52.8","42.5","9.7","1.28","3.39","6.79","25.1","20","25","0","0","79.2","0","0","0",NA,NA,NA,"0","0","0",NA,NA,NA,NA,NA,NA,"0","0","0",NA,"0",NA,"8","4","62","25","12.8","0.3","7.6","8.93","1.2","0.27","0.07",NA,"11.1",NA,"3.62","2.45","16","50","72","6","In","0.66","0","15.7","1.36","0.27","-100","0","50","50","2","13.7","1.64","0.26","1.5","-100","20","40","40","15","84","12","46","67","83","82","58","82","35","42","68","75","64","71","96",NA,"72","81","46.6","4","TRUE","103","6861","29062902","2906290","405757",""
"3","54","0","0","43.4","4286","405665","103","0","0","0","FALSE","WR","WR","WR","ATL","","0","0","1","9000","FALSE","FALSE",NA,"FALSE","FALSE",NA,NA,"FALSE","54","Julio Jones","9000","WR","ATL","@DAL","-1","21.8","29.4","14.2","-0.58","2.4","19.74","10","0","2","9-12","-0.5","57","21.3","22.3","-0.7","1","43.5","71","2.88","53.78","45.98","3.96","1.68","3.98","7.96","28.2","22.7","36.9","0","0.1","83.5","0","0","0",NA,NA,NA,"0","0","0",NA,NA,NA,NA,NA,NA,"0","0","0","1","0","0","11","7","107","31","14.6","0.4","9.6","10.07","0.93","0.29","0.14",NA,"7.7",NA,"5.33","2.79","20.53","50","72","0","","0","0","33.8","2.6","0.57","-300","0","100","0","2","21.8","1.94","0.38","2.7","-300","21","35","42","14","0","12","37","89","98","98","64","98","40","42","46","83","80","62","99",NA,"83","97","43.4","4","TRUE","103","4286","29062601","2906260","405665",""
"4","43.2","0","0","40.3","1013","405862","103","0","0","0","FALSE","WR","WR","WR","SD","","0","0","1","6800","FALSE","FALSE",NA,"FALSE","FALSE",NA,NA,"FALSE","43.2","Keenan Allen","6800","WR","SD","@MIN","-1","13.8","19.1","8.5","-2.33","2","14.69","8","0","16","0-1","-0.1","59","21.8","23.8","0.8","2","45.5","50","1.98","49.12","47.55","4.41","1","4.18","7.06","27.7","16","24.3","0","0","91.5","0","0","0",NA,NA,NA,"0","0","0",NA,NA,NA,NA,NA,NA,"0","0","0",NA,"0",NA,"9","6","65","17","10.4","0.3","6","11.14","1.08","0.38","0.15",NA,"21.4",NA,"6.82","4.22","14.74","50","77","8","In","0.51","0","18.6","1.77","0.26","-300","0","50","50","2","15.4","1.6","0.26","2.4","-300","23","38","38","13","24","20","37","84","81","81","45","80","32","27","52","83","76","81","96",NA,"80","86","40.3","4","TRUE","103","1013","29063401","2906340","405862",""
"5","77.9","0","0","37.4","2918","405924","103","0","0","0","FALSE","WR","WR","WR","ARI","","0","0","1","5800","FALSE","FALSE",NA,"FALSE","FALSE",NA,NA,"FALSE","77.9","Larry Fitzgerald","5800","WR","ARI","SF","-1","15.9","21.5","10.3","2.61","2.7","12.4","11","0","19","0-1","1.5","61","26","19","0.7","-7","45","69","3.29","43.33","43.51","6.58","1.97","3.49","7.74","21.9","21.7","26.4","0","0","91.8","0","0","0",NA,NA,NA,"0","0","0",NA,NA,NA,NA,NA,NA,"0","0","0",NA,"0",NA,"7","5","67","26","13.1","0.4","8.9","7.07","0.62","0.15","0",NA,"37.5",NA,"3.23","2","15.09","50","72","0","","0","0","27.5","3.23","0.48","300","50","50","0","2","14.9","1.95","0.24","3.3","300","46","30","23","13","67","63","7","62","88","88","81","89","48","80","85","18","50","52","99",NA,"87","85","37.4","4","TRUE","103","2918","29063602","2906360","405924",""
"6","70.75","0","0","35.3","2168","438071","103","0","0","0","FALSE","WR","WR","WR","GB","","0","0","1","7300","FALSE","FALSE",NA,"FALSE","FALSE",NA,NA,"FALSE","70.75","Randall Cobb","7300","WR","GB","KC","-1","18.7","25.3","12.1","1.15","2.6","15.84","11","0","19","0-1","1.4","58","25.8","21.3","-1.5","-4.5","47","69","3.17","48.13","52.66","7.46","1.83","3.97","6.88","25.2","26.3","31.4","0","1.6","88.2","0","0","0",NA,NA,NA,"0","0","0",NA,NA,NA,NA,NA,NA,"0","1","2","3.4","0","33.3","8","6","87","31","14.6","0.7","11.2","10.13","1.73","0.6","0.33","0","33.3","0","5.77","3.42","17.76","50","63","2","Out","0.93","48","18.7","2.34","0.3","-700","50","0","50","2","19.1","2.19","0.33","1.4","-700","42","35","21","14","67","61","37","75","95","95","76","95","44","62","84","92","72","62","99",NA,"72","94","35.3","4","TRUE","103","2168","29064002","2906400","438071",""
"7","70.95","0","0","32.3","4991","405953","103","0","0","0","FALSE","WR","WR","WR","MIA","","0","0","1","3800","FALSE","FALSE",NA,"FALSE","FALSE",NA,NA,"FALSE","70.95","Rishard Matthews","3800","WR","MIA","BUF","-1","10.5","14.6","6.4","2.88","2.8","7.81","6","0","87","0-1","0.6","20","22.3","21.3","-1.2","-1","43.5","36","3.24","51.42","45.92","6.28","1.74","4.01","7.29","6.3","14.3","7.9","0","0.2","32.2","0","0","0",NA,NA,NA,"0","0","0",NA,NA,NA,NA,NA,NA,"0","0","0","3","0","0","2","1","20","12","13.4","0.2","7.4","9.57","0.54","0.23","0.23",NA,"42.9",NA,"5","3.09","19.4","50","81","1","Right To Left","0.81","45","17","2.61","0.35","800","0","100","0","2","5.2","2.26","0.26","-0.2","800","38","30","30","13","13","37","29","34","63","64","85","65","44","82","57","8","41","52","87",NA,"53","40","32.3","4","TRUE","103","4991","29063702","2906370","405953",""
"8","64.35","0","0","31.1","4823","437732","103","0","0","0","FALSE","WR","WR","WR","KC","","0","0","1","6000","FALSE","FALSE",NA,"FALSE","FALSE",NA,NA,"FALSE","64.35","Jeremy Maclin","6000","WR","KC","@GB","-1","15.1","20.6","9.6","1.24","2.5","12.86","9","0","9","0-1","0.8","62","21.3","25.8","0.5","4.5","47","31","1.5","45.79","50.13","8.41","0.87","2.89","6.33","23.6","29.2","28.3","0","-0.3","87.2","0","0","0",NA,NA,NA,"0","0","0",NA,NA,NA,NA,NA,NA,"0","0","0","-2.5","0","0","8","5","76","31","14.5","0.5","9","10.47","0.87","0.4","0.13","0","25","0","5.36","3","12.1","50","63","2","Out","0.93","48","9.7","1.08","0.15","-900","0","0","100","2","16.6","1.9","0.27","0.4","-900","14","28","57","14","92","43","10","87","86","86","70","86","40","63","46","94","48","50","98",NA,"59","89","31.1","4","TRUE","103","4823","29064001","2906400","437732",""
"9","56.25","0","0","29.9","4281","437815","103","0","0","0","FALSE","WR","WR","WR","GB","","0","0","1","4800","FALSE","FALSE",NA,"FALSE","FALSE",NA,NA,"FALSE","56.25","James Jones","4800","WR","GB","KC","-1","10.7","15.1","6.3","0.24","2.2","10.11","3","0","19","0-1","1.4","48","25.8","21.3","-1.5","-4.5","47","69","3.17","48.13","52.66","7.46","1.83","3.97","6.88","17","29.2","16.8","0","0","73.7","0","0","0",NA,NA,NA,"0","0","0",NA,NA,NA,NA,NA,NA,"0","0","0",NA,"0",NA,"6","4","37","17","8.8","0.5","6.4","10.13","0.8","0.27","0.27",NA,"50",NA,"5.77","3.42","17.76","50","63","2","Out","0.93","48","15.5","4.43","0.25","600","50","50","0","2","10.5","1.63","0.22","1.8","600","50","35","14","14","67","61","37","44","65","65","53","64","32","51","84","11","72","50","57",NA,"74","68","29.9","4","TRUE","103","4281","29064002","2906400","437815",""
"10","87.6","0","0","28.9","4892","405834","103","0","0","0","FALSE","WR","WR","WR","NYJ","","0","0","1","6200","FALSE","FALSE",NA,"FALSE","FALSE",NA,NA,"FALSE","87.6","Brandon Marshall","6200","WR","NYJ","PHI","-1","18.5","24.7","12.3","4.07","3","13.32","10","0","27","26-30","2.4","58","25","22","1.2","-3","47","54","2.02","49.29","46.77","7.68","1.15","4.2","7.62","22.5","27.3","24","0","0","87.6","0","0","0",NA,NA,NA,"0","0","0",NA,NA,NA,NA,NA,NA,"0","0","0",NA,"0",NA,"8","5","63","27","12.7","0.5","8","8.73","1.25","0.42","0.08",NA,"26.7",NA,"4.13","2.69","17.56","50","68","3","In","0.63","0","22.2","2.33","0.35","-400","50","50","0","2","15.1","1.83","0.26","-0.3","-400","8","33","58","12","0","81","79","83","94","94","92","95","55","92","79","85","56","60","99",NA,"51","85","28.9","4","TRUE","103","4892","29063202","2906320","405834",""
