"","Pos","Player","Team","Fantasy PointsFpts","Salary","Cost/Fantasy Pt"
"1","RB","Thomas Rawls","SEA",43.5,"$3,800","$87.36"
"2","WR","DeAndre Hopkins","HOU",31.8,"$8,800","$276.73"
"3","QB","Cam Newton","CAR",31.44,"$6,900","$219.47"
"4","QB","Jameis Winston","TB",29.84,"$5,000","$167.56"
"5","QB","Carson Palmer","ARI",29.58,"$6,700","$226.50"
"6","WR","Julio Jones","ATL",28,"$9,300","$332.14"
"7","WR","James Jones","SD",27.9,"$5,000","$179.21"
"8","WR","J.J. Nelson","ARI",27.2,"$3,000","$110.29"
"9","RB","Doug Martin","TB",26.5,"$5,300","$200.00"
"10","QB","Andy Dalton","CIN",26,"$6,600","$253.85"
"11","RB","Giovani Bernard","CIN",25.6,"$4,500","$175.78"
"12","TE","Kyle Rudolph","MIN",25.6,"$2,900","$113.28"
"13","QB","Russell Wilson","SEA",25.4,"$5,900","$232.28"
"14","RB","LeSean McCoy","BUF",24.3,"$5,500","$226.34"
"15","WR","Danny Amendola","NE",23.7,"$4,000","$168.78"
"16","RB","Spencer Ware","KC",23.1,"$3,000","$129.87"
"17","TE","Delanie Walker","TEN",21.9,"$4,800","$219.18"
"18","RB","Jonathan Stewart","CAR",21.4,"$4,400","$205.61"
"19","WR","Tyler Lockett","SEA",21.3,"$3,000","$140.85"
"20","RB","Ahmad Bradshaw","IND",21.2,"$3,000","$141.51"
"21","QB","Matt Ryan","ATL",20.9,"$7,100","$339.71"
"22","RB","Darren McFadden","DAL",20.9,"$5,000","$239.23"
"23","QB","Matthew Stafford","DET",20.38,"$5,400","$264.97"
"24","QB","Teddy Bridgewater","MIN",20.14,"$5,000","$248.26"
"25","DEF","Kansas City Chiefs","KC",20,"$2,600","$130.00"
"26","WR","DeSean Jackson","WAS",19.7,"$5,100","$258.88"
"27","WR","Allen Robinson","JAC",19.3,"$7,000","$362.69"
"28","QB","Aaron Rodgers","GB",19.08,"$7,500","$393.08"
"29","RB","James White","NE",18.6,"$3,000","$161.29"
"30","QB","Brock Osweiler","HOU",18.4,"$5,000","$271.74"
"31","RB","Alfred Blue","HOU",18.2,"$3,800","$208.79"
"32","QB","Marcus Mariota","TEN",18.14,"$5,300","$292.17"
"33","TE","Crockett Gillmore","BAL",18.1,"$3,300","$182.32"
"34","DEF","Tampa Bay Buccaneers","TB",18,"$2,300","$127.78"
"35","WR","Terrance Williams","DAL",17.9,"$4,100","$229.05"
"36","QB","Ryan Fitzpatrick","NYJ",17.84,"$5,000","$280.27"
"37","TE","Tyler Eifert","CIN",17.2,"$5,900","$343.02"
"38","WR","Marquess Wilson","CHI",17.2,"$3,500","$203.49"
"39","FB","Patrick DiMarco","ATL",17.1,"$3,000","$175.44"
"40","WR","Larry Fitzgerald","ARI",17,"$7,200","$423.53"
"41","QB","Mark Sanchez","DEN",16.84,"$5,000","$296.91"
"42","QB","Blaine Gabbert","SF",16.76,"$5,000","$298.33"
"43","RB","Jeremy Hill","CIN",16.5,"$5,000","$303.03"
"44","RB","Javorius Allen","BAL",16.5,"$3,300","$200.00"
"45","TE","Vance McDonald","SF",16.5,"$2,500","$151.52"
"46","WR","Devin Funchess","CAR",16.4,"$3,600","$219.51"
"47","WR","Mike Evans","TB",16.3,"$7,300","$447.85"
"48","DEF","Carolina Panthers","CAR",16,"$3,400","$212.50"
"49","WR","Kamar Aiken","BAL",16,"$4,800","$300.00"
"50","RB","Charles Sims","TB",15.9,"$3,300","$207.55"
"51","WR","Ted Ginn Jr.","CAR",15.9,"$3,500","$220.13"
"52","QB","Ryan Tannehill","MIA",15.82,"$5,100","$322.38"
"53","WR","Brandon Marshall","NYJ",15.7,"$7,000","$445.86"
"54","RB","Shaun Draughn","SF",15.7,"$3,800","$242.04"
"55","QB","T.J. Yates","HOU",15.66,"$5,000","$319.28"
"56","WR","Vincent Jackson","TB",15.6,"$4,700","$301.28"
"57","WR","Chris Hogan","NE",15.5,"$3,200","$206.45"
"58","QB","Matt Hasselbeck","IND",15.32,"$5,500","$359.01"
"59","QB","Tony Romo","DAL",15.28,"$6,000","$392.67"
"60","WR","Golden Tate","DET",15.1,"$4,600","$304.64"
"61","DEF","Baltimore Ravens","BAL",15,"$2,700","$180.00"
"62","DEF","Indianapolis Colts","IND",15,"$2,000","$133.33"
"63","WR","Demaryius Thomas","DEN",14.9,"$7,300","$489.93"
