"","Name","Time","Buy-In","Entries","Prize Pool","Top Prize","FPts to Cash","FPts to Win","Winner"
"1","NFL $5M Millionaire Maker$5M Millionaire Maker (11/22/2015 1:00:00 PM)","11/22/2015 1:00:00 PM","$20.00","286,250","$5,000,000$5kk","$1,000,000.00",119.36,210.74,"noles2148"
"2","NFL $1M Play-Action$1M Play-Action (11/22/2015 1:00:00 PM)","11/22/2015 1:00:00 PM","$3.00","383,332","$1,000,000$1kk","$100,000.00",118.68,202.64,"Byrd313"
"3","NFL $550K Blitz$550K Blitz (11/22/2015 1:00:00 PM)","11/22/2015 1:00:00 PM","$300.00","2,035","$550,000$550k","$100,000.00",125.72,193.94,"tecmo27"
"4","NFL $375K Slant$375K Slant (11/22/2015 1:00:00 PM)","11/22/2015 1:00:00 PM","$9.00","47,916","$375,000$375k","$25,000.00",121.5,187.54,"Cullenrob09"
"5","NFL $200K Flea Flicker$200K Flea Flicker (11/22/2015 1:00:00 PM)","11/22/2015 1:00:00 PM","$5.00","46,000","$200,000$200k","$20,000.00",185.34,198.56,"yosh4054"
"6","NFL $175K Hot Route$175K Hot Route (11/22/2015 1:00:00 PM)","11/22/2015 1:00:00 PM","$100.00","1,944","$175,000$175k","$20,000.00",124.28,186.28,"Reserve33"
"7","NFL $175K Game Changer$175K Game Changer (11/22/2015 1:00:00 PM)","11/22/2015 1:00:00 PM","$1,060.00","175","$175,000$175k","$30,000.00",126.46,173.08,"00oreo00"
"8","NFL $150K Thunderdome$150K Thunderdome (11/22/2015 1:00:00 PM)","11/22/2015 1:00:00 PM","$5,300.00","30","$150,000$150k","$50,000.00",133.18,152.88,"youmind"
"9","NFL MASSIVE $10 Double UpMASSIVE $10 Double Up (11/22/2015 1:00:00 PM)","11/22/2015 1:00:00 PM","$10.00","17,025","$150,000$150k","$20.00",113.22,187.78,"DaBearsNBulls"
"10","NFL $125K Chop Block$125K Chop Block (11/22/2015 1:00:00 PM)","11/22/2015 1:00:00 PM","$50.00","2,800","$125,000$125k","$12,000.00",123.32,190.64,"bfindlay"
"11","NFL $120K Super Booster$120K Super Booster (11/22/2015 1:00:00 PM)","11/22/2015 1:00:00 PM","$27.00","5,070","$120,000$120k","$1,000.00",150.44,187.78,"DaBearsNBulls"
"12","NFL $100K First Down$100K First Down (11/22/2015 1:00:00 PM)","11/22/2015 1:00:00 PM","$1.00","115,000","$100,000$100k","$6,000.00",198.68,198.68,"fishnamurti"
"13","NFL $100K Nickel$100K Nickel (11/22/2015 1:00:00 PM)","11/22/2015 1:00:00 PM","$5.00","23,000","$100,000$100k","$10,000.00",120.6,182.54,"Whitemex69"
"14","NFL $100K Double Bubble$100K Double Bubble (11/22/2015 1:00:00 PM)","11/22/2015 1:00:00 PM","$3.00","38,333","$100,000$100k","$10,000.00",108.64,200.3,"Frasch72"
"15","NFL $100K Sunday Kickoff presented by Fox Sports$100K Sunday Kickoff presented by Fox Sports (11/22/2015 1:00:00 PM)","11/22/2015 1:00:00 PM","$3.00","38,333","$100,000$100k","$10,000.00",179.64,194.74,"bmac1955"
"16","NFL $60K Hail Mary$60K Hail Mary (11/22/2015 1:00:00 PM)","11/22/2015 1:00:00 PM","$12.00","5,730","$60,000$60k","$5,000.00",122.78,188.2,"BSupple7"
"17","NFL BIG $10 BoosterBIG $10 Booster (11/22/2015 1:00:00 PM)","11/22/2015 1:00:00 PM","$10.00","6,810","$60,000$60k","$100.00",136.04,187.78,"DaBearsNBulls"
"18","NFL $60K Quarter Arcade$60K Quarter Arcade (11/22/2015 1:00:00 PM)","11/22/2015 1:00:00 PM","$0.25","282,000","$60,000$60k","$2,000.00",120.4,200.14,"buka521"
"19","NFL $50K Safety$50K Safety (11/22/2015 1:00:00 PM)","11/22/2015 1:00:00 PM","$2.00","28,750","$50,000$50k","$5,000.00",121.18,191.74,"flo612"
"20","NFL $40K Spy$40K Spy (11/22/2015 1:00:00 PM)","11/22/2015 1:00:00 PM","$100.00","444","$40,000$40k","$7,000.00",124.28,164.84,"0000__available"
"21","NFL $40K Blind Side$40K Blind Side (11/22/2015 1:00:00 PM)","11/22/2015 1:00:00 PM","$27.00","1,690","$40,000$40k","$5,000.00",122.28,177.04,"kingcamel"
"22","NFL $35K Hitch & Go$35K Hitch & Go (11/22/2015 1:00:00 PM)","11/22/2015 1:00:00 PM","$7.00","5,750","$35,000$35k","$2,500.00",123.2,192.64,"ataggart"
"23","NFL $30K Red Zone$30K Red Zone (11/22/2015 1:00:00 PM)","11/22/2015 1:00:00 PM","$50.00","671","$30,000$30k","$3,000.00",123.18,165.14,"jsantopadre"
"24","NFL $30K Playmaker$30K Playmaker (11/22/2015 1:00:00 PM)","11/22/2015 1:00:00 PM","$530.00","60","$30,000$30k","$8,000.00",127.76,164.58,"aejones"
"25","NFL $25K Goal Line$25K Goal Line (11/22/2015 1:00:00 PM)","11/22/2015 1:00:00 PM","$300.00","93","$25,000$25k","$6,000.00",128.58,164.84,"0000__available"
"26","Beginner NFL $25K Play-ActionBeginner  $25K Play-Action (11/22/2015 1:00:00 PM)","11/22/2015 1:00:00 PM","$3.00","9,583","$25,000$25k","$2,000.00",120.78,184.14,"ThatGuy230"
"27","NFL BIG $2 BoosterBIG $2 Booster (11/22/2015 1:00:00 PM)","11/22/2015 1:00:00 PM","$2.00","14,375","$25,000$25k","$20.00",133.18,186.28,"rikythegreat"
"28","NFL $600K Kickoff Special$600K Kickoff Special (11/19/2015 8:25:00 PM)","11/19/2015 8:25:00 PM","$5.00","138,000","$600,000$600k","$50,000.00",191.52,205.18,"MikeRod"
"29","NFL $150K Gridiron$150K Gridiron (11/19/2015 8:25:00 PM)","11/19/2015 8:25:00 PM","$27.00","6,337","$150,000$150k","$20,000.00",179.8,187.74,"tomdemas"
"30","NFL $90K Slant$90K Slant (11/19/2015 8:25:00 PM)","11/19/2015 8:25:00 PM","$9.00","11,500","$90,000$90k","$6,000.00",124.3,189.44,"mvp77"
"31","NFL $80K Blitz$80K Blitz (11/19/2015 8:25:00 PM)","11/19/2015 8:25:00 PM","$300.00","296","$80,000$80k","$15,000.00",163.54,175.1,"cohenspicks"
"32","NFL $80K Play-Action$80K Play-Action (11/19/2015 8:25:00 PM)","11/19/2015 8:25:00 PM","$3.00","30,665","$80,000$80k","$5,000.00",123.68,187.18,"brianu12345"
"33","NFL GIANT $10 Double UpGIANT $10 Double Up (11/19/2015 8:25:00 PM)","11/19/2015 8:25:00 PM","$10.00","6,807","$60,000$60k","$20.00",113.86,186.28,"rikythegreat"
"34","NFL $45K First Down$45K First Down (11/19/2015 8:25:00 PM)","11/19/2015 8:25:00 PM","$1.00","51,750","$45,000$45k","$2,000.00",123.18,196.74,"watsonboys80"
"35","NFL $40K Safety$40K Safety (11/19/2015 8:25:00 PM)","11/19/2015 8:25:00 PM","$2.00","23,000","$40,000$40k","$5,000.00",123.9,208.24,"tarsonic20"
"36","NFL $40K Hot Route$40K Hot Route (11/19/2015 8:25:00 PM)","11/19/2015 8:25:00 PM","$100.00","444","$40,000$40k","$7,000.00",124.5,166.14,"ChipotleAddict"
"37","NFL $35K Hail Mary$35K Hail Mary (11/19/2015 8:25:00 PM)","11/19/2015 8:25:00 PM","$12.00","3,342","$35,000$35k","$5,000.00",125.58,184.34,"JackHaleyRIP"
"38","NFL $30K Quarter Arcade$30K Quarter Arcade (11/19/2015 8:25:00 PM)","11/19/2015 8:25:00 PM","$0.25","141,000","$30,000$30k","$500.00",121.64,200.84,"watsonboys80"
