"","Pos","Player","Team","Salary","Fantasy PointsFPts","Cost/FptC/Fpt"
"1","QB1","Cam Newton","CAR","$6,900",31.44,"$219.47"
"2","RB1","Thomas Rawls","SEA","$3,800",43.5,"$87.36"
"3","RB2","Doug Martin","TB","$5,300",26.5,"$200.00"
"4","WR1","DeAndre Hopkins","HOU","$8,800",31.8,"$276.73"
"5","WR2","Julio Jones","ATL","$9,300",28,"$332.14"
"6","WR3","James Jones","SD","$5,000",27.9,"$179.21"
"7","TE1","Kyle Rudolph","MIN","$2,900",25.6,"$113.28"
"8","FLEX","J.J. Nelson","ARI","$3,000",27.2,"$110.29"
"9","DEF","Kansas City Chiefs","KC","$2,600",20,"$130.00"
"10"," "," "," ","$47,600",261.94," "
