"","Score","ProjPoints","Points","ActualPoints","PlayerId","FantasyResultId","PositionId","LineupCount","CurrentExposure","ExposureProbability","IsExposureLocked","FirstPosition","Positions","Position","TeamName","FullName","Cnt","Correlation","PositionCount","Salary","IsLocked","IsExcluded","Exposure","IsLiked","Properties.IsLocked","Properties.InjuryStatus","Properties.Confirmed","Properties.IsExcluded","Properties.Score","Properties.Player_Name","Properties.Salary","Properties.Position","Properties.Team","Properties.Opposing_TeamFB","Properties.Exp","Properties.AvgPts","Properties.Ceiling","Properties.Floor","Properties.ProjPlusMinus","Properties.PtVal","Properties.ImpPts","Properties.Trend","Properties.MyTrends","Properties.Site_Salary","Properties.p_own","Properties.OppPlusMinus","Properties.OffensiveSnapsPlayed","Properties.Pts","Properties.OppPts","Properties.Run_Change","Properties.Spread","Properties.Total","Properties.SpreadPct","Properties.InterceptionPct","Properties.PassingSuccessfulPct","Properties.RushingSuccessfulAllowedPct","Properties.SackPct","Properties.TakeawayPct","Properties.TouchdownAllowedPct","Properties.YardsPerPassingAttempt","Properties.ReceivingTargetsMarketShare","Properties.ReceivingTouchdownsMarketShare","Properties.ReceivingYardsMarketShare","Properties.RushingTouchdownsMarketShare","Properties.RushingYardsMarketShare","Properties.OffensiveSnapsMarketShare","Properties.PassingCompletions","Properties.PassingAttempts","Properties.PassYards","Properties.PassingCompletionPercentage","Properties.PassingYardsPerAttempt","Properties.AdjYPA","Properties.PassingTouchdowns","Properties.PassingRating","Properties.PassingLong","Properties.PassingAttemptsRBPct","Properties.PassingAttemptsWRPct","Properties.PassingAttemptsTEPct","Properties.PassTDPct","Properties.PassINTPct","Properties.PassSackPct","Properties.RushingAttempts","Properties.RushingLong","Properties.RushYards","Properties.RushingYardsPerAttempt","Properties.RushingTouchdowns","Properties.RushingSuccessfulPct","Properties.ReceiveTgts","Properties.Receptions","Properties.ReceivingYards","Properties.ReceivingLong","Properties.ReceivingYardsPerReception","Properties.ReceivingTouchdowns","Properties.ReceivingYardsPerTarget","Properties.RedZoneSnaps","Properties.OpportunitiesRedZone","Properties.OpportunitiesRedZone10","Properties.OpportunitiesRedZone5","Properties.RushingTouchdownsRedZonePct","Properties.ReceivingTouchdownsRedZonePct","Properties.RushingSuccessfulPctRedZone","Properties.RedZoneSnaps10","Properties.RedZoneSnaps5","Properties.RedZoneTouchdownPct","Properties.WeatherRating","Properties.Temperature","Properties.Wind_Speed","Properties.Wind_Direction","Properties.Humidity","Properties.PrecipProb","Properties.Month_PPG","Properties.Month_FPOpp","Properties.Month_FPSnap","Properties.Month_Salary_Change","Properties.Month_X1","Properties.Month_X2","Properties.Month_X0","Properties.Month_Count","Properties.Season_PPG","Properties.Season_FPOpp","Properties.Season_FPSnap","Properties.Season_Plus_Minus","Properties.Season_Salary_Change","Properties.Season_X1","Properties.Season_X2","Properties.Season_X0","Properties.Season_Count","Properties.ExpectedSacksPct","Properties.OppPlusMinusPct","Properties.ProjPlaysPct","Properties.MktShrPct","Properties.CeilingPct","Properties.ProjPct","Properties.PtPerDPct","Properties.FloorPct","Properties.FloorPtPerDPct","Properties.ProjPlusMinusPct","Properties.Vegas","Properties.Salary_Movement","Properties.Consistency","Properties.Upside","Properties.Pro_Pct","Properties.RushingFantasyPct","Properties.Plus_Minus","Properties.Season_PPG_Percentile","Properties.ActualPoints","Properties.SourceId","Properties.IsProjected","Properties.PositionId","Properties.PlayerId","Properties.EventTeamId","Properties.EventId","Properties.FantasyResultId","Properties.FullName"
"1","83.2","0","0","23","8474","424495","105","0","0","0","FALSE","D","D","D","GB","","0","0","1","3100","FALSE","FALSE",NA,"FALSE","FALSE",NA,NA,"FALSE","83.2","Green Bay Defense","3100","D","GB","LA","-1","6.8","15.6","-2","-1.29","2.2","8.16","6","0","55","5-8","3.1",NA,"26.8","18.3","-2","-8.5","45","61","2.87","47.13","50.55","8.81","1.7","4.17","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9.47",NA,NA,NA,NA,NA,NA,"4.92","3","19.72","50","72","10","From Right","0.56","0","8.5","0",NA,"100","75","25","0","4","9.4","0",NA,"1.3","100","40","40","20","15","70","88","55","56","77","55","40","0","61","39","89","36","63","69","88",NA,"80","80","23","4","TRUE","105","8474","29252402","2925240","424495",""
"2","60.75","0","0","22","8472","424596","105","0","0","0","FALSE","D","D","D","DEN","","0","0","1","3600","FALSE","FALSE",NA,"FALSE","FALSE",NA,NA,"FALSE","60.75","Denver Defense","3600","D","DEN","@OAK","-1","8.4","16.3","0.5","-0.77","2.3","9.24","3","0","5","13-16","0.4",NA,"24.8","19.8","0.3","-5","44.5","70","3.39","45.16","37.65","7.58","2.2","3.96","5.84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7.94",NA,NA,NA,NA,NA,NA,"3.93","2.71","22.83","50","75","6","To Left","0.56","0","15.8","0",NA,"800","0","100","0","4","10.1","0",NA,"2.2","800","18","68","12","16","1","58","79","76","83","84","47","73","46","53","77","2","94","94","58",NA,"88","86","22","4","TRUE","105","8472","29252801","2925280","424596",""
"3","77.55","0","0","15","8492","424910","105","0","0","0","FALSE","D","D","D","TB","","0","0","1","2500","FALSE","FALSE",NA,"FALSE","FALSE",NA,NA,"FALSE","77.55","Tampa Bay Defense","2500","D","TB","JAX","-1","7","15","-1","0.21","2.8","6.86","5","0","27","2-4","4.1",NA,"21","20","-2","-1","41","41","2.45","51.12","42.26","7.16","1.28","4.36","7.35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9.93",NA,NA,NA,NA,NA,NA,"5.43","3.54","22.15","50","83","9","To Left","0.56","0","5","0",NA,"-300","50","25","25","4","6.1","0",NA,"-0.9","-300","60","20","20","15","96","93","37","26","72","59","84","12","61","80","44","79","17","29","80",NA,"36","28","15","4","TRUE","105","8492","29252102","2925210","424910",""
"4","58","0","0","14","8463","424500","105","0","0","0","FALSE","D","D","D","ARI","","0","0","1","3800","FALSE","FALSE",NA,"FALSE","FALSE",NA,NA,"FALSE","58","Arizona Defense","3800","D","ARI","@DET","-1","9","17.4","0.6","-0.61","2.4","9.68","4","0","16","5-8","0.1",NA,"25.3","20.8","1.8","-4.5","46","71","3.68","42.54","43.58","7","2.13","3.51","7.35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7",NA,NA,NA,NA,NA,NA,"3.07","1.92","15.18","50","72","0",NA,"0","0","13","0",NA,"1000","25","50","25","4","10.6","0",NA,"2.4","1000","25","62","12","16","87","54","21","54","93","90","57","76","46","58","81","1","80","76","70",NA,"89","89","14","4","TRUE","105","8463","29252601","2925260","424500",""
"5","44.85","0","0","14","8490","424577","105","0","0","0","FALSE","D","D","D","SEA","","0","0","1","4000","FALSE","FALSE",NA,"FALSE","FALSE",NA,NA,"FALSE","44.85","Seattle Defense","4000","D","SEA","@CIN","-1","5.9","12.8","-1","-4.14","1.5","10.11","2","0","1","0-1","-0.7",NA,"20.8","23.8","0","3","44.5","44","2.37","44.09","44.16","7.96","1.31","2.71","6.34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6.8",NA,NA,NA,NA,NA,NA,"4.46","3","17.65","50","71","6","In","0.46","0","12.5","0",NA,"600","25","75","0","4","11.3","0",NA,"2.7","600","18","75","6","16","44","39","64","77","42","33","5","12","46","2","41","5","89","90","40",NA,"91","93","14","4","TRUE","105","8490","29251901","2925190","424577",""
"6","32.6","0","0","14","8481","424665","105","0","0","0","FALSE","D","D","D","NE","","0","0","1","3300","FALSE","FALSE",NA,"FALSE","FALSE",NA,NA,"FALSE","32.6","New England Defense","3300","D","NE","@DAL","-1","7.5","14.5","0.5","-1.02","2.3","8.59","3","0","16","5-8","-2.1",NA,"29.5","21.5","1.2","-8","51","82","2.91","46.71","44.35","8.33","1.73","3.33","7.52",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8.43",NA,NA,NA,NA,NA,NA,"4.23","2.5","18.64","50","72","0","","0","0","9","0",NA,"400","50","50","0","2","8.6","0",NA,"0.5","600","42","50","7","14","37","18","64","41","66","69","47","73","46","43","96","13","52","88","58",NA,"67","72","14","4","TRUE","105","8481","29252701","2925270","424665",""
"7","56.45","0","0","14","8486","424745","105","0","0","0","FALSE","D","D","D","PHI","","0","0","1","3000","FALSE","FALSE",NA,"FALSE","FALSE",NA,NA,"FALSE","56.45","Philadelphia Defense","3000","D","PHI","NO","-1","7.6","14.4","0.8","-0.27","2.5","7.94","3","0","16","0-1","0.1",NA,"28","21.5","1.5","-6.5","49.5","39","2.79","50.5","43.55","8.78","1.42","3.72","7.97",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8.64",NA,NA,NA,NA,NA,NA,"5.23","2.67","14.88","50","67","4","Right To Left","0.48","0","8","0",NA,"300","75","25","0","4","10","0",NA,"1.9","300","53","40","6","15","94","54","72","34","65","71","65","81","48","69","93","19","63","87","58",NA,"85","85","14","4","TRUE","105","8486","29252202","2925220","424745",""
"8","77.2","0","0","13","8487","438174","105","0","0","0","FALSE","D","D","D","PIT","","0","0","1","2800","FALSE","FALSE",NA,"FALSE","FALSE",NA,NA,"FALSE","77.2","Pittsburgh Defense","2800","D","PIT","@SD","-1","6.7","12.6","0.8","-0.74","2.4","7.51","0","0","41","0-1","3.3",NA,"20.8","24.8","0","4","45.5","48","1.98","52.48","43.36","7.72","1.16","4.58","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9.2",NA,NA,NA,NA,NA,NA,"4.07","3.45","19.57","50","80","2","Right To Left","0.53","0","9.3","0",NA,"0","33","66","0","3","8","0",NA,"0.5","0","28","57","14","14","63","89","46","55","39","53","57","81","48","53","41","55","90","53","50",NA,"67","61","13","4","TRUE","105","8487","29253001","2925300","438174",""
"9","77.85","0","0","12","8464","424991","105","0","0","0","FALSE","D","D","D","ATL","","0","0","1","3200","FALSE","FALSE",NA,"FALSE","FALSE",NA,NA,"FALSE","77.85","Atlanta Defense","3200","D","ATL","WAS","-1","5.9","11.9","-0.1","-2.41","1.8","8.38","5","0","5","5-8","4.2",NA,"28","20.5","0.2","-7.5","48.5","73","3.11","53.54","44.97","4.15","1.93","4.27","7.81",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9.2",NA,NA,NA,NA,NA,NA,"4.8","2.64","22.46","50","72","0",NA,"0","0","8.3","0",NA,"500","75","25","0","4","7.1","0",NA,"0.1","500","40","33","26","15","4","94","15","35","31","33","15","50","46","13","93","9","32","29","80",NA,"57","46","12","4","TRUE","105","8464","29252002","2925200","424991",""
"10","75.95","0","0","11","8478","424732","105","0","0","0","FALSE","D","D","D","KC","","0","0","1","2800","FALSE","FALSE",NA,"FALSE","FALSE",NA,NA,"FALSE","75.95","Kansas City Defense","2800","D","KC","CHI","-1","7.3","15.2","-0.6","-0.14","2.6","7.51","5","0","67",NA,"2",NA,"27","17","-1.5","-10","44","55","1.12","47.49","49.38","7.45","0.65","3.52","6.73",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10.8",NA,NA,NA,NA,NA,NA,"5.6","3","15.43","50","76","9","In","0.45","0","3.5","0",NA,"-200","0","50","50","4","6.7","0",NA,"-1.2","-200","33","40","26","15","93","79","7","54","74","65","73","26","46","71","90","73","47","69","80",NA,"31","38","11","4","TRUE","105","8478","29251802","2925180","424732",""
