"","Pos","Player","Team","Salary","Fantasy PointsFPts","Cost/FptC/Fpt"
"1","QB1","Josh McCown","CLE","$5,100",38.48,"$132.54"
"2","RB1","Doug Martin","TB","$4,700",39.8,"$118.09"
"3","RB2","Devonta Freeman","ATL","$6,300",35.7,"$176.47"
"4","WR1","Anquan Boldin","DET","$4,400",27.7,"$158.84"
"5","WR2","DeAndre Hopkins","HOU","$7,200",30.9,"$233.01"
"6","WR3","Odell Beckham Jr.","NYG","$9,000",28.4,"$316.90"
"7","TE1","Gary Barnidge","CLE","$3,800",30.9,"$122.98"
"8","FLEX","Willie Snead","NO","$3,000",23.1,"$129.87"
"9","DEF","Green Bay Packers","GB","$3,100",23,"$134.78"
"10"," "," "," ","$46,600",277.98," "
