"","Name","Time","Buy-In","Entries","Prize Pool","Top Prize","FPts to Cash","FPts to Win","Winner"
"1","NFL $7M Millionaire Maker$7M Millionaire Maker (10/11/2015 1:00:00 PM)","10/11/2015 1:00:00 PM","$20.00","396,482","$7,000,000$7kk","$1,200,000.00",161.4,255.62,"chenthai15"
"2","NFL $1.5M Play-Action$1.5M Play-Action (10/11/2015 1:00:00 PM)","10/11/2015 1:00:00 PM","$3.00","575,000","$1,500,000$1,500k","$100,000.00",163.1,254.24,"Rberdy74"
"3","NFL MASSIVE $25 Double UpMASSIVE $25 Double Up (10/11/2015 1:00:00 PM)","10/11/2015 1:00:00 PM","$25.00","45,250","$1,000,000$1kk","$50.00",147.1,242.72,"shamilton1122"
"4","NFL $850K Blitz$850K Blitz (10/11/2015 1:00:00 PM)","10/11/2015 1:00:00 PM","$300.00","3,145","$850,000$850k","$125,000.00",159.9,232.18,"parkercokc"
"5","NFL $600K Slant$600K Slant (10/11/2015 1:00:00 PM)","10/11/2015 1:00:00 PM","$9.00","76,664","$600,000$600k","$50,000.00",162.3,244.52,"00oreo00"
"6","NFL $300K Game Changer$300K Game Changer (10/11/2015 1:00:00 PM)","10/11/2015 1:00:00 PM","$1,060.00","300","$300,000$300k","$50,000.00",158.66,214.5,"CONDIA"
"7","NFL MASSIVE $5 Double UpMASSIVE $5 Double Up (10/11/2015 1:00:00 PM)","10/11/2015 1:00:00 PM","$5.00","68,100","$300,000$300k","$10.00",147.7,239.08,"rockman18"
"8","NFL $250K Flea Flicker$250K Flea Flicker (10/11/2015 1:00:00 PM)","10/11/2015 1:00:00 PM","$5.00","57,500","$250,000$250k","$25,000.00",162.38,258.04,"Jonathonmci"
"9","NFL $250K Hot Route$250K Hot Route (10/11/2015 1:00:00 PM)","10/11/2015 1:00:00 PM","$100.00","2,777","$250,000$250k","$30,000.00",159.82,218.98,"ShipMyMoney"
"10","NFL MASSIVE $10 Double UpMASSIVE $10 Double Up (10/11/2015 1:00:00 PM)","10/11/2015 1:00:00 PM","$10.00","22,700","$200,000$200k","$20.00",147.34,227.9,"paul0674"
"11","NFL $150K First Down$150K First Down (10/11/2015 1:00:00 PM)","10/11/2015 1:00:00 PM","$1.00","172,500","$150,000$150k","$10,000.00",163.5,252.64,"BigRedNY"
"12","NFL $150K Thunderdome$150K Thunderdome (10/11/2015 1:00:00 PM)","10/11/2015 1:00:00 PM","$5,300.00","27","$150,000$150k","$50,000.00",152.2,169.6,"davidbor"
"13","NFL $150K Chop Block$150K Chop Block (10/11/2015 1:00:00 PM)","10/11/2015 1:00:00 PM","$50.00","3,333","$150,000$150k","$20,000.00",160.2,229.64,"nehinger1"
"14","NFL MASSIVE $100 Double UpMASSIVE $100 Double Up (10/11/2015 1:00:00 PM)","10/11/2015 1:00:00 PM","$100.00","1,666","$150,000$150k","$200.00",146.8,218.52,"FERcashmoney"
"15","NFL MASSIVE $50 Double UpMASSIVE $50 Double Up (10/11/2015 1:00:00 PM)","10/11/2015 1:00:00 PM","$50.00","3,360","$150,000$150k","$100.00",143.64,231.24,"drlullove"
"16","NFL MASSIVE $2 Double UpMASSIVE $2 Double Up (10/11/2015 1:00:00 PM)","10/11/2015 1:00:00 PM","$2.00","56,750","$100,000$100k","$4.00",147.7,236.64,"btterman"
