"","Pos","Player","Team","Fantasy PointsFpts","Salary","Cost/Fantasy Pt"
"1","RB","Doug Martin","TB",39.8,"$4,700","$118.09"
"2","QB","Josh McCown","CLE",38.48,"$5,100","$132.54"
"3","RB","Devonta Freeman","ATL",35.7,"$6,300","$176.47"
"4","QB","Eli Manning","NYG",32.74,"$6,800","$207.70"
"5","QB","Blake Bortles","JAC",32.22,"$5,100","$158.29"
"6","QB","Andy Dalton","CIN",31.04,"$5,700","$183.63"
"7","TE","Gary Barnidge","CLE",30.9,"$3,800","$122.98"
"8","WR","DeAndre Hopkins","HOU",30.9,"$7,200","$233.01"
"9","TE","Antonio Gates","SD",30.2,"$4,200","$139.07"
"10","RB","Justin Forsett","BAL",30,"$5,800","$193.33"
"11","TE","Tyler Eifert","CIN",29,"$4,600","$158.62"
"12","WR","Odell Beckham Jr.","NYG",28.4,"$9,000","$316.90"
"13","WR","Anquan Boldin","DET",27.7,"$4,400","$158.84"
"14","WR","Allen Robinson","JAC",26.2,"$5,500","$209.92"
"15","RB","Thomas Rawls","SEA",25.9,"$3,800","$146.72"
"16","RB","Le'Veon Bell","PIT",25.7,"$8,500","$330.74"
"17","WR","Andre Johnson","TEN",25.7,"$4,100","$159.53"
"18","WR","Allen Hurns","JAC",25.6,"$4,500","$175.78"
"19","QB","Tom Brady","NE",25.3,"$7,800","$308.30"
"20","WR","Julian Edelman","NE",25,"$7,000","$280.00"
"21","RB","DeMarco Murray","TEN",25,"$6,200","$248.00"
"22","RB","Shane Vereen","NYG",25,"$4,200","$168.00"
"23","WR","Brandin Cooks","NO",24.7,"$5,900","$238.87"
"24","QB","Philip Rivers","SD",24.6,"$6,200","$252.03"
"25","QB","Joe Flacco","BAL",24.6,"$5,600","$227.64"
"26","QB","Brian Hoyer","CHI",23.88,"$5,000","$209.38"
"27","QB","Tyrod Taylor","BUF",23.36,"$5,800","$248.29"
"28","RB","Dion Lewis","NE",23.3,"$4,800","$206.01"
"29","WR","Emmanuel Sanders","DEN",23.1,"$7,400","$320.35"
"30","WR","Willie Snead","NO",23.1,"$3,000","$129.87"
"31","DEF","Green Bay Packers","GB",23,"$3,100","$134.78"
"32","QB","Sam Bradford","PHI",22.62,"$6,000","$265.25"
"33","DEF","Denver Broncos","DEN",22,"$3,600","$163.64"
"34","RB","Matt Forte","NYJ",21.9,"$7,000","$319.63"
"35","RB","Theo Riddick","DET",21.3,"$3,000","$140.85"
"36","QB","Drew Brees","NO",21.3,"$7,200","$338.03"
"37","RB","Arian Foster","MIA",20.8,"$7,000","$336.54"
"38","QB","Colin Kaepernick","SF",20.78,"$5,200","$250.24"
