"","Pos","Player","Team","Fantasy PointsFpts","Salary","Cost/Fantasy Pt"
"1","WR","DeAndre Hopkins","HOU",39.8,"$7,700","$193.47"
"2","RB","Devonta Freeman","ATL",38.6,"$7,000","$181.35"
"3","QB","Matthew Stafford","DET",37.9,"$5,300","$139.84"
"4","WR","Martavis Bryant","PIT",35.5,"$4,000","$112.68"
"5","WR","Keenan Allen","SD",32.7,"$7,600","$232.42"
"6","WR","Alshon Jeffery","CHI",31.7,"$6,400","$201.89"
"7","TE","Benjamin Watson","BAL",31.7,"$2,500","$78.86"
"8","RB","Chris Ivory","JAC",31.6,"$5,100","$161.39"
"9","WR","Calvin Johnson","DET",31.6,"$7,300","$231.01"
"10","WR","John Brown","ARI",31.6,"$5,200","$164.56"
"11","QB","Philip Rivers","SD",31.12,"$6,300","$202.44"
"12","QB","Andrew Luck","IND",30.98,"$7,600","$245.32"
"13","WR","Steve Smith, Sr.","BAL",29.7,"$6,100","$205.39"
"14","TE","Greg Olsen","CAR",29.1,"$5,500","$189.00"
"15","QB","Blake Bortles","JAC",28.94,"$5,200","$179.68"
"16","RB","James Starks","GB",27.7,"$3,300","$119.13"
"17","QB","Tom Brady","NE",26.48,"$8,100","$305.89"
"18","QB","Ryan Fitzpatrick","NYJ",26.22,"$5,000","$190.69"
"19","WR","Brandon Marshall","NYJ",26.1,"$7,100","$272.03"
"20","QB","Colin Kaepernick","SF",25.6,"$5,000","$195.31"
"21","TE","Jimmy Graham","SEA",25,"$5,400","$216.00"
"22","WR","Lance Moore","DET",24.6,"$3,000","$121.95"
"23","WR","Marvin Jones","DET",24.5,"$3,500","$142.86"
"24","RB","DeMarco Murray","TEN",24.3,"$6,000","$246.91"
"25","QB","Brian Hoyer","CHI",24.22,"$5,100","$210.57"
"26","WR","Demaryius Thomas","DEN",24.1,"$7,900","$327.80"
"27","DEF","Miami Dolphins","MIA",24,"$2,800","$116.67"
"28","WR","Emmanuel Sanders","DEN",23.9,"$7,500","$313.81"
"29","WR","Travis Benjamin","SD",23.7,"$5,000","$210.97"
"30","RB","LeGarrette Blount","NE",23.4,"$4,400","$188.03"
"31","QB","Jay Cutler","CHI",23.32,"$5,200","$222.98"
"32","WR","Stefon Diggs","MIN",22.9,"$3,500","$152.84"
"33","RB","Lamar Miller","HOU",22.8,"$4,300","$188.60"
"34","QB","Joe Flacco","BAL",22.72,"$5,900","$259.68"
"35","RB","Arian Foster","MIA",22.2,"$7,000","$315.32"
"36","QB","Cam Newton","CAR",21.76,"$6,700","$307.90"
"37","QB","Carson Palmer","ARI",21.74,"$6,600","$303.59"
"38","QB","EJ Manuel","BUF",21.72,"$5,000","$230.20"
"39","RB","Jonathan Stewart","CAR",21.6,"$3,900","$180.56"
"40","QB","Andy Dalton","CIN",21.52,"$5,700","$264.87"
"41","TE","Julius Thomas","JAC",20.8,"$4,000","$192.31"
"42","WR","Allen Robinson","JAC",20.6,"$5,900","$286.41"
"43","RB","Mark Ingram","NO",20.6,"$6,000","$291.26"
"44","WR","Danny Amendola","NE",20.5,"$3,400","$165.85"
"45","RB","Matt Forte","NYJ",19.9,"$7,100","$356.78"
"46","QB","Matt Ryan","ATL",19.8,"$6,900","$348.48"
"47","QB","Drew Brees","NO",19.68,"$7,000","$355.69"
"48","QB","Aaron Rodgers","GB",19.6,"$7,700","$392.86"
"49","WR","T.Y. Hilton","IND",19.4,"$6,500","$335.05"
"50","WR","Odell Beckham Jr.","NYG",19.1,"$8,900","$465.97"
"51","DEF","Philadelphia Eagles","PHI",19,"$2,900","$152.63"
"52","DEF","New Orleans Saints","NO",19,"$2,300","$121.05"
"53","QB","Russell Wilson","SEA",18.94,"$6,500","$343.19"
"54","TE","Gary Barnidge","CLE",18.9,"$4,400","$232.80"
"55","WR","Donte Moncrief","IND",18.9,"$5,000","$264.55"
"56","WR","Torrey Smith","SF",18.6,"$4,200","$225.81"
"57","TE","Antonio Gates","SD",18.5,"$4,600","$248.65"
"58","WR","Anquan Boldin","DET",18.2,"$4,300","$236.26"
"59","QB","Ryan Tannehill","MIA",18.04,"$5,700","$315.96"
"60","TE","Delanie Walker","TEN",17.7,"$3,600","$203.39"
"61","RB","Ronnie Hillman","DEN",17.5,"$4,600","$262.86"
"62","RB","LeSean McCoy","BUF",17.4,"$5,400","$310.34"
"63","WR","Larry Fitzgerald","ARI",17.3,"$7,000","$404.62"
"64","WR","Julian Edelman","NE",17.2,"$7,600","$441.86"
"65","RB","Justin Forsett","BAL",17.1,"$6,400","$374.27"
"66","DEF","Denver Broncos","DEN",17,"$3,700","$217.65"
"67","WR","Bryan Walters","JAC",16.7,"$3,000","$179.64"
"68","WR","Riley Cooper","PHI",16.6,"$3,100","$186.75"
"69","QB","Alex Smith","KC",16.28,"$5,300","$325.55"
"70","DEF","Houston Texans","HOU",16,"$3,000","$187.50"
"71","WR","Golden Tate","DET",16,"$5,200","$325.00"
"72","WR","Michael Floyd","ARI",16,"$3,000","$187.50"
"73","WR","Jarvis Landry","MIA",15.6,"$6,200","$397.44"
"74","WR","Julio Jones","ATL",15.3,"$9,200","$601.31"
"75","TE","Charles Clay","BUF",15.2,"$4,300","$282.89"
"76","WR","Eric Decker","NYJ",14.9,"$4,900","$328.86"
"77","WR","Sammy Watkins","BUF",14.8,"$5,400","$364.86"
"78","QB","Josh McCown","CLE",14.72,"$5,400","$366.85"
"79","WR","Albert Wilson","KC",14.7,"$3,000","$204.08"
"80","QB","Landry Jones","PIT",14.62,"$5,000","$342.00"
"81","WR","Rishard Matthews","TEN",14.5,"$4,200","$289.66"
"82","WR","Malcom Floyd","SD",14.5,"$3,400","$234.48"
"83","RB","Giovani Bernard","CIN",14.3,"$4,600","$321.68"
"84","TE","Rob Gronkowski","NE",14,"$7,600","$542.86"
"85","RB","Jeremy Hill","CIN",13.9,"$5,700","$410.07"
"86","TE","Travis Kelce","KC",13.8,"$5,000","$362.32"
"87","WR","Pierre Garcon","WAS",13.8,"$5,100","$369.57"
"88","TE","Dion Sims","MIA",13.3,"$2,500","$187.97"
"89","RB","Dexter McCluster","TEN",13.2,"$3,000","$227.27"
"90","DEF","Cleveland Browns","CLE",13,"$2,200","$169.23"
"91","DEF","Washington Redskins","WAS",13,"$2,500","$192.31"
"92","TE","Tyler Eifert","CIN",13,"$4,900","$376.92"
"93","QB","Peyton Manning","DEN",12.6,"$6,600","$523.81"
"94","TE","Ladarius Green","PIT",12.5,"$3,200","$256.00"
"95","QB","Sam Bradford","PHI",12.4,"$6,000","$483.87"
"96","RB","Marshawn Lynch","SEA",12.4,"$6,900","$556.45"
"97","WR","Ricardo Lockette","SEA",12.3,"$3,000","$243.90"
"98","RB","Danny Woodhead","SD",12.1,"$4,700","$388.43"
