"","Name","Time","Buy-In","Entries","Prize Pool","Top Prize","FPts to Cash","FPts to Win","Winner"
"1","NFL $7M Millionaire Maker$7M Millionaire Maker (10/18/2015 1:00:00 PM)","10/18/2015 1:00:00 PM","$20.00","359,617","$7,000,000$7kk","$1,200,000.00",162.14,263.5,"dirty6613"
"2","NFL $1.5M Play-Action$1.5M Play-Action (10/18/2015 1:00:00 PM)","10/18/2015 1:00:00 PM","$3.00","575,000","$1,500,000$1,500k","$100,000.00",163.22,245.1,"ugotnuts"
"3","NFL MASSIVE $25 Double UpMASSIVE $25 Double Up (10/18/2015 1:00:00 PM)","10/18/2015 1:00:00 PM","$25.00","45,250","$1,000,000$1kk","$50.00",148.22,234.2,"SuicideDawg"
"4","NFL $850K Blitz$850K Blitz (10/18/2015 1:00:00 PM)","10/18/2015 1:00:00 PM","$300.00","2,929","$850,000$850k","$125,000.00",166.14,230.2,"bigr0161"
"5","NFL $600K Slant$600K Slant (10/18/2015 1:00:00 PM)","10/18/2015 1:00:00 PM","$9.00","76,664","$600,000$600k","$50,000.00",163.98,236.64,"bcalicore"
"6","NFL $500K Thunderdome$500K Thunderdome (10/18/2015 1:00:00 PM)","10/18/2015 1:00:00 PM","$5,300.00","100","$500,000$500k","$100,000.00",169.2,208.9,"tmneric"
"7","NFL MASSIVE $5 Double UpMASSIVE $5 Double Up (10/18/2015 1:00:00 PM)","10/18/2015 1:00:00 PM","$5.00","90,800","$400,000$400k","$10.00",148.12,248.98,"joenino69"
"8","NFL $300K Game Changer$300K Game Changer (10/18/2015 1:00:00 PM)","10/18/2015 1:00:00 PM","$1,060.00","272","$300,000$300k","$50,000.00",165.08,213.7,"MayorGoldieWilson"
"9","NFL $250K Flea Flicker$250K Flea Flicker (10/18/2015 1:00:00 PM)","10/18/2015 1:00:00 PM","$5.00","57,500","$250,000$250k","$25,000.00",163.8,242.8,"ganondorf"
"10","NFL $250K Hot Route$250K Hot Route (10/18/2015 1:00:00 PM)","10/18/2015 1:00:00 PM","$100.00","2,777","$250,000$250k","$30,000.00",165.42,230.8,"Nashers"
"11","NFL MASSIVE $10 Double UpMASSIVE $10 Double Up (10/18/2015 1:00:00 PM)","10/18/2015 1:00:00 PM","$10.00","22,700","$200,000$200k","$20.00",147.9,225.24,"craigmartin557"
"12","NFL MASSIVE $50 Double UpMASSIVE $50 Double Up (10/18/2015 1:00:00 PM)","10/18/2015 1:00:00 PM","$50.00","3,360","$150,000$150k","$100.00",148.4,229.62,"jonez26"
"13","NFL $150K First Down$150K First Down (10/18/2015 1:00:00 PM)","10/18/2015 1:00:00 PM","$1.00","172,500","$150,000$150k","$10,000.00",163.52,250.4,"BVille10"
"14","NFL MASSIVE $100 Double UpMASSIVE $100 Double Up (10/18/2015 1:00:00 PM)","10/18/2015 1:00:00 PM","$100.00","1,666","$150,000$150k","$200.00",149.62,222.84,"2-4-Money"
"15","NFL $150K Chop Block$150K Chop Block (10/18/2015 1:00:00 PM)","10/18/2015 1:00:00 PM","$50.00","3,333","$150,000$150k","$20,000.00",163.28,233.2,"Aship711"
"16","NFL $100K Hail Mary$100K Hail Mary (10/18/2015 1:00:00 PM)","10/18/2015 1:00:00 PM","$12.00","9,550","$100,000$100k","$10,000.00",162.62,242.8,"ganondorf"
"17","NFL $100K Double Bubble$100K Double Bubble (10/18/2015 1:00:00 PM)","10/18/2015 1:00:00 PM","$3.00","38,333","$100,000$100k","$10,000.00",149.18,236.8,"lscbnc"
"18","NFL $100K Pylon$100K Pylon (10/18/2015 1:00:00 PM)","10/18/2015 1:00:00 PM","$3.00","38,333","$100,000$100k","$10,000.00",162.68,239.6,"samino"
