"","Pos","Player","Team","Salary","Fantasy PointsFPts","Cost/FptC/Fpt"
"1","QB1","Matthew Stafford","DET","$5,300",37.9,"$139.84"
"2","RB1","Devonta Freeman","ATL","$7,000",38.6,"$181.35"
"3","RB2","Chris Ivory","JAC","$5,100",31.6,"$161.39"
"4","WR1","Martavis Bryant","PIT","$4,000",35.5,"$112.68"
"5","WR2","DeAndre Hopkins","HOU","$7,700",39.8,"$193.47"
"6","WR3","Keenan Allen","SD","$7,600",32.7,"$232.42"
"7","TE1","Benjamin Watson","BAL","$2,500",31.7,"$78.86"
"8","FLEX","James Starks","GB","$3,300",27.7,"$119.13"
"9","DEF","Miami Dolphins","MIA","$2,800",24,"$116.67"
"10"," "," "," ","$45,300",299.5," "
