"","Name","Time","Buy-In","Entries","Prize Pool","Top Prize","FPts to Cash","FPts to Win","Winner"
"1","NFL $500K Sunday Night Special$500K Sunday Night Special (10/4/2015 8:30:00 PM)","10/4/2015 8:30:00 PM","$5.00","115,000","$500,000$500k","$100,000.00",100.54,143.06,"Broome11"
"2","NFL $100K Play-Action$100K Play-Action (10/4/2015 8:30:00 PM)","10/4/2015 8:30:00 PM","$3.00","38,333","$100,000$100k","$10,000.00",99.56,133.96,"valley_girl90"
"3","NFL $7M Millionaire Maker$7M Millionaire Maker (10/4/2015 1:00:00 PM)","10/4/2015 1:00:00 PM","$20.00","376,767","$7,000,000$7kk","$1,200,000.00",133.46,200.02,"ChipotleAddict"
"4","NFL $1.5M Play-Action$1.5M Play-Action (10/4/2015 1:00:00 PM)","10/4/2015 1:00:00 PM","$3.00","574,356","$1,500,000$1,500k","$100,000.00",133.96,206.78,"FreyaThePuppy"
"5","NFL $1M Blitz$1M Blitz (10/4/2015 1:00:00 PM)","10/4/2015 1:00:00 PM","$300.00","3,384","$1,000,000$1kk","$150,000.00",134.5,183.34,"Stinger88"
"6","NFL $700K Slant$700K Slant (10/4/2015 1:00:00 PM)","10/4/2015 1:00:00 PM","$9.00","82,362","$700,000$700k","$50,000.00",133.74,201.88,"ocdobv"
"7","NFL $300K Game Changer$300K Game Changer (10/4/2015 1:00:00 PM)","10/4/2015 1:00:00 PM","$1,060.00","293","$300,000$300k","$50,000.00",136.68,166.04,"doubowles"
"8","NFL $300K Hot Route$300K Hot Route (10/4/2015 1:00:00 PM)","10/4/2015 1:00:00 PM","$100.00","3,074","$300,000$300k","$50,000.00",133.66,183.54,"SnowLeopard1"
"9","NFL $250K Flea Flicker$250K Flea Flicker (10/4/2015 1:00:00 PM)","10/4/2015 1:00:00 PM","$5.00","49,621","$250,000$250k","$25,000.00",132.94,204.14,"youstinkslider"
"10","NFL $200K Thunderdome$200K Thunderdome (10/4/2015 1:00:00 PM)","10/4/2015 1:00:00 PM","$5,300.00","38","$200,000$200k","$60,000.00",141.62,157.44,"aliabduljabbar"
"11","NFL MASSIVE $10 Double UpMASSIVE $10 Double Up (10/4/2015 1:00:00 PM)","10/4/2015 1:00:00 PM","$10.00","22,548","$200,000$200k","$20.00",152.84,194.64,"eevers951"
"12","NFL $150K Chop Block$150K Chop Block (10/4/2015 1:00:00 PM)","10/4/2015 1:00:00 PM","$50.00","3,267","$150,000$150k","$20,000.00",135.92,188.74,"pguen63410"
"13","NFL $150K First Down$150K First Down (10/4/2015 1:00:00 PM)","10/4/2015 1:00:00 PM","$1.00","172,500","$150,000$150k","$10,000.00",161.36,209.12,"OMG_ITS_NIK"
"14","NFL $150K Hail Mary$150K Hail Mary (10/4/2015 1:00:00 PM)","10/4/2015 1:00:00 PM","$12.00","12,434","$150,000$150k","$20,000.00",134.74,200.02,"ChipotleAddict"
"15","NFL MASSIVE $50 Double UpMASSIVE $50 Double Up (10/4/2015 1:00:00 PM)","10/4/2015 1:00:00 PM","$50.00","2,688","$120,000$120k","$100.00",131.24,187.66,"lukeudish1"
"16","NFL MASSIVE $100 Double UpMASSIVE $100 Double Up (10/4/2015 1:00:00 PM)","10/4/2015 1:00:00 PM","$100.00","1,333","$120,000$120k","$200.00",127.16,178.06,"uncbluehen"
"17","NFL MASSIVE $1,000 Double UpMASSIVE $1,000 Double Up (10/4/2015 1:00:00 PM)","10/4/2015 1:00:00 PM","$1,000.00","106","$100,000$100k","$2,000.00",124.06,166.66,"texastechports"
"18","NFL $100K Super Booster$100K Super Booster (10/4/2015 1:00:00 PM)","10/4/2015 1:00:00 PM","$27.00","4,043","$100,000$100k","$1,000.00",158.42,187.26,"ryno2121"
"19","NFL $100K Sunday Kickoff presented by Fox Sports$100K Sunday Kickoff presented by Fox Sports (10/4/2015 1:00:00 PM)","10/4/2015 1:00:00 PM","$3.00","33,200","$100,000$100k","$10,000.00",132.26,197.02,"JAYTILE"
"20","NFL $100K Huddle$100K Huddle (10/4/2015 1:00:00 PM)","10/4/2015 1:00:00 PM","$5.00","18,438","$100,000$100k","$10,000.00",131.16,197.86,"Solidc7"
"21","NFL $100K Double Bubble$100K Double Bubble (10/4/2015 1:00:00 PM)","10/4/2015 1:00:00 PM","$3.00","35,733","$100,000$100k","$10,000.00",122.26,201.32,"cripill"
"22","NFL MASSIVE $500 Double UpMASSIVE $500 Double Up (10/4/2015 1:00:00 PM)","10/4/2015 1:00:00 PM","$500.00","150","$70,000$70k","$1,000.00",127.06,163.56,"CONDIA"
"23","NFL MASSIVE $250 Double UpMASSIVE $250 Double Up (10/4/2015 1:00:00 PM)","10/4/2015 1:00:00 PM","$250.00","222","$50,000$50k","$500.00",128.24,167.02,"mikeliu"
"24","NFL $50K Quarter Arcade$50K Quarter Arcade (10/4/2015 1:00:00 PM)","10/4/2015 1:00:00 PM","$0.25","235,000","$50,000$50k","$2,000.00",135.04,206.22,"slimshot"
"25","NFL $50K Blind Side$50K Blind Side (10/4/2015 1:00:00 PM)","10/4/2015 1:00:00 PM","$27.00","2,112","$50,000$50k","$10,000.00",135.64,185.36,"MXRMAN"
"26","NFL $50K Daily Dollar$50K Daily Dollar (10/4/2015 1:00:00 PM)","10/4/2015 1:00:00 PM","$1.00","52,596","$50,000$50k","$3,000.00",133.34,198.26,"paulmal1"
"27","NFL $50K Safety$50K Safety (10/4/2015 1:00:00 PM)","10/4/2015 1:00:00 PM","$2.00","28,750","$50,000$50k","$5,000.00",135.86,201.88,"ocdobv"
"28","NFL $50K Playmaker$50K Playmaker (10/4/2015 1:00:00 PM)","10/4/2015 1:00:00 PM","$530.00","92","$50,000$50k","$10,000.00",138.94,165.54,"tigerw05"
"29","NFL BIG $10 BoosterBIG $10 Booster (10/4/2015 1:00:00 PM)","10/4/2015 1:00:00 PM","$10.00","5,675","$50,000$50k","$100.00",146.54,191.66,"pclarke234"
"30","NFL BIG $2 BoosterBIG $2 Booster (10/4/2015 1:00:00 PM)","10/4/2015 1:00:00 PM","$2.00","22,467","$40,000$40k","$20.00",147.14,197.66,"PenskeFile"
"31","NFL $40K Spy$40K Spy (10/4/2015 1:00:00 PM)","10/4/2015 1:00:00 PM","$100.00","444","$40,000$40k","$7,000.00",138.4,173.34,"Boatsandhopes290"
"32","NFL $40K Red Zone$40K Red Zone (10/4/2015 1:00:00 PM)","10/4/2015 1:00:00 PM","$50.00","731","$40,000$40k","$4,000.00",132.86,192.34,"iamtheone69"
"33","NFL $40K Hitch & Go$40K Hitch & Go (10/4/2015 1:00:00 PM)","10/4/2015 1:00:00 PM","$7.00","6,571","$40,000$40k","$3,000.00",136.42,190.02,"Halifax2"
"34","NFL $40K Button Hook$40K Button Hook (10/4/2015 1:00:00 PM)","10/4/2015 1:00:00 PM","$9.00","4,962","$40,000$40k","$4,000.00",134.96,195.18,"MsXiu"
"35","NFL $30K Touchdown$30K Touchdown (10/4/2015 1:00:00 PM)","10/4/2015 1:00:00 PM","$200.00","162","$30,000$30k","$5,000.00",141.44,184.64,"SamRothstein21"
"36","NFL $1M Kickoff Million$1M Kickoff Million (10/1/2015 8:25:00 PM)","10/1/2015 8:25:00 PM","$3.00","383,333","$1,000,000$1kk","$100,000.00",161.44,217.92,"slick1124"
"37","NFL $400K Gridiron$400K Gridiron (10/1/2015 8:25:00 PM)","10/1/2015 8:25:00 PM","$27.00","16,816","$400,000$400k","$100,000.00",136.06,207.58,"wally1278"
"38","NFL $150K Blitz$150K Blitz (10/1/2015 8:25:00 PM)","10/1/2015 8:25:00 PM","$300.00","555","$150,000$150k","$25,000.00",138.24,182.38,"TheClone"
"39","NFL $60K Hot Route$60K Hot Route (10/1/2015 8:25:00 PM)","10/1/2015 8:25:00 PM","$100.00","666","$60,000$60k","$10,000.00",138.24,180.14,"mikesquires"
"40","NFL $60K Hail Mary$60K Hail Mary (10/1/2015 8:25:00 PM)","10/1/2015 8:25:00 PM","$12.00","5,730","$60,000$60k","$5,000.00",136.96,207.58,"wally1278"
