"","Name","Time","Buy-In","Entries","Prize Pool","Top Prize","FPts to Cash","FPts to Win","Winner"
"41","NFL $60K Chop Block$60K Chop Block (10/1/2015 8:25:00 PM)","10/1/2015 8:25:00 PM","$50.00","1,333","$60,000$60k","$8,000.00",138.16,186.32,"Suckmycash"
"42","NFL $60K Flea Flicker$60K Flea Flicker (10/1/2015 8:25:00 PM)","10/1/2015 8:25:00 PM","$5.00","13,800","$60,000$60k","$5,000.00",136.94,207.58,"wally1278"
"43","NFL $50K Safety$50K Safety (10/1/2015 8:25:00 PM)","10/1/2015 8:25:00 PM","$2.00","28,750","$50,000$50k","$5,000.00",137.14,212.48,"Donnybrook1"
"44","NFL $50K First Down$50K First Down (10/1/2015 8:25:00 PM)","10/1/2015 8:25:00 PM","$1.00","57,500","$50,000$50k","$3,000.00",136.6,207.58,"wally1278"
"45","NFL MASSIVE $50 Double UpMASSIVE $50 Double Up (10/1/2015 8:25:00 PM)","10/1/2015 8:25:00 PM","$50.00","1,120","$50,000$50k","$100.00",124.86,194.16,"nbonaddio"
"46","NFL GIANT $10 Double UpGIANT $10 Double Up (10/1/2015 8:25:00 PM)","10/1/2015 8:25:00 PM","$10.00","5,674","$50,000$50k","$20.00",123.96,191.84,"Ricochetx31"
"47","NFL $50K Game Changer$50K Game Changer (10/1/2015 8:25:00 PM)","10/1/2015 8:25:00 PM","$1,060.00","50","$50,000$50k","$15,000.00",137.44,166.94,"Sawyer24"
"48","NFL $40K Hitch & Go$40K Hitch & Go (10/1/2015 8:25:00 PM)","10/1/2015 8:25:00 PM","$7.00","6,571","$40,000$40k","$3,000.00",136.54,207.58,"wally1278"
"49","NFL GIANT $100 Double UpGIANT $100 Double Up (10/1/2015 8:25:00 PM)","10/1/2015 8:25:00 PM","$100.00","444","$40,000$40k","$200.00",122.94,183.34,"freshpuck"
"50","NFL $25K Quarter Arcade$25K Quarter Arcade (10/1/2015 8:25:00 PM)","10/1/2015 8:25:00 PM","$0.25","117,500","$25,000$25k","$2,000.00",136.56,203.74,"hitchfelg"
"51","NFL MASSIVE $250 Double UpMASSIVE $250 Double Up (10/1/2015 8:25:00 PM)","10/1/2015 8:25:00 PM","$250.00","111","$25,000$25k","$500.00",126.66,178.58,"Lethargo"
