"","Pos","Player","Team","Salary","Fantasy PointsFPts","Cost/FptC/Fpt"
"1","QB1","Aaron Rodgers","GB","$7,400",36.96,"$200.22"
"2","RB1","DeAngelo Williams","PIT","$5,500",41.5,"$132.53"
"3","RB2","Lamar Miller","HOU","$5,000",33.1,"$151.06"
"4","WR1","Cole Beasley","DAL","$3,000",35.2,"$85.23"
"5","WR2","Sammy Watkins","BUF","$5,000",33.8,"$147.93"
"6","WR3","Antonio Brown","PIT","$8,100",49.6,"$163.31"
"7","TE1","Delanie Walker","TEN","$4,200",30.5,"$137.70"
"8","FLEX","Owen Daniels","DEN","$2,600",25.2,"$103.17"
"9","DEF","New York Jets","NYJ","$3,100",14,"$221.43"
"10"," "," "," ","$43,900",299.86," "
