"","Name","Time","Buy-In","Entries","Prize Pool","Top Prize","FPts to Cash","FPts to Win","Winner"
"1","NFL $450K Sunday Night Special$450K Sunday Night Special (11/8/2015 8:30:00 PM)","11/8/2015 8:30:00 PM","$5.00","103,500","$450,000$450k","$50,000.00",176.2,217.1,"24tater"
"2","NFL $120K Gridiron$120K Gridiron (11/8/2015 8:30:00 PM)","11/8/2015 8:30:00 PM","$27.00","5,070","$120,000$120k","$5,000.00",179.1,214.5,"Falkross"
"3","NFL $80K Play-Action$80K Play-Action (11/8/2015 8:30:00 PM)","11/8/2015 8:30:00 PM","$3.00","30,665","$80,000$80k","$5,000.00",177,218.76,"cfbn.hobbs"
"4","NFL $50K Hot Route$50K Hot Route (11/8/2015 8:30:00 PM)","11/8/2015 8:30:00 PM","$100.00","555","$50,000$50k","$3,750.00",179.4,202.2,"tmurph29"
"5","NFL $40K Blitz$40K Blitz (11/8/2015 8:30:00 PM)","11/8/2015 8:30:00 PM","$300.00","148","$40,000$40k","$5,000.00",182.8,207.6,"Mista_Murda"
"6","NFL $40K Slant$40K Slant (11/8/2015 8:30:00 PM)","11/8/2015 8:30:00 PM","$9.00","5,111","$40,000$40k","$800.00",177.2,214.5,"bbgreen31"
"7","NFL $30K First Down$30K First Down (11/8/2015 8:30:00 PM)","11/8/2015 8:30:00 PM","$1.00","34,484","$30,000$30k","$2,000.00",175.2,214.9,"jjones7507"
"8","NFL $25K Game Changer$25K Game Changer (11/8/2015 8:30:00 PM)","11/8/2015 8:30:00 PM","$1,060.00","25","$25,000$25k","$10,000.00",187.96,203.6,"Snm325"
"9","NFL $125K Play-Action$125K Play-Action (11/8/2015 4:05:00 PM)","11/8/2015 4:05:00 PM","$3.00","47,912","$125,000$125k","$10,000.00",122.74,171.76,"Drell2014"
"10","NFL $75K Play-Action$75K Play-Action (11/8/2015 4:05:00 PM)","11/8/2015 4:05:00 PM","$3.00","28,736","$75,000$75k","$5,000.00",168.2,214.7,"Tg928"
"11","NFL $60K Gridiron$60K Gridiron (11/8/2015 4:05:00 PM)","11/8/2015 4:05:00 PM","$27.00","2,535","$60,000$60k","$5,000.00",124.62,158.02,"conok99"
"12","NFL $30K Slant$30K Slant (11/8/2015 4:05:00 PM)","11/8/2015 4:05:00 PM","$9.00","3,832","$30,000$30k","$2,500.00",154.2,202.62,"cappermark"
"13","NFL $30K Gridiron$30K Gridiron (11/8/2015 4:05:00 PM)","11/8/2015 4:05:00 PM","$27.00","1,267","$30,000$30k","$5,000.00",156.32,201.42,"Tosatapout"
"14","NFL $25K Flea Flicker$25K Flea Flicker (11/8/2015 4:05:00 PM)","11/8/2015 4:05:00 PM","$5.00","5,750","$25,000$25k","$5,000.00",122.42,161.86,"rtmontague888"
