"","Pos","Player","Team","Fantasy PointsFpts","Salary","Cost/Fantasy Pt"
"1","WR","Antonio Brown","PIT",49.6,"$8,100","$163.31"
"2","RB","DeAngelo Williams","PIT",41.5,"$5,500","$132.53"
"3","QB","Aaron Rodgers","GB",36.96,"$7,400","$200.22"
"4","QB","Marcus Mariota","TEN",36.34,"$5,300","$145.84"
"5","QB","Drew Brees","NO",35.38,"$7,200","$203.50"
"6","WR","Cole Beasley","DAL",35.2,"$3,000","$85.23"
"7","QB","Cam Newton","CAR",34.58,"$6,900","$199.54"
"8","WR","Sammy Watkins","BUF",33.8,"$5,000","$147.93"
"9","RB","Lamar Miller","HOU",33.1,"$5,000","$151.06"
"10","WR","Michael Crabtree","OAK",32.8,"$4,900","$149.39"
"11","WR","Jordan Matthews","PHI",31.3,"$6,400","$204.47"
"12","TE","Delanie Walker","TEN",30.5,"$4,200","$137.70"
"13","QB","Derek Carr","OAK",30.34,"$5,500","$181.28"
"14","TE","Tyler Eifert","CIN",28.3,"$5,400","$190.81"
"15","RB","DeMarco Murray","TEN",28.1,"$6,400","$227.76"
"16","WR","Alshon Jeffery","CHI",28.1,"$6,700","$238.43"
"17","WR","Julio Jones","ATL",26.7,"$9,300","$348.31"
"18","QB","Blake Bortles","JAC",26.44,"$5,400","$204.24"
"19","WR","Allen Hurns","JAC",26.2,"$5,300","$202.29"
"20","RB","Karlos Williams","BUF",26,"$4,000","$153.85"
"21","QB","Ben Roethlisberger","PIT",25.36,"$6,600","$260.25"
"22","RB","Adrian Peterson","MIN",25.3,"$7,300","$288.54"
"23","TE","Owen Daniels","DEN",25.2,"$2,600","$103.17"
"24","RB","Jeremy Langford","CHI",25.2,"$4,000","$158.73"
"25","WR","Mike Evans","TB",25.2,"$6,800","$269.84"
"26","QB","Matt Cassel","TEN",24.66,"$5,000","$202.76"
"27","WR","Dez Bryant","DAL",24.4,"$7,900","$323.77"
"28","RB","James Starks","GB",24.2,"$4,200","$173.55"
"29","RB","Danny Woodhead","SD",23.1,"$4,800","$207.79"
"30","RB","LeSean McCoy","BUF",22.9,"$5,500","$240.17"
"31","QB","Jay Cutler","CHI",22.6,"$5,200","$230.09"
"32","WR","Odell Beckham Jr.","NYG",22.5,"$8,800","$391.11"
"33","RB","LeGarrette Blount","NE",21.9,"$4,800","$219.18"
"34","RB","Devonta Freeman","ATL",21.9,"$8,000","$365.30"
"35","QB","Andy Dalton","CIN",21.86,"$6,200","$283.62"
"36","WR","Amari Cooper","OAK",21.8,"$6,700","$307.34"
"37","QB","Andrew Luck","IND",21.48,"$7,000","$325.88"
"38","WR","Allen Robinson","JAC",21.1,"$6,400","$303.32"
"39","WR","Emmanuel Sanders","DEN",21,"$7,300","$347.62"
"40","WR","Jarvis Landry","MIA",20.06,"$6,300","$314.06"
"41","WR","Eric Decker","NYJ",19.9,"$5,300","$266.33"
"42","WR","Randall Cobb","GB",19.9,"$6,800","$341.71"
"43","RB","Todd Gurley","LA",19.9,"$6,900","$346.73"
"44","RB","Chris Ivory","JAC",19.8,"$5,900","$297.98"
"45","TE","Martellus Bennett","NE",19.7,"$4,900","$248.73"
"46","QB","Matt Ryan","ATL",19.32,"$7,100","$367.49"
"47","TE","Richard Rodgers","GB",18.9,"$3,000","$158.73"
"48","QB","Ryan Fitzpatrick","NYJ",18.88,"$5,200","$275.42"
"49","QB","Tom Brady","NE",18.86,"$8,500","$450.69"
"50","QB","Jameis Winston","TB",18.36,"$5,200","$283.22"
"51","WR","Davante Adams","GB",18.3,"$3,900","$213.11"
"52","WR","Brandon LaFell","CIN",18.2,"$3,200","$175.82"
"53","QB","Peyton Manning","DEN",17.24,"$6,300","$365.43"
"54","RB","Frank Gore","IND",17.2,"$4,800","$279.07"
"55","WR","Brandin Cooks","NO",17.1,"$5,800","$339.18"
"56","TE","Greg Olsen","CAR",16.6,"$6,500","$391.57"
"57","QB","Blaine Gabbert","SF",16.6,"$5,000","$301.20"
"58","QB","Ryan Tannehill","MIA",16.56,"$5,700","$344.20"
"59","WR","Bryan Walters","JAC",16.4,"$3,000","$182.93"
"60","RB","Darren McFadden","DAL",16.2,"$4,300","$265.43"
"61","WR","Devin Funchess","CAR",16.1,"$3,000","$186.34"
"62","QB","Sam Bradford","PHI",15.7,"$5,900","$375.80"
"63","QB","Tyrod Taylor","BUF",15.64,"$5,300","$338.87"
"64","WR","Julian Edelman","NE",15.5,"$8,200","$529.03"
"65","WR","Willie Snead","NO",15.5,"$4,800","$309.68"
"66","QB","Philip Rivers","SD",15.2,"$6,900","$453.95"
"67","TE","Garrett Celek","SF",15.2,"$2,500","$164.47"
"68","WR","Rueben Randle","PHI",15,"$4,100","$273.33"
"69","QB","Teddy Bridgewater","MIN",14.46,"$5,100","$352.70"
"70","QB","Eli Manning","NYG",14.42,"$6,900","$478.50"
"71","WR","Brandon Marshall","NYJ",14.4,"$7,600","$527.78"
"72","RB","Shane Vereen","NYG",14.3,"$4,400","$307.69"
"73","DEF","New York Jets","NYJ",14,"$3,100","$221.43"
"74","WR","Mohamed Sanu","ATL",14,"$3,200","$228.57"
"75","QB","Johnny Manziel","CLE",13.82,"$5,000","$361.79"
"76","WR","Stevie Johnson","SD",13.8,"$3,200","$231.88"
"77","RB","Mark Ingram","NO",13.6,"$6,500","$477.94"
"78","WR","T.Y. Hilton","IND",13.2,"$6,900","$522.73"
"79","RB","T.J. Yeldon","JAC",13.1,"$4,800","$366.41"
"80","DEF","New York Giants","NYG",13,"$2,700","$207.69"
"81","RB","Brandon Bolden","NE",12.9,"$3,000","$232.56"
"82","TE","Antonio Gates","SD",12.9,"$4,700","$364.34"
"83","WR","Marvin Jones","DET",12.8,"$4,300","$335.94"
"84","WR","Dorial Green-Beckham","TEN",12.7,"$3,100","$244.09"
"85","RB","Ryan Mathews","PHI",12.7,"$3,700","$291.34"
"86","WR","Griff Whalen","MIA",12.3,"$3,000","$243.90"
"87","TE","Anthony Fasano","TEN",12.3,"$2,500","$203.25"
"88","WR","Harry Douglas","TEN",12.3,"$3,000","$243.90"
"89","RB","Antonio Andrews","TEN",12.1,"$3,600","$297.52"
"90","WR","Martavis Bryant","PIT",12.1,"$5,500","$454.55"
"91","TE","Jacob Tamme","ATL",12.1,"$3,000","$247.93"
"92","WR","Tavon Austin","LA",12.1,"$4,800","$396.69"
"93","DEF","Philadelphia Eagles","PHI",12,"$2,700","$225.00"
"94","RB","Duke Johnson","CLE",11.8,"$4,000","$338.98"
"95","WR","Corey Brown","CAR",11.8,"$3,000","$254.24"
"96","WR","Kenny Britt","LA",11.7,"$3,600","$307.69"
"97","QB","Kirk Cousins","WAS",11.68,"$5,100","$436.64"
"98","WR","Jerricho Cotchery","CAR",11.2,"$3,000","$267.86"
"99","DEF","San Diego Chargers","SD",11,"$2,600","$236.36"
"100","WR","Jamison Crowder","WAS",11,"$3,700","$336.36"
"101","WR","Pierre Garcon","WAS",11,"$5,000","$454.55"
"102","TE","Benjamin Watson","BAL",11,"$4,000","$363.64"
"103","TE","Jordan Reed","WAS",10.8,"$4,500","$416.67"
"104","WR","Justin Hunter","TEN",10.7,"$3,000","$280.37"
"105","RB","Latavius Murray","OAK",10.5,"$6,000","$571.43"
"106","WR","Adam Humphries","TB",10.5,"$3,000","$285.71"
"107","WR","Kenny Stills","MIA",10.4,"$3,000","$288.46"
"108","WR","Seth Roberts","OAK",10.3,"$3,000","$291.26"
"109","TE","Jason Witten","DAL",10.3,"$5,200","$504.85"
"110","TE","Josh Hill","NO",10.1,"$2,500","$247.52"
"111","WR","Demaryius Thomas","DEN",10,"$7,500","$750.00"
"112","WR","Quinton Patton","SF",10,"$3,000","$300.00"
"113","TE","Jack Doyle","IND",9.8,"$2,500","$255.10"
"114","RB","Giovani Bernard","CIN",9.6,"$4,800","$500.00"
"115","WR","Rishard Matthews","TEN",9.4,"$4,500","$478.72"
"116","RB","Isaiah Crowell","CLE",9.4,"$3,400","$361.70"
"117","TE","Zach Ertz","PHI",9.4,"$3,200","$340.43"
"118","RB","Dion Lewis","NE",9.3,"$6,400","$688.17"
"119","WR","A.J. Green","CIN",9.3,"$7,600","$817.20"
"120","TE","Jesse James","PIT",9.3,"$2,500","$268.82"
"121","DEF","New England Patriots","NE",9,"$3,300","$366.67"
"122","DEF","Tennessee Titans","TEN",9,"$2,600","$288.89"
"123","TE","Rob Gronkowski","NE",8.7,"$8,000","$919.54"
"124","RB","Melvin Gordon III","SD",8.6,"$4,000","$465.12"
"125","WR","Kenbrell Thompkins","NYJ",8.5,"$3,000","$352.94"
"126","RB","Charles Sims","TB",8.2,"$3,600","$439.02"
"127","RB","Ahmad Bradshaw","IND",8.1,"$3,000","$370.37"
"128","DEF","Chicago Bears","CHI",8,"$2,400","$300.00"
"129","DEF","Carolina Panthers","CAR",8,"$3,200","$400.00"
"130","FB","Jamize Olawale","OAK",7.9,"$3,000","$379.75"
"131","RB","Jonathan Stewart","CAR",7.8,"$4,300","$551.28"
"132","WR","Brandon Coleman","NO",7.8,"$3,000","$384.62"
"133","WR","James Jones","SD",7.7,"$5,600","$727.27"
"134","WR","Danny Amendola","NE",7.2,"$4,000","$555.56"
"135","WR","Stefon Diggs","MIN",7.2,"$5,300","$736.11"
"136","TE","Michael Hoomanawanui","NO",7.1,"$2,500","$352.11"
"137","TE","Clive Walford","OAK",7.1,"$2,600","$366.20"
"138","DEF","Cincinnati Bengals","CIN",7,"$3,200","$457.14"
"139","DEF","Denver Broncos","DEN",7,"$3,000","$428.57"
"140","QB","Nick Foles","KC",6.92,"$5,100","$736.99"
"141","WR","Marques Colston","NO",6.7,"$3,400","$507.46"
"142","WR","Torrey Smith","SF",6.4,"$3,900","$609.38"
"143","RB","Jeremy Hill","CIN",6.2,"$5,200","$838.71"
"144","TE","Heath Miller","PIT",6.2,"$2,700","$435.48"
"145","TE","Coby Fleener","NO",6.2,"$2,800","$451.61"
"146","WR","Dwayne Bowe","CLE",6.1,"$3,000","$491.80"
"147","WR","Donte Moncrief","IND",6,"$5,400","$900.00"
"148","WR","Terrance Williams","DAL",5.7,"$4,100","$719.30"
"149","RB","Rashad Jennings","NYG",5.7,"$3,900","$684.21"
"150","WR","Justin Hardy","ATL",5.7,"$3,000","$526.32"
"151","RB","Dexter McCluster","TEN",5.7,"$3,400","$596.49"
"152","TE","Gary Barnidge","CLE",5.5,"$4,800","$872.73"
"153","TE","Jeff Cumberland","SD",5.4,"$2,500","$462.96"
"154","RB","Matt Jones","WAS",5.4,"$3,200","$592.59"
"155","RB","Doug Martin","TB",5.3,"$5,700","$1,075.47"
"156","WR","Travis Benjamin","SD",5.2,"$5,200","$1,000.00"
"157","DEF","Buffalo Bills","BUF",5,"$2,900","$580.00"
"158","DEF","Indianapolis Colts","IND",5,"$2,100","$420.00"
"159","DEF","Atlanta Falcons","ATL",5,"$3,400","$680.00"
"160","TE","Kyle Rudolph","MIN",5,"$2,900","$580.00"
"161","RB","C.J. Anderson","DEN",4.8,"$4,100","$854.17"
"162","WR","Dontrelle Inman","SD",4.8,"$3,000","$625.00"
"163","RB","Andre Williams","NYG",4.7,"$3,000","$638.30"
"164","RB","Darren Sproles","PHI",4.6,"$3,800","$826.09"
"165","WR","Andre Roberts","DET",4.6,"$3,000","$652.17"
"166","TE","Craig Stevens","TEN",4.5,"$2,500","$555.56"
"167","WR","DeSean Jackson","WAS",4.5,"$5,700","$1,266.67"
"168","TE","Lance Kendricks","LA",4.5,"$2,500","$555.56"
"169","TE","Julius Thomas","JAC",4.4,"$4,200","$954.55"
"170","WR","Marc Mariani","CHI",4.3,"$3,000","$697.67"
"171","WR","Jeremy Kerley","DET",4.2,"$3,000","$714.29"
"172","WR","Bennie Fowler","DEN",4.2,"$3,000","$714.29"
"173","RB","Chris Thompson","WAS",4.1,"$3,300","$804.88"
"174","DEF","Pittsburgh Steelers","PIT",4,"$2,600","$650.00"
"175","DEF","Washington Redskins","WAS",4,"$2,500","$625.00"
"176","DEF","Tampa Bay Buccaneers","TB",4,"$2,400","$600.00"
"177","TE","Will Tye","NYG",3.9,"$2,500","$641.03"
"178","TE","Vance McDonald","SF",3.9,"$2,500","$641.03"
"179","TE","Marcedes Lewis","JAC",3.7,"$2,500","$675.68"
"180","WR","Miles Austin","PHI",3.7,"$3,000","$810.81"
"181","TE","Mychal Rivera","OAK",3.6,"$2,500","$694.44"
"182","WR","Stedman Bailey","LA",3.3,"$3,000","$909.09"
"183","QB","Landry Jones","PIT",3.16,"$5,000","$1,582.28"
"184","RB","Jerick McKinnon","MIN",3.1,"$3,000","$967.74"
"185","TE","Rhett Ellison","MIN",3.1,"$2,500","$806.45"
"186","DEF","Cleveland Browns","CLE",3,"$2,200","$733.33"
"187","DEF","San Francisco 49ers","SF",3,"$2,100","$700.00"
"188","DEF","Los Angeles Rams","LA",3,"$3,500","$1,166.67"
"189","WR","Josh Huff","PHI",3,"$3,200","$1,066.67"
"190","WR","Roddy White","ATL",3,"$3,900","$1,300.00"
"191","WR","Ted Ginn Jr.","CAR",3,"$3,500","$1,166.67"
"192","RB","Zac Stacy","NYJ",2.9,"$3,000","$1,034.48"
"193","WR","Bruce Ellington","SF",2.9,"$3,000","$1,034.48"
"194","RB","Ka'Deem Carey","CHI",2.8,"$3,000","$1,071.43"
"195","FB","Aaron Ripkowski","GB",2.8,"$3,000","$1,071.43"
"196","TE","Cameron Brate","TB",2.7,"$2,500","$925.93"
"197","WR","Marquess Wilson","CHI",2.5,"$4,000","$1,600.00"
"198","TE","Jim Dray","BUF",2.3,"$2,500","$1,086.96"
"199","TE","Virgil Green","DEN",2.3,"$2,500","$1,086.96"
"200","RB","Orleans Darkwa","NYG",2.3,"$3,400","$1,478.26"
"201","WR","Jarius Wright","MIN",2.2,"$3,000","$1,363.64"
"202","FB","Marcel Reece","OAK",2.1,"$3,000","$1,428.57"
"203","DEF","Miami Dolphins","MIA",2,"$2,900","$1,450.00"
"204","DEF","Minnesota Vikings","MIN",2,"$3,100","$1,550.00"
"205","TE","Lee Smith","OAK",2,"$2,500","$1,250.00"
"206","RB","C.J. Spiller","NO",2,"$3,100","$1,550.00"
"207","RB","Kendall Gaskins","SF",2,"$3,000","$1,500.00"
"208","TE","Jared Cook","GB",2,"$2,600","$1,300.00"
"209","TE","Dion Sims","MIA",1.9,"$2,500","$1,315.79"
"210","WR","Lucky Whitehead","DAL",1.8,"$3,000","$1,666.67"
"211","RB","Rex Burkhead","CIN",1.7,"$3,000","$1,764.71"
"212","TE","Charles Clay","BUF",1.6,"$4,200","$2,625.00"
"213","TE","Jordan Cameron","MIA",1.6,"$3,300","$2,062.50"
