"","Pos","Player","Team","Salary","Fantasy PointsFPts","Cost/FptC/Fpt"
"1","QB1","Kirk Cousins","WAS","$5,500",35.2,"$156.25"
"2","RB1","Tim Hightower","NO","$4,500",34.9,"$128.94"
"3","RB2","DeAngelo Williams","PIT","$6,500",36.3,"$179.06"
"4","WR1","Julio Jones","ATL","$8,300",35.8,"$231.84"
"5","WR2","Allen Hurns","JAC","$5,300",33.6,"$157.74"
"6","WR3","Doug Baldwin","SEA","$6,700",28.8,"$232.64"
"7","TE1","Jordan Reed","WAS","$6,500",36.9,"$176.15"
"8","FLEX","Zach Ertz","PHI","$3,100",27.2,"$113.97"
"9","DEF","Arizona Cardinals","ARI","$3,300",33,"$100.00"
"10"," "," "," ","$49,700",301.7," "
