"","Pos","Player","Team","Fantasy PointsFpts","Salary","Cost/Fantasy Pt"
"1","TE","Jordan Reed","WAS",36.9,"$6,500","$176.15"
"2","RB","DeAngelo Williams","PIT",36.3,"$6,500","$179.06"
"3","WR","Julio Jones","ATL",35.8,"$8,300","$231.84"
"4","QB","Kirk Cousins","WAS",35.2,"$5,500","$156.25"
"5","RB","Tim Hightower","NO",34.9,"$4,500","$128.94"
"6","WR","Brandon Marshall","NYJ",34.5,"$7,600","$220.29"
"7","QB","Blake Bortles","JAC",34.22,"$6,500","$189.95"
"8","WR","Allen Hurns","JAC",33.6,"$5,300","$157.74"
"9","DEF","Arizona Cardinals","ARI",33,"$3,300","$100.00"
"10","QB","Drew Brees","NO",31.18,"$6,800","$218.09"
"11","WR","Allen Robinson","JAC",30.1,"$7,500","$249.17"
"12","WR","Doug Baldwin","SEA",28.8,"$6,700","$232.64"
"13","WR","DeAndre Hopkins","HOU",27.7,"$8,400","$303.25"
"14","WR","Brandin Cooks","NO",27.3,"$5,900","$216.12"
"15","TE","Zach Ertz","PHI",27.2,"$3,100","$113.97"
"16","WR","Jordan Matthews","PHI",25.4,"$4,400","$173.23"
"17","QB","Ryan Fitzpatrick","NYJ",24.14,"$5,200","$215.41"
"18","QB","Matthew Stafford","DET",24.14,"$6,100","$252.69"
"19","RB","Jerick McKinnon","MIN",23.7,"$3,500","$147.68"
"20","RB","Frank Gore","IND",23.5,"$4,000","$170.21"
"21","RB","Latavius Murray","OAK",22.7,"$5,000","$220.26"
"22","RB","Javorius Allen","BAL",22.4,"$4,200","$187.50"
"23","WR","Dontrelle Inman","SD",22.2,"$3,000","$135.14"
"24","QB","Brandon Weeden","HOU",22.1,"$5,100","$230.77"
"25","DEF","Houston Texans","HOU",22,"$2,800","$127.27"
"26","RB","Adrian Peterson","MIN",21.9,"$7,300","$333.33"
"27","RB","David Johnson","ARI",21.7,"$5,800","$267.28"
"28","QB","Sam Bradford","PHI",21.6,"$5,100","$236.11"
"29","QB","Russell Wilson","SEA",21.46,"$7,200","$335.51"
"30","WR","Jarvis Landry","MIA",21.1,"$6,400","$303.32"
"31","WR","Pierre Garcon","WAS",21,"$4,200","$200.00"
"32","RB","Charles Sims","TB",20.7,"$3,300","$159.42"
"33","WR","Michael Floyd","ARI",20.1,"$4,900","$243.78"
"34","QB","Jameis Winston","TB",19.8,"$5,500","$277.78"
"35","WR","Calvin Johnson","DET",19.7,"$7,400","$375.63"
"36","RB","Mike Gillislee","BUF",18.9,"$4,500","$238.10"
"37","RB","Danny Woodhead","SD",18.8,"$4,400","$234.04"
"38","QB","Matt Ryan","ATL",18.34,"$5,200","$283.53"
"39","QB","Johnny Manziel","CLE",18.24,"$5,100","$279.61"
"40","RB","Devonta Freeman","ATL",18,"$7,400","$411.11"
"41","QB","Ryan Tannehill","MIA",17.96,"$5,100","$283.96"
"42","RB","Lamar Miller","HOU",17.7,"$6,400","$361.58"
"43","QB","Carson Palmer","ARI",17.6,"$7,000","$397.73"
"44","QB","Alex Smith","KC",17.4,"$5,100","$293.10"
"45","TE","Vance McDonald","SF",17.1,"$2,500","$146.20"
"46","DEF","Minnesota Vikings","MIN",17,"$2,500","$147.06"
"47","DEF","Los Angeles Rams","LA",17,"$2,700","$158.82"
"48","QB","Blaine Gabbert","SF",16.9,"$5,000","$295.86"
"49","RB","Karlos Williams","BUF",16.7,"$4,500","$269.46"
"50","WR","A.J. Green","CIN",16.7,"$7,100","$425.15"
"51","WR","Emmanuel Sanders","DEN",16.7,"$5,800","$347.31"
"52","RB","Travaris Cadet","NO",16.5,"$3,000","$181.82"
"53","QB","Brock Osweiler","HOU",16.46,"$5,100","$309.84"
"54","TE","Travis Kelce","KC",16.3,"$4,300","$263.80"
"55","RB","Todd Gurley","LA",16.2,"$6,200","$382.72"
"56","QB","Derek Carr","OAK",16.16,"$5,600","$346.53"
"57","WR","Rueben Randle","PHI",16,"$3,500","$218.75"
"58","WR","Jeremy Maclin","KC",15.9,"$6,000","$377.36"
"59","WR","Michael Crabtree","OAK",15.9,"$5,700","$358.49"
"60","RB","Pierre Thomas","WAS",15.9,"$3,000","$188.68"
"61","RB","Eddie Lacy","GB",15.8,"$4,900","$310.13"
"62","RB","Rashad Jennings","NYG",15.6,"$3,500","$224.36"
"63","RB","Theo Riddick","DET",15.3,"$4,100","$267.97"
"64","QB","Cam Newton","CAR",15.28,"$7,500","$490.84"
"65","QB","Philip Rivers","SD",15.08,"$5,700","$377.98"
"66","DEF","Washington Redskins","WAS",15,"$2,300","$153.33"
"67","QB","Ryan Mallett","BAL",14.96,"$5,000","$334.22"
"68","TE","Delanie Walker","TEN",14.9,"$5,600","$375.84"
"69","RB","Isaiah Crowell","CLE",14.8,"$3,700","$250.00"
"70","RB","Ka'Deem Carey","CHI",14.7,"$3,000","$204.08"
"71","WR","Kamar Aiken","BAL",14.6,"$5,400","$369.86"
"72","WR","Keshawn Martin","NE",14.4,"$3,000","$208.33"
"73","RB","James White","NE",14.2,"$4,700","$330.99"
"74","RB","C.J. Anderson","DEN",14.1,"$3,700","$262.41"
"75","RB","DeMarco Murray","TEN",14.1,"$3,800","$269.50"
"76","DEF","Indianapolis Colts","IND",14,"$2,300","$164.29"
"77","RB","Bilal Powell","NYJ",14,"$3,900","$278.57"
"78","RB","Donald Brown","NE",14,"$3,000","$214.29"
"79","TE","Austin Seferian-Jenkins","TB",14,"$3,800","$271.43"
"80","WR","Kenny Britt","LA",13.9,"$3,500","$251.80"
"81","WR","Eric Decker","NYJ",13.7,"$6,500","$474.45"
"82","RB","Darren Sproles","PHI",13.5,"$4,200","$311.11"
"83","WR","Sammy Watkins","BUF",13.4,"$6,700","$500.00"
"84","WR","DeVante Parker","MIA",13.3,"$4,100","$308.27"
