"","Name","Time","Buy-In","Entries","Prize Pool","Top Prize","FPts to Cash","FPts to Win","Winner"
"1","NFL $4M Main Event$4M Main Event (12/27/2015 1:00:00 PM)","12/27/2015 1:00:00 PM","$1,500.00","2,960","$4,000,000$4kk","$1,000,000.00",155.46,233.32,"ehafner"
"2","NFL $1.75M Chop Block Championship$1.75M Chop Block Championship (12/27/2015 1:00:00 PM)","12/27/2015 1:00:00 PM","$50.00","39,325","$1,750,000$1,750k","$150,000.00",150.88,239.32,"Sparer55"
"3","NFL $1.2M Flea Flicker Championship$1.2M Flea Flicker Championship (12/27/2015 1:00:00 PM)","12/27/2015 1:00:00 PM","$5.00","276,000","$1,200,000$1,200k","$100,000.00",147.58,252.22,"Schreiad"
"4","NFL MASSIVE $25 Double UpMASSIVE $25 Double Up (12/27/2015 1:00:00 PM)","12/27/2015 1:00:00 PM","$25.00","31,675","$700,000$700k","$50.00",134.1,233.92,"recordstapes"
"5","NFL $300K Gridiron$300K Gridiron (12/27/2015 1:00:00 PM)","12/27/2015 1:00:00 PM","$27.00","12,771","$300,000$300k","$30,000.00",151.12,228.42,"jkelner"
"6","NFL $275K Slant$275K Slant (12/27/2015 1:00:00 PM)","12/27/2015 1:00:00 PM","$9.00","35,138","$275,000$275k","$15,000.00",150.82,246.62,"ehafner"
"7","NFL $250K Blitz$250K Blitz (12/27/2015 1:00:00 PM)","12/27/2015 1:00:00 PM","$300.00","925","$250,000$250k","$50,000.00",153.42,201.72,"junkyardbyrd"
"8","NFL MASSIVE $5 Double UpMASSIVE $5 Double Up (12/27/2015 1:00:00 PM)","12/27/2015 1:00:00 PM","$5.00","52,272","$230,000$230k","$10.00",135.08,236.92,"Datwho"
"9","NFL $200K Super Booster$200K Super Booster (12/27/2015 1:00:00 PM)","12/27/2015 1:00:00 PM","$27.00","8,514","$200,000$200k","$1,000.00",184.4,221.42,"checkurhead88"
"10","NFL MASSIVE $50 Double UpMASSIVE $50 Double Up (12/27/2015 1:00:00 PM)","12/27/2015 1:00:00 PM","$50.00","2,500","$110,000$110k","$100.00",136.02,218.52,"whisper12"
"11","NFL MASSIVE $100 Double UpMASSIVE $100 Double Up (12/27/2015 1:00:00 PM)","12/27/2015 1:00:00 PM","$100.00","1,222","$110,000$110k","$200.00",135.72,218.52,"whisper12"
"12","NFL MASSIVE $10 Double UpMASSIVE $10 Double Up (12/27/2015 1:00:00 PM)","12/27/2015 1:00:00 PM","$10.00","12,500","$110,000$110k","$20.00",135.12,227.18,"001Nick2014"
"13","NFL $100K Play-Action$100K Play-Action (12/27/2015 1:00:00 PM)","12/27/2015 1:00:00 PM","$3.00","38,333","$100,000$100k","$10,000.00",148.82,238.52,"hakiman"
"14","NFL $100K Hot Route$100K Hot Route (12/27/2015 1:00:00 PM)","12/27/2015 1:00:00 PM","$100.00","1,111","$100,000$100k","$10,000.00",149.64,246.62,"ehafner"
"15","NFL $100K Sunday Kickoff presented by Fox Sports$100K Sunday Kickoff presented by Fox Sports (12/27/2015 1:00:00 PM)","12/27/2015 1:00:00 PM","$3.00","38,333","$100,000$100k","$10,000.00",147.62,232.12,"dslatt"
"16","NFL $90K First Down$90K First Down (12/27/2015 1:00:00 PM)","12/27/2015 1:00:00 PM","$1.00","105,882","$90,000$90k","$5,000.00",147.38,245.42,"PeanutPunch33"
"17","NFL GIANT $500 Double UpGIANT $500 Double Up (12/27/2015 1:00:00 PM)","12/27/2015 1:00:00 PM","$500.00","150","$70,000$70k","$1,000.00",136.86,218.52,"whisper12"
"18","NFL GIANT $250 Double UpGIANT $250 Double Up (12/27/2015 1:00:00 PM)","12/27/2015 1:00:00 PM","$250.00","311","$70,000$70k","$500.00",137.8,218.72,"thedrake12"
"19","NFL GIANT $2 Double UpGIANT $2 Double Up (12/27/2015 1:00:00 PM)","12/27/2015 1:00:00 PM","$2.00","36,931","$65,000$65k","$4.00",136.8,227.22,"1galarno1"
"20","NFL BIG $10 BoosterBIG $10 Booster (12/27/2015 1:00:00 PM)","12/27/2015 1:00:00 PM","$10.00","6,810","$60,000$60k","$100.00",168.94,219.92,"Brady22"
