"","Pos","Player","Team","Salary","Fantasy PointsFPts","Cost/FptC/Fpt"
"1","QB1","Carson Palmer","ARI","$6,500",28.68,"$226.64"
"2","RB1","Carlos Hyde","SF","$5,300",35.2,"$150.57"
"3","RB2","Chris Ivory","JAC","$4,100",23,"$178.26"
"4","WR1","Keenan Allen","SD","$7,100",34.6,"$205.20"
"5","WR2","Julio Jones","ATL","$9,300",38.1,"$244.09"
"6","WR3","DeAndre Hopkins","HOU","$7,400",32.8,"$225.61"
"7","TE1","Tyler Eifert","CIN","$3,500",34.4,"$101.74"
"8","FLEX","Austin Seferian-Jenkins","TB","$3,400",31,"$109.68"
"9","DEF","Carolina Panthers","CAR","$3,100",21,"$147.62"
"10"," "," "," ","$49,700",278.78," "
