"","Name","Time","Buy-In","Entries","Prize Pool","Top Prize","FPts to Cash","FPts to Win","Winner"
"1","NFL $10M Millionaire Maker$10M Millionaire Maker (9/13/2015 1:00:00 PM)","9/13/2015 1:00:00 PM","$20.00","520,448","$10,000,000$10kk","$2,000,000.00",142.44,228.04,"BALLAH"
"2","NFL $1M Play-Action$1M Play-Action (9/13/2015 1:00:00 PM)","9/13/2015 1:00:00 PM","$3.00","383,333","$1,000,000$1kk","$100,000.00",163.16,238.08,"Payne77"
"3","NFL MASSIVE $25 Double UpMASSIVE $25 Double Up (9/13/2015 1:00:00 PM)","9/13/2015 1:00:00 PM","$25.00","40,589","$1,000,000$1kk","$50.00",135.46,216.04,"geemerboy"
"4","NFL $500K Hail Mary$500K Hail Mary (9/13/2015 1:00:00 PM)","9/13/2015 1:00:00 PM","$12.00","38,013","$500,000$500k","$50,000.00",141,214.74,"sourlemonade"
"5","NFL $400K Slant$400K Slant (9/13/2015 1:00:00 PM)","9/13/2015 1:00:00 PM","$9.00","41,085","$400,000$400k","$30,000.00",140.54,217.28,"dms146"
"6","NFL $300K Flea Flicker$300K Flea Flicker (9/13/2015 1:00:00 PM)","9/13/2015 1:00:00 PM","$5.00","57,604","$300,000$300k","$25,000.00",141.74,216.16,"crgklg"
"7","NFL $300K Thunderdome$300K Thunderdome (9/13/2015 1:00:00 PM)","9/13/2015 1:00:00 PM","$5,300.00","55","$300,000$300k","$100,000.00",155.62,177.28,"rayofhope"
"8","NFL $250K Hot Route$250K Hot Route (9/13/2015 1:00:00 PM)","9/13/2015 1:00:00 PM","$100.00","2,156","$250,000$250k","$30,000.00",146.68,207.18,"SomeKidsDad"
"9","Beginner NFL $250K Play-ActionBeginner  $250K Play-Action (9/13/2015 1:00:00 PM)","9/13/2015 1:00:00 PM","$3.00","95,833","$250,000$250k","$20,000.00",140.04,227.02,"Seamus420"
"10","NFL MASSIVE $10 Double UpMASSIVE $10 Double Up (9/13/2015 1:00:00 PM)","9/13/2015 1:00:00 PM","$10.00","26,256","$250,000$250k","$20.00",134.94,206.82,"Yashdogg"
"11","NFL $200K Super Booster$200K Super Booster (9/13/2015 1:00:00 PM)","9/13/2015 1:00:00 PM","$27.00","6,627","$200,000$200k","$1,000.00",177.44,239.34,"K_O_22"
"12","NFL MASSIVE $50 Double UpMASSIVE $50 Double Up (9/13/2015 1:00:00 PM)","9/13/2015 1:00:00 PM","$50.00","3,131","$150,000$150k","$100.00",137.24,201.18,"Slashtastic"
"13","NFL $150K Chop Block$150K Chop Block (9/13/2015 1:00:00 PM)","9/13/2015 1:00:00 PM","$50.00","2,626","$150,000$150k","$20,000.00",145.58,217.86,"damp"
"14","NFL MASSIVE $2 Double UpMASSIVE $2 Double Up (9/13/2015 1:00:00 PM)","9/13/2015 1:00:00 PM","$2.00","54,341","$100,000$100k","$4.00",137.42,224.12,"tayjenks"
"15","NFL $100K Pylon$100K Pylon (9/13/2015 1:00:00 PM)","9/13/2015 1:00:00 PM","$3.00","33,431","$100,000$100k","$10,000.00",141.7,216.92,"vaderkid"
"16","NFL $100K Blind Side$100K Blind Side (9/13/2015 1:00:00 PM)","9/13/2015 1:00:00 PM","$20.00","3,785","$100,000$100k","$10,000.00",139.54,213.64,"ironrangers"
"17","NFL MASSIVE $5 Double UpMASSIVE $5 Double Up (9/13/2015 1:00:00 PM)","9/13/2015 1:00:00 PM","$5.00","22,700","$100,000$100k","$10.00",139.22,215.16,"Googlepie"
"18","NFL $100K Daily Dollar$100K Daily Dollar (9/13/2015 1:00:00 PM)","9/13/2015 1:00:00 PM","$1.00","82,194","$100,000$100k","$6,000.00",136.84,219.22,"KINE1997"
"19","NFL $100K Button Hook$100K Button Hook (9/13/2015 1:00:00 PM)","9/13/2015 1:00:00 PM","$9.00","7,469","$100,000$100k","$10,000.00",134.66,206.3,"erratic_cat"
