"","Pos","Player","Team","Fantasy PointsFpts","Salary","Cost/Fantasy Pt"
"1","WR","Julio Jones","ATL",38.1,"$9,300","$244.09"
"2","RB","Carlos Hyde","SF",35.2,"$5,300","$150.57"
"3","WR","Keenan Allen","SD",34.6,"$7,100","$205.20"
"4","TE","Tyler Eifert","CIN",34.4,"$3,500","$101.74"
"5","WR","DeAndre Hopkins","HOU",32.8,"$7,400","$225.61"
"6","TE","Rob Gronkowski","NE",32.4,"$7,000","$216.05"
"7","TE","Travis Kelce","KC",31.6,"$4,800","$151.90"
"8","WR","Antonio Brown","PIT",31.3,"$8,900","$284.35"
"9","TE","Austin Seferian-Jenkins","TB",31,"$3,400","$109.68"
"10","RB","Matt Forte","NYJ",30.6,"$7,800","$254.90"
"11","QB","Carson Palmer","ARI",28.68,"$6,500","$226.64"
"12","QB","Tom Brady","NE",27.62,"$7,700","$278.78"
"13","QB","Tony Romo","DAL",27.14,"$7,300","$268.98"
"14","TE","Jason Witten","DAL",26,"$4,000","$153.85"
"15","QB","Marcus Mariota","TEN",24.96,"$6,000","$240.38"
"16","QB","Philip Rivers","SD",24.96,"$7,100","$284.46"
"17","QB","Alex Smith","KC",23.22,"$6,200","$267.01"
"18","WR","Jordan Matthews","PHI",23.2,"$7,200","$310.34"
"19","WR","Kendall Wright","TEN",23.1,"$5,100","$220.78"
"20","QB","Aaron Rodgers","GB",23.06,"$8,600","$372.94"
"21","RB","Chris Ivory","JAC",23,"$4,100","$178.26"
"22","RB","Bishop Sankey","TEN",22.6,"$4,300","$190.27"
"23","RB","Danny Woodhead","SD",22.2,"$3,700","$166.67"
"24","QB","Ben Roethlisberger","PIT",22.04,"$7,300","$331.22"
"25","WR","Julian Edelman","NE",21.6,"$6,600","$305.56"
"26","RB","Jamaal Charles","KC",21.3,"$7,900","$370.89"
"27","WR","James Jones","SD",21.1,"$4,200","$199.05"
"28","DEF","Carolina Panthers","CAR",21,"$3,100","$147.62"
"29","QB","Nick Foles","KC",20.98,"$5,300","$252.62"
"30","WR","Jarvis Landry","MIA",20.7,"$5,600","$270.53"
"31","QB","Drew Brees","NO",20.5,"$8,000","$390.24"
"32","RB","Mark Ingram","NO",20.2,"$5,600","$277.23"
"33","WR","Stevie Johnson","SD",20.2,"$3,700","$183.17"
"34","WR","Percy Harvin","BUF",19.8,"$4,400","$222.22"
"35","QB","Andrew Luck","IND",19.72,"$8,300","$420.89"
"36","RB","Darren Sproles","PHI",19.6,"$3,300","$168.37"
"37","WR","Nate Washington","NE",19.5,"$3,000","$153.85"
"38","RB","Ameer Abdullah","DET",19.4,"$4,000","$206.19"
"39","TE","Jordan Reed","WAS",19.3,"$3,300","$170.98"
"40","DEF","Seattle Seahawks","SEA",19,"$3,400","$178.95"
"41","QB","Andy Dalton","CIN",18.86,"$6,100","$323.44"
"42","QB","Matt Ryan","ATL",18.62,"$7,500","$402.79"
"43","QB","Sam Bradford","PHI",18.44,"$6,900","$374.19"
"44","TE","Ladarius Green","PIT",18.4,"$3,500","$190.22"
"45","RB","Jeremy Hill","CIN",18.3,"$7,100","$387.98"
"46","WR","Brandon Marshall","NYJ",18.2,"$6,600","$362.64"
"47","TE","Darren Fells","ARI",18.2,"$2,500","$137.36"
"48","RB","DeMarco Murray","TEN",18,"$6,700","$372.22"
"49","WR","Travis Benjamin","SD",17.9,"$3,000","$167.60"
"50","RB","Eddie Lacy","GB",17.9,"$7,500","$418.99"
"51","FB","Marcel Reece","OAK",17.6,"$3,000","$170.45"
"52","RB","Marshawn Lynch","SEA",17.4,"$7,300","$419.54"
"53","RB","DeAngelo Williams","PIT",17.2,"$5,100","$296.51"
"54","TE","Jimmy Graham","SEA",17.1,"$5,600","$327.49"
"55","DEF","New York Jets","NYJ",17,"$2,900","$170.59"
"56","WR","Donte Moncrief","IND",16.6,"$3,000","$180.72"
"57","TE","Martellus Bennett","NE",16.5,"$4,300","$260.61"
"58","TE","Heath Miller","PIT",16.4,"$3,300","$201.22"
"59","QB","Jameis Winston","TB",16.2,"$6,000","$370.37"
"60","RB","Benny Cunningham","LA",16.2,"$3,000","$185.19"
"61","QB","Russell Wilson","SEA",16.14,"$7,800","$483.27"
"62","DEF","Baltimore Ravens","BAL",16,"$2,700","$168.75"
"63","DEF","Denver Broncos","DEN",16,"$2,800","$175.00"
"64","RB","Dion Lewis","NE",16,"$3,000","$187.50"
"65","QB","Tyrod Taylor","BUF",15.9,"$5,000","$314.47"
"66","WR","T.Y. Hilton","IND",15.8,"$7,600","$481.01"
"67","WR","Rashad Greene","JAC",15.8,"$3,000","$189.87"
"68","QB","Matthew Stafford","DET",15.74,"$7,000","$444.73"
"69","WR","Jermaine Kearse","SEA",15.6,"$3,700","$237.18"
"70","WR","Tavon Austin","LA",15.5,"$3,300","$212.90"
"71","TE","Eric Ebron","DET",15.3,"$2,900","$189.54"
"72","RB","Alfred Morris","DAL",15.1,"$5,500","$364.24"
"73","QB","Jay Cutler","CHI",15.1,"$6,800","$450.33"
"74","DEF","Miami Dolphins","MIA",15,"$3,000","$200.00"
"75","DEF","Tennessee Titans","TEN",15,"$2,800","$186.67"
"76","RB","Latavius Murray","OAK",15,"$5,700","$380.00"
"77","RB","Lance Dunbar","DAL",15,"$3,000","$200.00"
"78","RB","Giovani Bernard","CIN",14.8,"$4,700","$317.57"
"79","WR","Randall Cobb","GB",14.8,"$8,000","$540.54"
"80","WR","Larry Fitzgerald","ARI",14.7,"$5,500","$374.15"
"81","WR","John Brown","ARI",14.6,"$4,500","$308.22"
"82","WR","Emmanuel Sanders","DEN",14.5,"$7,900","$544.83"
"83","WR","Jerricho Cotchery","CAR",14.5,"$3,000","$206.90"
"84","WR","Brandon Coleman","NO",14.1,"$3,000","$212.77"
"85","QB","Ryan Fitzpatrick","NYJ",14.06,"$5,500","$391.18"
"86","DEF","San Francisco 49ers","SF",14,"$2,800","$200.00"
"87","DEF","Los Angeles Rams","LA",14,"$2,800","$200.00"
"88","RB","Joseph Randle","DAL",13.7,"$5,900","$430.66"
"89","RB","Andre Ellington","ARI",13.6,"$6,400","$470.59"
"90","QB","Cam Newton","CAR",13.5,"$7,600","$562.96"
"91","TE","Jared Cook","GB",13.5,"$2,900","$214.81"
"92","WR","Rishard Matthews","TEN",13.4,"$3,000","$223.88"
"93","WR","Pierre Garcon","WAS",13.4,"$5,200","$388.06"
"94","WR","Tyler Lockett","SEA",13.4,"$3,000","$223.88"
"95","TE","Delanie Walker","TEN",13.3,"$3,400","$255.64"
"96","DEF","Detroit Lions","DET",13,"$2,800","$215.38"
"97","WR","Demaryius Thomas","DEN",13,"$9,100","$700.00"
"98","WR","Alshon Jeffery","CHI",12.8,"$8,300","$648.44"
"99","QB","Ryan Tannehill","MIA",12.74,"$7,400","$580.85"
"100","RB","David Johnson","ARI",12.5,"$3,800","$304.00"
"101","WR","Roddy White","ATL",12.4,"$6,500","$524.19"
"102","WR","Mike Wallace","BAL",12.3,"$6,000","$487.80"
"103","TE","Lance Kendricks","LA",12.2,"$2,500","$204.92"
"104","RB","Jonathan Stewart","CAR",12.1,"$5,800","$479.34"
"105","DEF","New York Giants","NYG",12,"$2,500","$208.33"
"106","RB","Khiry Robinson","NYJ",12,"$3,000","$250.00"
"107","QB","Blake Bortles","JAC",11.92,"$5,900","$494.97"
"108","RB","Ryan Mathews","PHI",11.8,"$3,600","$305.08"
"109","QB","Johnny Manziel","CLE",11.78,"$5,000","$424.45"
"110","RB","LeSean McCoy","BUF",11.7,"$7,200","$615.38"
"111","WR","Eric Decker","NYJ",11.7,"$6,000","$512.82"
"112","RB","Theo Riddick","DET",11.7,"$3,300","$282.05"
"113","QB","Matt McGloin","OAK",11.68,"$5,000","$428.08"
"114","RB","Karlos Williams","BUF",11.5,"$3,000","$260.87"
"115","QB","Brian Hoyer","CHI",11.44,"$5,100","$445.80"
"116","TE","Jordan Cameron","MIA",11.3,"$3,800","$336.28"
"117","WR","A.J. Green","CIN",11.3,"$7,800","$690.27"
"118","RB","Rashad Jennings","NYG",11.2,"$5,100","$455.36"
"119","WR","Terrance Williams","DAL",11,"$4,000","$363.64"
"120","TE","Dwayne Allen","IND",10.7,"$3,400","$317.76"
"121","QB","Colin Kaepernick","SF",10.7,"$7,000","$654.21"
"122","QB","Ryan Mallett","BAL",10.52,"$5,100","$484.79"
"123","WR","Markus Wheaton","PIT",10.5,"$3,800","$361.90"
"124","WR","Doug Baldwin","SEA",10.5,"$4,600","$438.10"
"125","WR","Harry Douglas","TEN",10.4,"$3,000","$288.46"
"126","TE","Kyle Rudolph","MIN",10.3,"$3,500","$339.81"
"127","WR","Jeremy Maclin","KC",10.2,"$6,900","$676.47"
"128","DEF","Cincinnati Bengals","CIN",10,"$3,200","$320.00"
"129","DEF","Kansas City Chiefs","KC",10,"$3,000","$300.00"
"130","WR","Allen Hurns","JAC",10,"$4,000","$400.00"
"131","RB","Shane Vereen","NYG",10,"$4,200","$420.00"
"132","WR","Davante Adams","GB",9.9,"$4,400","$444.44"
"133","QB","Teddy Bridgewater","MIN",9.84,"$6,600","$670.73"
"134","RB","Bilal Powell","NYJ",9.8,"$3,000","$306.12"
"135","WR","Darrius Heyward-Bey","PIT",9.8,"$3,000","$306.12"
"136","WR","Dez Bryant","DAL",9.8,"$8,700","$887.76"
"137","QB","Kirk Cousins","WAS",9.74,"$5,000","$513.35"
"138","RB","T.J. Yeldon","JAC",9.7,"$5,500","$567.01"
"139","WR","Cecil Shorts III","HOU",9.7,"$3,600","$371.13"
