"","Pos","Player","Team","Salary","Fantasy PointsFPts","Cost/FptC/Fpt"
"1","QB1","Kirk Cousins","WAS","$5,000",34.18,"$146.28"
"2","RB1","Lamar Miller","HOU","$4,600",41.6,"$110.58"
"3","RB2","Todd Gurley","LA","$5,000",35.3,"$141.64"
"4","WR1","Nate Washington","NE","$3,000",36.7,"$81.74"
"5","WR2","T.Y. Hilton","IND","$6,500",34,"$191.18"
"6","WR3","Mike Evans","TB","$6,400",33.4,"$191.62"
"7","TE1","Rob Gronkowski","NE","$8,100",30.8,"$262.99"
"8","FLEX","Darren McFadden","DAL","$3,100",27.2,"$113.97"
"9","DEF","Los Angeles Rams","LA","$2,400",25,"$96.00"
"10"," "," "," ","$44,100",298.18," "
