"","Score","ProjPoints","Points","ActualPoints","PlayerId","FantasyResultId","PositionId","LineupCount","CurrentExposure","ExposureProbability","IsExposureLocked","FirstPosition","Positions","Position","TeamName","FullName","Cnt","Correlation","PositionCount","Salary","IsLocked","IsExcluded","Exposure","IsLiked","Properties.IsLocked","Properties.InjuryStatus","Properties.Confirmed","Properties.IsExcluded","Properties.Score","Properties.Player_Name","Properties.Salary","Properties.Position","Properties.Team","Properties.Opposing_TeamFB","Properties.Exp","Properties.AvgPts","Properties.Ceiling","Properties.Floor","Properties.ProjPlusMinus","Properties.PtVal","Properties.ImpPts","Properties.Trend","Properties.MyTrends","Properties.Site_Salary","Properties.p_own","Properties.OppPlusMinus","Properties.OffensiveSnapsPlayed","Properties.Pts","Properties.OppPts","Properties.Run_Change","Properties.Spread","Properties.Total","Properties.SpreadPct","Properties.InterceptionPct","Properties.PassingSuccessfulPct","Properties.RushingSuccessfulAllowedPct","Properties.SackPct","Properties.TakeawayPct","Properties.TouchdownAllowedPct","Properties.YardsPerPassingAttempt","Properties.ReceivingTargetsMarketShare","Properties.ReceivingTouchdownsMarketShare","Properties.ReceivingYardsMarketShare","Properties.RushingTouchdownsMarketShare","Properties.RushingYardsMarketShare","Properties.OffensiveSnapsMarketShare","Properties.PassingCompletions","Properties.PassingAttempts","Properties.PassYards","Properties.PassingCompletionPercentage","Properties.PassingYardsPerAttempt","Properties.AdjYPA","Properties.PassingTouchdowns","Properties.PassingRating","Properties.PassingLong","Properties.PassingAttemptsRBPct","Properties.PassingAttemptsWRPct","Properties.PassingAttemptsTEPct","Properties.PassTDPct","Properties.PassINTPct","Properties.PassSackPct","Properties.RushingAttempts","Properties.RushingLong","Properties.RushYards","Properties.RushingYardsPerAttempt","Properties.RushingTouchdowns","Properties.RushingSuccessfulPct","Properties.ReceiveTgts","Properties.Receptions","Properties.ReceivingYards","Properties.ReceivingLong","Properties.ReceivingYardsPerReception","Properties.ReceivingTouchdowns","Properties.ReceivingYardsPerTarget","Properties.RedZoneSnaps","Properties.OpportunitiesRedZone","Properties.OpportunitiesRedZone10","Properties.OpportunitiesRedZone5","Properties.RushingTouchdownsRedZonePct","Properties.ReceivingTouchdownsRedZonePct","Properties.RushingSuccessfulPctRedZone","Properties.RedZoneSnaps10","Properties.RedZoneSnaps5","Properties.RedZoneTouchdownPct","Properties.WeatherRating","Properties.Temperature","Properties.Wind_Speed","Properties.Wind_Direction","Properties.Humidity","Properties.PrecipProb","Properties.Month_PPG","Properties.Month_FPOpp","Properties.Month_FPSnap","Properties.Month_Salary_Change","Properties.Month_X1","Properties.Month_X2","Properties.Month_X0","Properties.Month_Count","Properties.Season_PPG","Properties.Season_FPOpp","Properties.Season_FPSnap","Properties.Season_Plus_Minus","Properties.Season_Salary_Change","Properties.Season_X1","Properties.Season_X2","Properties.Season_X0","Properties.Season_Count","Properties.ExpectedSacksPct","Properties.OppPlusMinusPct","Properties.ProjPlaysPct","Properties.MktShrPct","Properties.CeilingPct","Properties.ProjPct","Properties.PtPerDPct","Properties.FloorPct","Properties.FloorPtPerDPct","Properties.ProjPlusMinusPct","Properties.Vegas","Properties.Salary_Movement","Properties.Consistency","Properties.Upside","Properties.Pro_Pct","Properties.RushingFantasyPct","Properties.Plus_Minus","Properties.Season_PPG_Percentile","Properties.ActualPoints","Properties.SourceId","Properties.IsProjected","Properties.PositionId","Properties.PlayerId","Properties.EventTeamId","Properties.EventId","Properties.FantasyResultId","Properties.FullName"
"1","83.1","0","0","36.7","7603","432466","103","0","0","0","FALSE","WR","WR","WR","HOU","","0","0","1","3000","FALSE","FALSE",NA,"FALSE","FALSE",NA,NA,"FALSE","83.1","Nate Washington","3000","WR","HOU","@MIA","-1","10.9","15.5","6.3","5.55","3.6","5.98","5","0","87","0-1","2.2","43","21","25.5","2","4.5","46.5","39","3.37","44.15","41.22","5.85","1.99","4.08","6.54","12.5","9.1","17","0","0","64.1","0","0","0",NA,NA,NA,"0","0","0",NA,NA,NA,NA,NA,NA,"0","0","0",NA,"0",NA,"4","2","45","23","17.2","0.1","9.4","7.47","0.73","0.27","0.13",NA,"9.1",NA,"4.25","2.44","20.54","50","81","9","In","0.68","1","4.1","1.82","0.17","-600","0","50","50","2","9.8","2.06","0.23","2.7","0","15","61","23","13","62","76","97","55","67","66","99","64","61","98","44","90","85","93","79",NA,"82","64","36.7","4","TRUE","103","7603","29424801","2942480","432466",""
"2","58.6","0","0","34","3806","432774","103","0","0","0","FALSE","WR","WR","WR","IND","","0","0","1","6500","FALSE","FALSE",NA,"FALSE","FALSE",NA,NA,"FALSE","58.6","T.Y. Hilton","6500","WR","IND","NO","-1","15.4","21","9.8","0.12","2.4","14","11","0","27","13-16","-0.4","55","29","23.5","-0.3","-5.5","52.5","67","2.23","47.77","45.98","5.2","1.23","4.36","7.59","22.5","21.2","27","0","1.1","81.1","0","0","0",NA,NA,NA,"0","0","0",NA,NA,NA,NA,NA,NA,"0","1","1","15","0","100","8","4","77","31","16","0.5","9.4","8.93","1.71","0.71","0.43",NA,"12.5",NA,"5.23","3.45","23.2","50","59","5","In","0.46","0","15.1","1.59","0.25","-200","100","0","0","4","16.3","1.86","0.3","-1.5","-1100","50","21","28","14","88","14","46","81","87","87","64","87","38","50","95","79","39","38","99",NA,"38","88","34","4","TRUE","103","3806","29424402","2942440","432774",""
"3","53.9","0","0","33.4","2823","432836","103","0","0","0","FALSE","WR","WR","WR","TB","","0","0","1","6400","FALSE","FALSE",NA,"FALSE","FALSE",NA,NA,"FALSE","53.9","Mike Evans","6400","WR","TB","@WAS","-1","14.1","19.6","8.6","-0.9","2.2","13.78","8","0","23","5-8","2.2","49","19.5","22.5","-0.8","3","42","38","2.63","51.21","42.86","8.3","1.41","4.31","7.27","26.2","52.6","28.5","0","0","76.4","0","0","0",NA,NA,NA,"0","0","0",NA,NA,NA,NA,NA,NA,"0","0","0",NA,"0",NA,"8","4","64","22","16.1","0.7","7.3","9.53","1.2","0.27","0.13",NA,"22.2",NA,"5.21","3.62","22.38","50","66","7","To Left","0.62","5","11.1","1.11","0.2","-200","0","33","66","3","16.3","2.02","0.33","1.4","-1000","21","35","42","14","96","76","2","84","83","82","53","81","32","38","28","79","72","62","96",NA,"70","88","33.4","4","TRUE","103","2823","29424201","2942420","432836",""
"4","42.75","0","0","27.3","8590","432539","103","0","0","0","FALSE","WR","WR","WR","OAK","","0","0","1","6500","FALSE","FALSE",NA,"FALSE","FALSE",NA,NA,"FALSE","42.75","Amari Cooper","6500","WR","OAK","@SD","-1","13.3","17.7","8.9","-1.98","2.1","14","6","0","16","5-8","-0.7","59","22.3","25.8","1.3","3.5","48","33","1.96","45.73","43.31","4.63","1.17","4.35","7.24","22.8","20","29.4","0","0.4","87.9","0","0","0",NA,NA,NA,"0","0","0",NA,NA,NA,NA,NA,NA,"0","0","0","2","0","100","8","5","77","35","13.8","0.4","8.9","10.86","0.2","0","0",NA,"0",NA,"5.14","2.83","17.11","50","78","3","Right To Left","0.5","0","15.7","1.89","0.26","300","33","33","33","3","16.8","1.86","0.28","1.6","-200","20","40","40","5","69","10","29","83","76","78","49","82","35","30","57","18","84","71","87",NA,"72","89","27.3","4","TRUE","103","8590","29425001","2942500","432539",""
"5","65.55","0","0","26.7","8606","435268","103","0","0","0","FALSE","WR","WR","WR","MIN","","0","0","1","4200","FALSE","FALSE",NA,"FALSE","FALSE",NA,NA,"FALSE","65.55","Stefon Diggs","4200","WR","MIN","@DET","-1","10.4","15","5.8","1.65","2.5","8.73","1","0","64","17-20","1.7","19","21.8","22.8","-1.7","1","44.5","50","2.26","48.35","51.94","6.58","1.27","3.44","6.97","13.1","0","21.1","0","0","30.4","0","0","0",NA,NA,NA,"0","0","0",NA,NA,NA,NA,NA,NA,"0","0","0",NA,"0",NA,"3","2","43","11","16.6","0","4.6","8.86","0.4","0","0",NA,"0",NA,"3.69","3.17","16.94","50","72","0",NA,"0","0","22.9","2.97","0.59",NA,"0","100","0","1","22.9","4.95","0.99","16",NA,"0","100","0","1","29","67","7","87","64","63","70","61","35","68","52","50","72","100","14",NA,"98","93","26.7","4","TRUE","103","8606","29424501","2942450","435268",""
"6","73.65","0","0","25.8","4542","432533","103","0","0","0","FALSE","WR","WR","WR","MIA","","0","0","1","6200","FALSE","FALSE",NA,"FALSE","FALSE",NA,NA,"FALSE","73.65","Jarvis Landry","6200","WR","MIA","HOU","-1","16.2","21.6","10.8","1.77","2.6","13.32","8","0","19","5-8","1.8","50","25.5","21","1.5","-4.5","46.5","61","3.17","52.43","46.29","6.13","1.62","4.19","7.71","23","15.4","21","11.1","4.5","74.9","0","0","0",NA,NA,NA,"0","0","0",NA,NA,NA,NA,NA,NA,"0","3","4","7.6","0.1","66.7","8","6","55","18","9","0.3","6.8","9.21","2","0.87","0.6","0","17.2","100","4.92","3","19.38","50","81","9","In","0.68","1","14.4","1.27","0.24","-200","66","0","33","3","14.8","1.58","0.3","3.3","600","53","40","6","15","72","69","55","61","89","89","76","91","44","70","82","79","91","81","96",NA,"87","84","25.8","4","TRUE","103","4542","29424802","2942480","432533",""
"7","45","0","0","24.2","4286","432839","103","0","0","0","FALSE","WR","WR","WR","ATL","","0","0","1","9100","FALSE","FALSE",NA,"FALSE","FALSE",NA,NA,"FALSE","45","Julio Jones","9100","WR","ATL","@TEN","-1","18.9","25.4","12.4","-3.76","2.1","19.97","9","0","2","13-16","0.8","57","25.5","20","0","-5.5","45.5","86","3.07","52.64","44.41","3.75","1.93","4.27","7.52","29.4","33.3","38.3","5.9","0","80.5","0","0","0",NA,NA,NA,"0","0","0",NA,NA,NA,NA,NA,NA,"0","0","0",NA,"0.1",NA,"11","7","111","32","15","0.5","9.6","9.53","1.29","0.57","0.29",NA,"11.1",NA,"5","2.86","21.68","50","60","6","In","0.89","34","21.1","1.83","0.35","100","0","25","75","4","23.5","2.08","0.41","3.6","-200","14","42","42","14","43","43","72","99","95","95","49","95","35","16","82","25","80","75","98",NA,"88","98","24.2","4","TRUE","103","4286","29424301","2942430","432839",""
"8","66.6","0","0","23.4","7933","432921","103","0","0","0","FALSE","WR","WR","WR","BUF","","0","0","1","3300","FALSE","FALSE",NA,"FALSE","FALSE",NA,NA,"FALSE","66.6","Robert Woods","3300","WR","BUF","@JAX","-1","9.1","13.1","5.1","2.9","2.8","6.67","3","0","64",NA,"0.2","51","22.3","18.8","-1","-3.5","41","67","3.2","43.24","46.81","6.94","1.93","3.41","6.02","15.9","21.7","19.1","0","0","77.8","0","0","0",NA,NA,NA,"0","0","0",NA,NA,NA,NA,NA,NA,"0","0","0",NA,"0",NA,"5","3","44","21","11.7","0.3","9","8.4","1","0.27","0.07",NA,"26.7",NA,"4.4","2.73","19.05","50","51","2","In","0.69","0","5.9","1.3","0.11","0","50","50","0","4","10.4","1.97","0.2","3.2","-200","33","46","20","15","24","26","55","59","57","56","85","55","40","82","57","72","84","81","57",NA,"86","67","23.4","4","TRUE","103","7933","29424101","2942410","432921",""
"9","70.65","0","0","22.6","1047","432937","103","0","0","0","FALSE","WR","WR","WR","NE","","0","0","1","3500","FALSE","FALSE",NA,"FALSE","FALSE",NA,NA,"FALSE","70.65","Danny Amendola","3500","WR","NE","NYJ","-1","9","12.4","5.6","2.23","2.6","7.13","3","0","87","2-4","1.9","32","27","20","-2.5","-7","47","58","2.81","45.97","42.51","7.69","1.73","3.11","7.23","9.7","2.9","8.6","0","0.2","46.2","0","0","0",NA,NA,NA,"0","0","0",NA,NA,NA,NA,NA,NA,"0","0","0","3","0","0","3","2","25","12","9.3","0.1","6.2","8.21","0.36","0.14","0.07",NA,"20",NA,"4.15","2.86","17.39","50","57","3","Right To Left","0.83","7","12.7","2.23","0.29","200","33","66","0","3","6","1.56","0.19","0","-200","57","21","21","14","52","73","46","32","54","56","76","59","40","76","90","22","39","38","57",NA,"54","44","22.6","4","TRUE","103","1047","29424902","2942490","432937",""
"10","54.15","0","0","22","1674","432458","103","0","0","0","FALSE","WR","WR","WR","PIT","","0","0","1","7900","FALSE","FALSE",NA,"FALSE","FALSE",NA,NA,"FALSE","54.15","Antonio Brown","7900","WR","PIT","@KC","-1","17.6","23.7","11.5","-1.66","2.2","17.21","10","0","7","5-8","2.8","61","18.8","22.8","-1.7","4","41.5","62","2.19","53.19","44.12","7.29","1.36","4.27","7.91","32","33.3","33.6","0","0.3","92.8","0","0","0",NA,NA,NA,"0","0","0",NA,NA,NA,NA,NA,NA,"0","0","0","5","0","100","11","7","101","32","12.8","0.7","9","9.13","1.73","0.6","0.47",NA,"26.9",NA,"4.14","3.6","18.25","50","61","3","In","0.4","0","11.7","1.3","0.24","-1000","25","0","75","4","24.3","2.18","0.4","2.7","-1000","20","53","26","15","30","88","55","99","93","93","53","93","38","32","22","96","91","81","99",NA,"83","98","22","4","TRUE","103","1674","29424601","2942460","432458",""
