"","Name","Time","Buy-In","Entries","Prize Pool","Top Prize","FPts to Cash","FPts to Win","Winner"
"1","NFL $6M Millionaire Maker$6M Millionaire Maker (10/25/2015 1:00:00 PM)","10/25/2015 1:00:00 PM","$20.00","341,099","$6,000,000$6kk","$1,000,000.00",179.42,283.04,"Guzzi52314"
"2","NFL $1.25M Play-Action$1.25M Play-Action (10/25/2015 1:00:00 PM)","10/25/2015 1:00:00 PM","$3.00","479,166","$1,250,000$1,250k","$100,000.00",176.44,291.14,"wilcoxrm"
"3","NFL MASSIVE $25 Double UpMASSIVE $25 Double Up (10/25/2015 1:00:00 PM)","10/25/2015 1:00:00 PM","$25.00","36,200","$800,000$800k","$50.00",172.64,259.04,"mpdiddy"
"4","NFL $700K Blitz$700K Blitz (10/25/2015 1:00:00 PM)","10/25/2015 1:00:00 PM","$300.00","2,590","$700,000$700k","$100,000.00",189.92,264.3,"Gone_Gold"
"5","NFL $500K Slant$500K Slant (10/25/2015 1:00:00 PM)","10/25/2015 1:00:00 PM","$9.00","63,875","$500,000$500k","$20,000.00",181,270.92,"knickgilman"
"6","NFL MASSIVE $5 Double UpMASSIVE $5 Double Up (10/25/2015 1:00:00 PM)","10/25/2015 1:00:00 PM","$5.00","68,100","$300,000$300k","$10.00",171.9,275.44,"briancox101"
"7","NFL $225K Game Changer$225K Game Changer (10/25/2015 1:00:00 PM)","10/25/2015 1:00:00 PM","$1,060.00","225","$225,000$225k","$50,000.00",190.84,249.98,"getoffme2312"
"8","NFL $200K Hot Route$200K Hot Route (10/25/2015 1:00:00 PM)","10/25/2015 1:00:00 PM","$100.00","2,222","$200,000$200k","$30,000.00",190.84,278.2,"chadg10"
"9","NFL $200K Flea Flicker$200K Flea Flicker (10/25/2015 1:00:00 PM)","10/25/2015 1:00:00 PM","$5.00","46,000","$200,000$200k","$20,000.00",181.2,279.42,"troyt2014"
"10","NFL $150K Thunderdome$150K Thunderdome (10/25/2015 1:00:00 PM)","10/25/2015 1:00:00 PM","$5,300.00","30","$150,000$150k","$50,000.00",193.1,223.7,"maxdalury"
"11","NFL MASSIVE $10 Double UpMASSIVE $10 Double Up (10/25/2015 1:00:00 PM)","10/25/2015 1:00:00 PM","$10.00","17,025","$150,000$150k","$20.00",175.42,256.62,"Boor"
"12","NFL $150K Chop Block$150K Chop Block (10/25/2015 1:00:00 PM)","10/25/2015 1:00:00 PM","$50.00","3,333","$150,000$150k","$20,000.00",186.84,264.3,"Gone_Gold"
"13","NFL MASSIVE $50 Double UpMASSIVE $50 Double Up (10/25/2015 1:00:00 PM)","10/25/2015 1:00:00 PM","$50.00","3,360","$150,000$150k","$100.00",173.64,252.52,"SMTMMD"
"14","NFL $125K First Down$125K First Down (10/25/2015 1:00:00 PM)","10/25/2015 1:00:00 PM","$1.00","143,750","$125,000$125k","$10,000.00",178.42,270.84,"drwalthew"
"15","NFL MASSIVE $100 Double UpMASSIVE $100 Double Up (10/25/2015 1:00:00 PM)","10/25/2015 1:00:00 PM","$100.00","1,111","$100,000$100k","$200.00",175.12,248.6,"pkguetle7"
