"","Pos","Player","Team","Fantasy PointsFpts","Salary","Cost/Fantasy Pt"
"1","RB","Lamar Miller","HOU",41.6,"$4,600","$110.58"
"2","WR","Nate Washington","NE",36.7,"$3,000","$81.74"
"3","RB","Todd Gurley","LA",35.3,"$5,000","$141.64"
"4","QB","Kirk Cousins","WAS",34.18,"$5,000","$146.28"
"5","WR","T.Y. Hilton","IND",34,"$6,500","$191.18"
"6","WR","Mike Evans","TB",33.4,"$6,400","$191.62"
"7","RB","Danny Woodhead","SD",33.1,"$4,600","$138.97"
"8","QB","Tom Brady","NE",32.7,"$8,500","$259.94"
"9","TE","Rob Gronkowski","NE",30.8,"$8,100","$262.99"
"10","QB","Philip Rivers","SD",30.44,"$6,500","$213.53"
"11","TE","Jordan Reed","WAS",30.2,"$4,200","$139.07"
"12","RB","Arian Foster","MIA",29.5,"$7,500","$254.24"
"13","QB","Andrew Luck","IND",29.02,"$7,600","$261.89"
"14","QB","Ryan Tannehill","MIA",27.58,"$5,700","$206.67"
"15","WR","Amari Cooper","OAK",27.3,"$6,500","$238.10"
"16","RB","Darren McFadden","DAL",27.2,"$3,100","$113.97"
"17","WR","Stefon Diggs","MIN",26.7,"$4,200","$157.30"
"18","WR","Jarvis Landry","MIA",25.8,"$6,200","$240.31"
"19","RB","Mark Ingram","NO",25.8,"$6,300","$244.19"
"20","DEF","Los Angeles Rams","LA",25,"$2,400","$96.00"
"21","WR","Julio Jones","ATL",24.2,"$9,100","$376.03"
"22","DEF","Jacksonville Jaguars","JAC",24,"$2,400","$100.00"
"23","RB","Charcandrick West","KC",23.9,"$4,200","$175.73"
"24","QB","Derek Carr","OAK",23.86,"$5,300","$222.13"
"25","WR","Robert Woods","BUF",23.4,"$3,300","$141.03"
"26","RB","Doug Martin","TB",23.1,"$4,900","$212.12"
"27","QB","Teddy Bridgewater","MIN",22.74,"$5,100","$224.27"
"28","WR","Danny Amendola","NE",22.6,"$3,500","$154.87"
"29","RB","T.J. Yeldon","JAC",22.4,"$4,500","$200.89"
"30","DEF","New York Giants","NYG",22,"$2,800","$127.27"
"31","WR","Antonio Brown","PIT",22,"$7,900","$359.09"
"32","QB","Brian Hoyer","CHI",21.92,"$5,300","$241.79"
"33","WR","Allen Robinson","JAC",21.8,"$6,400","$293.58"
"34","QB","Ryan Fitzpatrick","NYJ",21.7,"$5,200","$239.63"
"35","RB","Chris Johnson","ARI",21.2,"$4,300","$202.83"
"36","RB","Marshawn Lynch","SEA",21.2,"$6,900","$325.47"
"37","RB","Ryan Mathews","PHI",21.1,"$3,200","$151.66"
"38","QB","EJ Manuel","BUF",20.72,"$5,100","$246.14"
"39","RB","Le'Veon Bell","PIT",20.7,"$8,400","$405.80"
