"","Name","Time","Buy-In","Entries","Prize Pool","Top Prize","FPts to Cash","FPts to Win","Winner"
"1","NFL $5M Millionaire Maker Championship$5M Millionaire Maker Championship (12/20/2015 1:00:00 PM)","12/20/2015 1:00:00 PM","$20.00","265,914","$5,000,000$5kk","$1,000,000.00",172.2,272.8,"cflanders002"
"2","NFL $1M Play-Action$1M Play-Action (12/20/2015 1:00:00 PM)","12/20/2015 1:00:00 PM","$3.00","383,333","$1,000,000$1kk","$100,000.00",173.44,291.1,"mliesma2"
"3","NFL $750K Blitz Championship$750K Blitz Championship (12/20/2015 1:00:00 PM)","12/20/2015 1:00:00 PM","$300.00","2,775","$750,000$750k","$150,000.00",179.26,247.6,"zbb123"
"4","NFL $325K Slant$325K Slant (12/20/2015 1:00:00 PM)","12/20/2015 1:00:00 PM","$9.00","41,527","$325,000$325k","$20,000.00",175.96,280.4,"Gcrib24"
"5","NFL $300K Nickel Championship$300K Nickel Championship (12/20/2015 1:00:00 PM)","12/20/2015 1:00:00 PM","$5.00","69,000","$300,000$300k","$25,000.00",176,261.84,"Crez"
"6","NFL $200K Game Changer$200K Game Changer (12/20/2015 1:00:00 PM)","12/20/2015 1:00:00 PM","$1,060.00","200","$200,000$200k","$40,000.00",180.94,237.9,"riggins0215"
"7","NFL MASSIVE $10 Double UpMASSIVE $10 Double Up (12/20/2015 1:00:00 PM)","12/20/2015 1:00:00 PM","$10.00","14,204","$125,000$125k","$20.00",163.36,269.4,"DZ02"
"8","NFL $125K Hot Route$125K Hot Route (12/20/2015 1:00:00 PM)","12/20/2015 1:00:00 PM","$100.00","1,388","$125,000$125k","$20,000.00",176.94,246.9,"Gone_Gold"
"9","NFL $120K Super Booster$120K Super Booster (12/20/2015 1:00:00 PM)","12/20/2015 1:00:00 PM","$27.00","5,108","$120,000$120k","$1,000.00",212.04,246.4,"jasonmoss7799"
"10","NFL $100K Chop Block$100K Chop Block (12/20/2015 1:00:00 PM)","12/20/2015 1:00:00 PM","$50.00","2,247","$100,000$100k","$8,000.00",176.8,246.9,"Gone_Gold"
"11","NFL $100K Sunday Kickoff presented by Fox Sports$100K Sunday Kickoff presented by Fox Sports (12/20/2015 1:00:00 PM)","12/20/2015 1:00:00 PM","$3.00","38,333","$100,000$100k","$10,000.00",175.12,282.1,"dheart"
"12","NFL $100K Flea Flicker$100K Flea Flicker (12/20/2015 1:00:00 PM)","12/20/2015 1:00:00 PM","$5.00","23,000","$100,000$100k","$10,000.00",176.34,263.7,"weymanr1"
"13","NFL $100K First Down$100K First Down (12/20/2015 1:00:00 PM)","12/20/2015 1:00:00 PM","$1.00","117,647","$100,000$100k","$6,000.00",176.16,283.1,"dlshowalter86"
"14","NFL BIG $10 BoosterBIG $10 Booster (12/20/2015 1:00:00 PM)","12/20/2015 1:00:00 PM","$10.00","6,810","$60,000$60k","$100.00",192.5,248.46,"trevped"
"15","NFL $50K Safety$50K Safety (12/20/2015 1:00:00 PM)","12/20/2015 1:00:00 PM","$2.00","28,750","$50,000$50k","$5,000.00",176.14,252.36,"boricuainLA"
"16","NFL $50K Quarter Arcade$50K Quarter Arcade (12/20/2015 1:00:00 PM)","12/20/2015 1:00:00 PM","$0.25","235,000","$50,000$50k","$2,000.00",175.26,278.6,"cbboarder"
"17","NFL $50K Double Bubble$50K Double Bubble (12/20/2015 1:00:00 PM)","12/20/2015 1:00:00 PM","$3.00","19,166","$50,000$50k","$5,000.00",158.9,276.36,"wulfgar766"
"18","NFL $50K Hail Mary$50K Hail Mary (12/20/2015 1:00:00 PM)","12/20/2015 1:00:00 PM","$12.00","4,789","$50,000$50k","$5,000.00",176.96,249.8,"bubblegumga"
"19","NFL $40K Spy$40K Spy (12/20/2015 1:00:00 PM)","12/20/2015 1:00:00 PM","$100.00","444","$40,000$40k","$7,000.00",181.36,232.06,"captain311"
"20","NFL $40K Blind Side$40K Blind Side (12/20/2015 1:00:00 PM)","12/20/2015 1:00:00 PM","$27.00","1,702","$40,000$40k","$5,000.00",179.68,239.36,"sshvartsberg"
"21","NFL $30K Red Zone$30K Red Zone (12/20/2015 1:00:00 PM)","12/20/2015 1:00:00 PM","$50.00","674","$30,000$30k","$3,000.00",178.36,233.8,"ohiobear1920"
"22","NFL $25K Huddle$25K Huddle (12/20/2015 1:00:00 PM)","12/20/2015 1:00:00 PM","$5.00","5,750","$25,000$25k","$5,000.00",177.1,245.3,"nathanielf"
"23","NFL $25K Playmaker$25K Playmaker (12/20/2015 1:00:00 PM)","12/20/2015 1:00:00 PM","$530.00","50","$25,000$25k","$10,000.00",176.06,220.06,"qwik-6"
"24","NFL $25K Goal Line$25K Goal Line (12/20/2015 1:00:00 PM)","12/20/2015 1:00:00 PM","$300.00","93","$25,000$25k","$6,000.00",189.44,224.24,"phnomfan"
"25","NFL $25K Button Hook$25K Button Hook (12/20/2015 1:00:00 PM)","12/20/2015 1:00:00 PM","$9.00","3,194","$25,000$25k","$2,000.00",177.78,262,"ryz5"
"26","NFL $25K Hitch & Go$25K Hitch & Go (12/20/2015 1:00:00 PM)","12/20/2015 1:00:00 PM","$7.00","4,107","$25,000$25k","$2,000.00",176.04,246.9,"Gone_Gold"
"27","NFL BIG $2 BoosterBIG $2 Booster (12/20/2015 1:00:00 PM)","12/20/2015 1:00:00 PM","$2.00","14,375","$25,000$25k","$20.00",191.84,254.6,"AmarElijah"
"28","NFL $250K Kickoff Special$250K Kickoff Special (12/17/2015 8:25:00 PM)","12/17/2015 8:25:00 PM","$5.00","57,500","$250,000$250k","$25,000.00",170.62,261.7,"prieto72"
"29","NFL $110K Gridiron$110K Gridiron (12/17/2015 8:25:00 PM)","12/17/2015 8:25:00 PM","$27.00","4,682","$110,000$110k","$10,000.00",172.96,249.6,"StayFly"
"30","NFL $75K Play-Action$75K Play-Action (12/17/2015 8:25:00 PM)","12/17/2015 8:25:00 PM","$3.00","28,736","$75,000$75k","$2,500.00",137.76,163.02,"jro85"
"31","NFL $70K Slant$70K Slant (12/17/2015 8:25:00 PM)","12/17/2015 8:25:00 PM","$9.00","8,944","$70,000$70k","$5,000.00",171.94,250.14,"mavngoose"
