"","Pos","Player","Team","Salary","Fantasy PointsFPts","Cost/FptC/Fpt"
"1","QB1","Cam Newton","CAR","$7,800",48.6,"$160.49"
"2","RB1","Danny Woodhead","SD","$4,200",36,"$116.67"
"3","RB2","David Johnson","ARI","$5,700",47.9,"$119.00"
"4","WR1","Jordan Matthews","PHI","$4,300",32.9,"$130.70"
"5","WR2","Emmanuel Sanders","DEN","$5,500",39.5,"$139.24"
"6","WR3","Antonio Brown","PIT","$8,700",49.9,"$174.35"
"7","TE1","Jordan Reed","WAS","$5,900",27.4,"$215.33"
"8","FLEX","Zach Ertz","PHI","$3,200",21.8,"$146.79"
"9","DEF","Kansas City Chiefs","KC","$3,700",21,"$176.19"
"10"," "," "," ","$49,000",325," "
