"","Pos","Player","Team","Fantasy PointsFpts","Salary","Cost/Fantasy Pt"
"1","WR","Doug Baldwin","SEA",41.5,"$3,800","$91.57"
"2","WR","Jarvis Landry","MIA",38.9,"$6,600","$169.67"
"3","QB","Russell Wilson","SEA",38.2,"$6,000","$157.07"
"4","WR","Markus Wheaton","PIT",38.1,"$3,000","$78.74"
"5","QB","Matthew Stafford","DET",37.78,"$5,800","$153.52"
"6","WR","Brandon Marshall","NYJ",37.1,"$6,800","$183.29"
"7","WR","Sammy Watkins","BUF",36.8,"$5,200","$141.30"
"8","RB","Adrian Peterson","MIN",35.7,"$7,300","$204.48"
"9","WR","Calvin Johnson","DET",35.3,"$7,200","$203.97"
"10","RB","C.J. Anderson","DEN",34.3,"$3,500","$102.04"
"11","WR","Jeremy Maclin","KC",34,"$4,700","$138.24"
"12","WR","Seth Roberts","OAK",32.3,"$3,100","$95.98"
"13","WR","Odell Beckham Jr.","NYG",32.2,"$8,700","$270.19"
"14","QB","Philip Rivers","SD",31.9,"$6,700","$210.03"
"15","TE","Julius Thomas","JAC",29.6,"$3,400","$114.86"
"16","QB","Ryan Fitzpatrick","NYJ",29.18,"$5,000","$171.35"
"17","QB","Derek Carr","OAK",27.7,"$6,300","$227.44"
"18","WR","T.Y. Hilton","IND",27.5,"$5,700","$207.27"
"19","QB","Tyrod Taylor","BUF",27.24,"$5,100","$187.22"
"20","QB","Ben Roethlisberger","PIT",27.04,"$6,700","$247.78"
"21","QB","Ryan Tannehill","MIA",27.04,"$5,200","$192.31"
"22","QB","Blake Bortles","JAC",26.46,"$5,900","$222.98"
"23","RB","Eddie Lacy","GB",25.9,"$4,700","$181.47"
"24","QB","Kirk Cousins","WAS",25.18,"$5,400","$214.46"
"25","RB","DeAngelo Williams","PIT",24.7,"$5,700","$230.77"
"26","WR","A.J. Green","CIN",24.1,"$7,400","$307.05"
"27","RB","Spencer Ware","KC",23.5,"$3,800","$161.70"
"28","QB","Matt Hasselbeck","IND",23.3,"$5,400","$231.76"
"29","QB","Tom Brady","NE",23.2,"$8,000","$344.83"
"30","WR","Donte Moncrief","IND",22.4,"$4,400","$196.43"
"31","WR","Stevie Johnson","SD",22.2,"$4,500","$202.70"
"32","WR","Travis Benjamin","SD",22,"$5,300","$240.91"
"33","QB","Alex Smith","KC",21.7,"$5,000","$230.41"
"34","WR","Tavon Austin","LA",21.6,"$4,300","$199.07"
"35","WR","Amari Cooper","OAK",21.5,"$6,800","$316.28"
"36","QB","Marcus Mariota","TEN",21.42,"$5,500","$256.77"
"37","TE","Antonio Gates","SD",21.3,"$4,700","$220.66"
"38","DEF","Carolina Panthers","CAR",21,"$3,600","$171.43"
"39","QB","Eli Manning","NYG",20.84,"$6,500","$311.90"
"40","TE","Rob Gronkowski","NE",20.8,"$7,900","$379.81"
"41","QB","Andy Dalton","CIN",20.72,"$6,100","$294.40"
"42","WR","Jermaine Kearse","SEA",20.7,"$3,300","$159.42"
"43","WR","Emmanuel Sanders","DEN",20.3,"$6,800","$334.98"
"44","WR","Kamar Aiken","BAL",20,"$4,900","$245.00"
"45","QB","Blaine Gabbert","SF",19.82,"$5,000","$252.27"
"46","RB","Brandon Bolden","NE",19.5,"$3,000","$153.85"
"47","TE","Vance McDonald","SF",19.1,"$2,700","$141.36"
"48","WR","Martavis Bryant","PIT",19,"$5,600","$294.74"
"49","RB","Javorius Allen","BAL",18.4,"$4,600","$250.00"
"50","RB","Chris Ivory","JAC",18.2,"$5,800","$318.68"
"51","RB","LeSean McCoy","BUF",18.1,"$5,300","$292.82"
"52","WR","DeVante Parker","MIA",18,"$3,000","$166.67"
"53","WR","Golden Tate","DET",18,"$4,700","$261.11"
"54","QB","Cam Newton","CAR",17.82,"$7,100","$398.43"
"55","TE","Jordan Reed","WAS",17.8,"$5,100","$286.52"
"56","RB","Theo Riddick","DET",17.8,"$3,500","$196.63"
"57","WR","Dontrelle Inman","SD",17.5,"$3,000","$171.43"
"58","QB","Carson Palmer","ARI",17.44,"$7,100","$407.11"
"59","WR","Anquan Boldin","DET",17.3,"$4,000","$231.21"
"60","WR","Eric Decker","NYJ",17.2,"$5,800","$337.21"
"61","DEF","Cincinnati Bengals","CIN",17,"$3,000","$176.47"
"62","TE","Travis Kelce","KC",16.9,"$4,700","$278.11"
