"","Name","Time","Buy-In","Entries","Prize Pool","Top Prize","FPts to Cash","FPts to Win","Winner"
"1","NFL $5M Millionaire Maker$5M Millionaire Maker (11/29/2015 1:00:00 PM)","11/29/2015 1:00:00 PM","$20.00","270,121","$5,000,000$5kk","$1,000,000.00",153.94,256.7,"keasy"
"2","NFL $1M Play-Action$1M Play-Action (11/29/2015 1:00:00 PM)","11/29/2015 1:00:00 PM","$3.00","383,333","$1,000,000$1kk","$100,000.00",153.6,256.98,"marlee8489"
"3","NFL $600K Blitz$600K Blitz (11/29/2015 1:00:00 PM)","11/29/2015 1:00:00 PM","$300.00","2,220","$600,000$600k","$100,000.00",156.82,217.84,"underjones"
"4","NFL $375K Slant$375K Slant (11/29/2015 1:00:00 PM)","11/29/2015 1:00:00 PM","$9.00","47,916","$375,000$375k","$25,000.00",157.2,257.4,"bjollyag123"
"5","NFL $200K Flea Flicker$200K Flea Flicker (11/29/2015 1:00:00 PM)","11/29/2015 1:00:00 PM","$5.00","46,000","$200,000$200k","$20,000.00",156.74,249.1,"kstengle"
"6","NFL $175K Hot Route$175K Hot Route (11/29/2015 1:00:00 PM)","11/29/2015 1:00:00 PM","$100.00","1,944","$175,000$175k","$20,000.00",158.5,235.8,"BigPasta"
"7","NFL $175K Game Changer$175K Game Changer (11/29/2015 1:00:00 PM)","11/29/2015 1:00:00 PM","$1,060.00","175","$175,000$175k","$30,000.00",152.6,196.1,"PhongWin"
"8","NFL $150K Thunderdome$150K Thunderdome (11/29/2015 1:00:00 PM)","11/29/2015 1:00:00 PM","$5,300.00","29","$150,000$150k","$50,000.00",157.2,179,"maxdalury"
"9","NFL MASSIVE $10 Double UpMASSIVE $10 Double Up (11/29/2015 1:00:00 PM)","11/29/2015 1:00:00 PM","$10.00","17,025","$150,000$150k","$20.00",137.34,234.3,"kamerong"
"10","NFL $125K Chop Block$125K Chop Block (11/29/2015 1:00:00 PM)","11/29/2015 1:00:00 PM","$50.00","2,800","$125,000$125k","$12,000.00",156.6,234.7,"unclerico778"
"11","NFL $120K Super Booster$120K Super Booster (11/29/2015 1:00:00 PM)","11/29/2015 1:00:00 PM","$27.00","5,070","$120,000$120k","$1,000.00",190.1,231.94,"melissacho"
"12","NFL $100K Double Bubble$100K Double Bubble (11/29/2015 1:00:00 PM)","11/29/2015 1:00:00 PM","$3.00","38,333","$100,000$100k","$10,000.00",141.7,246.9,"stayfittoplay"
"13","NFL $100K Sunday Kickoff presented by Fox Sports$100K Sunday Kickoff presented by Fox Sports (11/29/2015 1:00:00 PM)","11/29/2015 1:00:00 PM","$3.00","38,333","$100,000$100k","$10,000.00",156.62,249.5,"tcarroll3430"
"14","NFL $100K Nickel$100K Nickel (11/29/2015 1:00:00 PM)","11/29/2015 1:00:00 PM","$5.00","23,000","$100,000$100k","$10,000.00",156.64,245.5,"jrock328"
"15","NFL $100K First Down$100K First Down (11/29/2015 1:00:00 PM)","11/29/2015 1:00:00 PM","$1.00","115,000","$100,000$100k","$6,000.00",155.44,248.3,"ussgeorgiablue"
"16","NFL BIG $10 BoosterBIG $10 Booster (11/29/2015 1:00:00 PM)","11/29/2015 1:00:00 PM","$10.00","6,810","$60,000$60k","$100.00",169.08,228.16,"GGR1"
"17","NFL $60K Quarter Arcade$60K Quarter Arcade (11/29/2015 1:00:00 PM)","11/29/2015 1:00:00 PM","$0.25","282,000","$60,000$60k","$2,000.00",154.9,250.6,"luke30p"
"18","NFL $50K Safety$50K Safety (11/29/2015 1:00:00 PM)","11/29/2015 1:00:00 PM","$2.00","28,750","$50,000$50k","$5,000.00",155.54,244.14,"mrsugar"
"19","NFL $50K Hail Mary$50K Hail Mary (11/29/2015 1:00:00 PM)","11/29/2015 1:00:00 PM","$12.00","4,775","$50,000$50k","$5,000.00",158.32,240.24,"TLindstrom17"
"20","NFL $40K Spy$40K Spy (11/29/2015 1:00:00 PM)","11/29/2015 1:00:00 PM","$100.00","444","$40,000$40k","$7,000.00",154.84,212.1,"BADiDOC"
