"","Pos","Player","Team","Salary","Fantasy PointsFPts","Cost/FptC/Fpt"
"1","QB1","Matthew Stafford","DET","$5,800",37.78,"$153.52"
"2","RB1","Eddie Lacy","GB","$4,700",25.9,"$181.47"
"3","RB2","Theo Riddick","DET","$3,500",17.8,"$196.63"
"4","WR1","Cole Beasley","DAL","$3,200",16.4,"$195.12"
"5","WR2","Calvin Johnson","DET","$7,200",35.3,"$203.97"
"6","WR3","Golden Tate","DET","$4,700",18,"$261.11"
"7","TE1","Greg Olsen","CAR","$6,200",12,"$516.67"
"8","FLEX","Joique Bell","DET","$3,300",16.2,"$203.70"
"9","DEF","Carolina Panthers","CAR","$3,600",21,"$171.43"
"10"," "," "," ","$42,200",200.38," "
